period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,4.22
2019-02-28,-0.1144875933537835,4.71
2019-03-31,-0.5508492325931438,4.25
2019-04-30,1.3349056603773597,4.7
2019-05-31,-0.1053195000502247,4.56
2019-06-30,0.5430011420877605,5.02
2019-07-31,-0.1956711525189783,4.24
2019-08-31,-0.1668801196008369,4.58
2019-09-30,0.3564515156468755,5.45
2019-10-31,-0.4118375539236518,5.14
2019-11-30,0.299031836343727,4.65
2019-12-31,0.173068402410103,5.13
2020-01-31,-0.2622356584607636,5.09
2020-02-29,-0.0291373898439625,5.35
2020-03-31,0.5284802043422729,6.17
2020-04-30,0.3200916730328498,8.4
2020-05-31,-0.3798783936651583,9.58
2020-06-30,0.1068721952559756,9.35
2020-07-31,-0.209383533600356,8.82
2020-08-31,0.283283383448782,10.56
2020-09-30,0.0462450008159507,11.0
2020-10-31,-0.2988881962003058,11.32
2020-11-30,0.2978603035421259,11.6
2020-12-31,0.2153281042863455,11.49
2021-01-31,-0.1349596835898338,12.3
2021-02-28,0.0647730988408932,13.33
2021-03-31,0.0377143311141698,11.79
2021-04-30,-0.0096001479643283,12.28
2021-05-31,-0.1281898509341412,11.92
2021-06-30,0.2568906692451138,12.09
2021-07-31,0.09051254089422,12.79
2021-08-31,-0.0618681340750707,12.98
2021-09-30,0.1870787083203913,12.45
2021-10-31,-0.103726454904332,13.28
2021-11-30,0.0898155733427223,12.15
2021-12-31,0.0044560973968059,12.21
2022-01-31,-0.1510772129842188,13.01
2022-02-28,0.120203431982427,13.19
2022-03-31,-0.2294954145772996,13.27
2022-04-30,0.18602451444449,14.08
2022-05-31,0.0469738859145552,11.51
2022-06-30,0.061793128212451,14.17
2022-07-31,-0.021171279176425,13.3
2022-08-31,-0.1881117158279021,11.93
2022-09-30,0.1348965517241378,13.94
2022-10-31,-0.2450980392156861,15.29
2022-11-30,0.4643507588131053,12.69
2022-12-31,-0.1011103260468833,11.04
2023-01-31,-0.2908623046786061,11.56
2023-02-28,0.3196784567029964,11.83
2023-03-31,0.0355893843692474,12.86
2023-04-30,0.2344310611984825,11.87
2023-05-31,-0.2356747212172967,12.82
2023-06-30,0.2178365460691778,11.19
2023-07-31,0.0998714120182762,11.37
2023-08-31,-0.0379314159292036,11.54
2023-09-30,0.0730193931250187,11.39
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
