period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,4.22
2019-02-28,-0.0043107316466931,4.71
2019-03-31,0.1055734663588392,4.25
2019-04-30,-0.0084208600202564,4.7
2019-05-31,0.2292768646174143,4.56
2019-06-30,0.0319519579687881,5.02
2019-07-31,-0.1119339937272563,4.24
2019-08-31,-0.0566254362478229,4.58
2019-09-30,-0.0551619356357091,5.45
2019-10-31,0.0106684326710815,5.14
2019-11-30,-0.0041574129245435,4.65
2019-12-31,-0.0566148430624819,5.13
2020-01-31,-0.2016924745110737,5.09
2020-02-29,0.1445315358846162,5.35
2020-03-31,0.3369156367544332,6.17
2020-04-30,0.0866996687076677,8.4
2020-05-31,-0.025536074631039,9.58
2020-06-30,0.0329091251885371,9.35
2020-07-31,0.0150402463873275,8.82
2020-08-31,-0.0486863570804112,10.56
2020-09-30,0.0509605652218778,11.0
2020-10-31,-0.0643545492199362,11.32
2020-11-30,0.0499999999999998,11.6
2020-12-31,0.0291899565255966,11.49
2021-01-31,-0.0486839080459768,12.3
2021-02-28,0.0109214374605652,13.33
2021-03-31,0.0754187192118227,11.79
2021-04-30,0.0597049653310994,12.28
2021-05-31,0.0332834714163114,11.92
2021-06-30,-0.0151749100097348,12.09
2021-07-31,0.0330433593063694,12.79
2021-08-31,-0.0560044100050177,12.98
2021-09-30,-0.0107986889770571,12.45
2021-10-31,0.0371732217030114,13.28
2021-11-30,-0.0219837759217521,12.15
2021-12-31,-0.0453085260866352,12.21
2022-01-31,-0.019462497127638,13.01
2022-02-28,-0.0155440678190392,13.19
2022-03-31,0.0852961363331994,13.27
2022-04-30,0.1086868686868687,14.08
2022-05-31,0.0430864677568199,11.51
2022-06-30,-0.0168397422414144,14.17
2022-07-31,-0.0437956427318129,13.3
2022-08-31,-0.055960966811551,11.93
2022-09-30,0.0562616280184895,13.94
2022-10-31,-0.0834139235444222,15.29
2022-11-30,-0.0003165235111527,12.69
2022-12-31,0.0340388007054672,11.04
2023-01-31,-0.146359672424974,11.56
2023-02-28,0.0321898493501526,11.83
2023-03-31,0.0817066423038321,12.86
2023-04-30,0.0603782843377791,11.87
2023-05-31,0.0193682211136159,12.82
2023-06-30,0.0387454044002595,11.19
2023-07-31,-0.0543411958237178,11.37
2023-08-31,-0.021265424947077,11.54
2023-09-30,0.0005439322061369,11.39
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
