period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.0142234912655311,0.37
2019-03-31,-0.0038985712548141,1.68
2019-04-30,0.2819554065347571,2.27
2019-05-31,-0.0153888495101895,3.71
2019-06-30,-0.1085704873218676,3.4
2019-07-31,0.0040417649040074,4.01
2019-08-31,-0.0607178799060715,3.31
2019-09-30,0.0153583617747441,4.55
2019-10-31,0.0591303187941842,4.73
2019-11-30,0.0124999999999999,4.87
2019-12-31,0.1034482758620694,3.18
2020-01-31,-0.1456085091244241,3.94
2020-02-29,0.0356968460485731,3.81
2020-03-31,0.0321703853955372,4.9
2020-04-30,0.1451629107143057,3.83
2020-05-31,-0.233834915966556,3.73
2020-06-30,0.0891727045724344,3.83
2020-07-31,0.1087130595801115,4.48
2020-08-31,0.00344998353765,5.89
2020-09-30,0.033269244888697,6.37
2020-10-31,0.0567198314216521,5.9
2020-11-30,0.0303677000720981,6.53
2020-12-31,0.0044323101141281,6.66
2021-01-31,-0.0747902833666243,7.45
2021-02-28,0.1492814979270706,6.61
2021-03-31,-0.0614386349316855,6.87
2021-04-30,-0.0037966101694916,6.66
2021-05-31,0.0872986944131486,5.43
2021-06-30,-0.1484833893342505,4.33
2021-07-31,0.1295779439706141,4.64
2021-08-31,-0.1046548810013249,5.29
2021-09-30,0.0157440168687401,5.35
2021-10-31,0.0900072744312439,4.78
2021-11-30,0.0406128053186876,5.41
2021-12-31,-0.0435710819990295,6.14
2022-01-31,0.0336308593750001,7.69
2022-02-28,-0.1061991473423612,8.72
2022-03-31,0.1645375292974331,10.0
2022-04-30,-0.0196620021088756,10.14
2022-05-31,0.0631855012306612,9.78
2022-06-30,-0.0529988615442617,9.43
2022-07-31,-0.0468628555294101,8.38
2022-08-31,0.125519705265606,8.14
2022-09-30,-0.178624214962928,8.63
2022-10-31,0.0584093881891716,8.9
2022-11-30,0.0505130115362328,9.87
2022-12-31,-0.0034194630455934,9.34
2023-01-31,0.1762200784313725,10.24
2023-02-28,-0.1812907461705394,10.53
2023-03-31,-0.0489574528036065,12.59
2023-04-30,0.2357140749751476,15.37
2023-05-31,-0.0246043709660739,13.95
2023-06-30,-0.0074968778696048,11.92
2023-07-31,-0.1039143391479336,8.54
2023-08-31,0.1472600770513485,9.03
2023-09-30,0.0677334585504825,8.19
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
