period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,5.73
2019-02-28,-0.0376651657791162,8.16
2019-03-31,0.0133411108795098,6.47
2019-04-30,0.0922845722144174,5.71
2019-05-31,-0.001869654063921,4.35
2019-06-30,-0.0326751436996284,5.93
2019-07-31,-0.0322526895160835,3.23
2019-08-31,-0.0769998576060638,4.46
2019-09-30,0.1505279724400892,5.85
2019-10-31,-0.0016053207177425,4.7
2019-11-30,-0.0417377031857595,7.21
2019-12-31,-0.0053316755527926,3.27
2020-01-31,0.1363636363636364,5.25
2020-02-29,-0.092901878914405,5.64
2020-03-31,0.0985949406457633,5.47
2020-04-30,-0.013032667085652,8.15
2020-05-31,-0.0531318099472268,6.3
2020-06-30,0.0434782608695649,4.28
2020-07-31,-0.0276803922074347,5.68
2020-08-31,-0.0578516592016546,7.05
2020-09-30,0.0860866958635799,7.36
2020-10-31,-0.0598548665381103,7.74
2020-11-30,0.12847870543256,8.06
2020-12-31,-0.0070662768031189,10.73
2021-01-31,0.0379999999999998,8.11
2021-02-28,-0.0808184687400264,10.97
2021-03-31,0.0955893570242745,11.1
2021-04-30,-0.0523216779460735,9.27
2021-05-31,0.0742398518289857,11.53
2021-06-30,0.0242423067979227,11.13
2021-07-31,-0.0077520255413994,7.34
2021-08-31,-0.0764269205971333,9.03
2021-09-30,0.0142412609983924,9.06
2021-10-31,0.0083277197107152,10.66
2021-11-30,0.0130757450818703,9.92
2021-12-31,0.1088299418604652,9.93
2022-01-31,-0.1317901056399006,12.2
2022-02-28,0.1405940997729309,9.58
2022-03-31,-0.0531448533426371,10.02
2022-04-30,0.0330213969575861,10.01
2022-05-31,0.0720408723701393,8.74
2022-06-30,0.0176953110225108,9.87
2022-07-31,-0.0551895726375279,9.55
2022-08-31,-0.0428344510823532,8.3
2022-09-30,0.0436082367032069,11.38
2022-10-31,0.0460585612325328,13.09
2022-11-30,-0.0186442162978551,13.26
2022-12-31,-0.0909563378824852,9.73
2023-01-31,0.0416762477451473,10.04
2023-02-28,-0.0640813999089379,10.61
2023-03-31,0.1272621384257333,11.87
2023-04-30,0.0425999121651294,13.02
2023-05-31,-0.009077641003975,13.85
2023-06-30,-0.0450837105538287,11.32
2023-07-31,0.0831265508684862,10.78
2023-08-31,-0.0432098765432098,10.8
2023-09-30,-0.0052631578947367,9.93
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
