period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.05
2019-02-28,-0.0439101641232363,0.65
2019-03-31,0.0162433738543541,0.78
2019-04-30,0.0292089918218383,1.14
2019-05-31,-0.0043478260869564,0.97
2019-06-30,0.0992907801418438,1.17
2019-07-31,-0.0491389215374409,1.03
2019-08-31,-0.043311962220927,1.0
2019-09-30,0.0059291395516991,1.04
2019-10-31,0.0464271662479947,0.82
2019-11-30,-0.0275318903246231,0.6
2019-12-31,-0.0302206716953543,0.23
2020-01-31,0.1453998096869997,0.71
2020-02-29,0.0274944419604041,1.65
2020-03-31,-0.0663071135566539,2.53
2020-04-30,-0.0583560657529799,5.73
2020-05-31,0.004452167295724,8.02
2020-06-30,-0.0188745106839204,11.6
2020-07-31,0.0989450147876978,12.25
2020-08-31,0.0198799511771847,13.3
2020-09-30,0.0576704545454545,15.48
2020-10-31,-0.0694370251661918,16.48
2020-11-30,-0.0333179771558158,16.57
2020-12-31,0.0692257572781644,14.54
2021-01-31,-0.0475712069010862,12.6
2021-02-28,0.1794616078127096,11.32
2021-03-31,-0.072629955983433,10.98
2021-04-30,-0.0371235288909583,11.03
2021-05-31,-0.0297649680539101,11.75
2021-06-30,0.1384374637331207,11.25
2021-07-31,-0.0009758924980483,12.49
2021-08-31,0.0215662345876876,12.42
2021-09-30,-0.0162162162162162,12.37
2021-10-31,0.0099729412925526,11.29
2021-11-30,-0.0288602807651711,10.88
2021-12-31,0.019550036462099,11.06
2022-01-31,0.0864842062814057,11.21
2022-02-28,-0.0442000606564079,12.12
2022-03-31,0.045540292397074,14.43
2022-04-30,-0.0081328815559483,16.3
2022-05-31,-0.0081632653061224,15.94
2022-06-30,-0.013882502480496,15.39
2022-07-31,0.0264032790939967,14.79
2022-08-31,-0.0074334110314145,15.82
2022-09-30,0.064671573147762,14.81
2022-10-31,-0.0739996328928047,17.2
2022-11-30,-0.0161729632735311,19.19
2022-12-31,0.0569866785403434,19.93
2023-01-31,0.0086618635149358,19.97
2023-02-28,-0.075012417218543,20.66
2023-03-31,-0.0087643620128403,22.77
2023-04-30,0.0646069829091613,21.71
2023-05-31,0.1252832811956901,20.56
2023-06-30,-0.127884201042034,21.11
2023-07-31,0.1448658426891429,20.72
2023-08-31,0.0088915497017671,20.69
2023-09-30,0.077817757463775,19.51
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
