period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,0.0550024514388314,0.0
2019-03-31,0.225552927717815,0.0
2019-04-30,-0.2227075288783758,0.0
2019-05-31,0.0066642608742164,0.09
2019-06-30,-0.0040204931844258,0.09
2019-07-31,0.2084024198178711,0.6
2019-08-31,-0.1454865573823869,0.51
2019-09-30,-0.0451542655347287,0.51
2019-10-31,-0.0449177434990277,0.0
2019-11-30,0.3241901330944059,0.0
2019-12-31,-0.2082381717056621,0.0
2020-01-31,0.0662043966437917,0.0
2020-02-29,-0.1159932026016712,0.0
2020-03-31,0.114802369625647,0.14
2020-04-30,-0.1222303905726986,0.14
2020-05-31,0.1074268637683684,1.18
2020-06-30,0.3386593467295289,1.94
2020-07-31,-0.1931442708616304,2.83
2020-08-31,0.0906340524378228,2.64
2020-09-30,0.0267447291289444,2.61
2020-10-31,-0.002162241684525,3.39
2020-11-30,0.0111038142346662,3.73
2020-12-31,-0.0800940073968712,4.29
2021-01-31,-0.1937003431914042,4.04
2021-02-28,0.4339557837271099,5.18
2021-03-31,-0.3125170348957257,4.46
2021-04-30,0.49622524500823,3.86
2021-05-31,-0.0302355416732393,2.78
2021-06-30,0.0386290961046174,2.94
2021-07-31,-0.1563736684287775,3.13
2021-08-31,0.1043986543313708,2.95
2021-09-30,-0.0039477679927117,3.39
2021-10-31,-0.0477107487922706,3.96
2021-11-30,-0.0275717889007443,3.44
2021-12-31,-0.0474645846698074,3.15
2022-01-31,0.5138974962033314,2.7
2022-02-28,-0.2911373373977259,4.03
2022-03-31,-0.0083817063594413,4.57
2022-04-30,0.2311720218342678,4.98
2022-05-31,0.0530213498888842,4.84
2022-06-30,-0.0230389019252432,5.05
2022-07-31,-0.155849713594398,4.8
2022-08-31,0.1165150133824135,4.51
2022-09-30,-0.2600754974771517,4.01
2022-10-31,0.5441229467041833,4.48
2022-11-30,-0.1464627151051625,5.17
2022-12-31,-0.1095747268288725,5.5
2023-01-31,-0.0201368861814087,6.03
2023-02-28,-0.0237283066312938,5.13
2023-03-31,0.3463765381977444,5.15
2023-04-30,-0.1755385269881585,3.68
2023-05-31,-0.0737639055155217,3.51
2023-06-30,0.0445774149280118,2.78
2023-07-31,0.2133770853778211,3.17
2023-08-31,-0.1295190887998312,3.23
2023-09-30,0.1160623696236231,2.44
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
