period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,145000.0,79900.0,128.31858407079645,83.19444444444444,1.0,,3.0,12.0,12.0,137.0,0.9673115410273516,0.0,0.0833333333333333,,0.0,0.0,MI,Muskegon,Condo
2019-02-28,,,187.02696253812098,,,,,,,,,,,,0.0,0.45752046667639124,MI,Muskegon,Condo
2019-03-31,118500.0,115000.0,128.94450489662677,77.61299435028249,3.0,3.0,9.0,16.0,5.3,121.0,0.9326558208851408,0.0,0.125,0.3333333333333333,0.22,-0.3105566002530544,MI,Muskegon,Condo
2019-04-30,328000.0,99900.0,234.28571428571428,73.90332495110364,5.0,7.0,4.0,12.0,2.4,28.0,0.9853464749708344,0.2,0.0833333333333333,0.7142857142857143,0.22,0.8169499698613623,MI,Muskegon,Condo
2019-05-31,279900.0,131400.0,152.16858036497385,91.10787172011662,9.0,6.0,5.0,8.0,0.9,6.0,1.0023256804641578,0.2222222222222222,0.125,0.3333333333333333,0.22,-0.35049996185681886,MI,Muskegon,Condo
2019-06-30,279900.0,94600.0,194.8228882833788,90.8980582524272,7.0,5.0,7.0,9.0,1.3,207.0,0.9855047054957344,0.1428571428571428,0.4444444444444444,0.8,0.0,0.28030956072600066,MI,Muskegon,Condo
2019-07-31,229900.0,119900.0,228.57142857142856,87.58169934640523,5.0,1.0,2.0,10.0,2.0,12.0,0.99921356434337,0.2,0.4,1.0,0.0,0.1732267732267727,MI,Muskegon,Condo
2019-08-31,305000.0,84900.0,164.59627329192546,66.55555555555556,3.0,1.0,5.0,13.0,4.3,57.0,1.0035514122280098,0.6666666666666666,0.4615384615384615,0.0,0.0,-0.27989130434782605,MI,Muskegon,Condo
2019-09-30,267200.0,95400.0,133.385956026161,80.8223843842684,2.0,1.0,4.0,13.0,6.5,108.0,0.9372925469413604,0.0,0.3076923076923077,1.0,0.0,-0.18961739923728593,MI,Muskegon,Condo
2019-10-31,191812.5,89900.0,131.7495382037845,81.27906976744185,4.0,3.0,1.0,11.0,2.8,46.0,0.9315436443688287,0.25,0.3636363636363636,0.3333333333333333,0.0,-0.01226829173871613,MI,Muskegon,Condo
2019-11-30,132500.0,99900.0,108.3954616727316,78.70934959349593,2.0,4.0,4.0,10.0,5.0,32.0,0.959652706843718,0.0,0.2999999999999999,0.25,0.0,-0.17726116424734506,MI,Muskegon,Condo
2019-12-31,360000.0,79900.0,257.1428571428572,72.00303490136571,1.0,2.0,1.0,8.0,8.0,151.0,1.0143702451394758,1.0,0.375,1.0,0.0,1.372265897249692,MI,Muskegon,Condo
2020-01-31,269486.5,109900.0,125.34938879766466,79.64930924548352,4.0,2.0,11.0,15.0,3.8,13.0,0.9735781563039884,0.0,0.0666666666666666,1.0,0.0,-0.5125301546757487,MI,Muskegon,Condo
2020-02-29,294000.0,124900.0,142.30396902226525,94.60227272727272,1.0,1.0,10.0,24.0,24.0,303.0,1.0141428078647807,1.0,,1.0,0.0,0.13525857913809358,MI,Muskegon,Condo
2020-03-31,120000.0,109900.0,106.19469026548671,89.2777364110201,1.0,4.0,4.0,23.0,23.0,15.0,0.9607686148919136,0.0,0.3043478260869565,0.25,0.0,-0.2537475167057974,MI,Muskegon,Condo
2020-04-30,205000.0,110000.0,152.9464739297095,81.28976324572382,2.0,,2.0,24.0,12.0,156.0,0.938329687532329,0.0,0.0833333333333333,,0.0,0.4402459628380979,MI,Muskegon,Condo
2020-05-31,,,187.02696253812098,,,,,,,,,,,,0.96,0.22282624589354083,MI,Muskegon,Condo
2020-06-30,105000.0,119900.0,115.76626240352812,91.52930402930404,3.0,3.0,5.0,25.0,8.3,73.0,0.9346154147766956,0.0,0.12,0.6666666666666666,1.54,-0.3810183257404294,MI,Muskegon,Condo
2020-07-31,255000.0,114900.0,149.92516477106702,90.56503198294244,8.0,5.0,7.0,25.0,3.1,11.0,0.97071954838785,0.125,0.2,1.0,1.79,0.29506785187959794,MI,Muskegon,Condo
2020-08-31,256500.0,126400.0,188.2858213375453,100.68567123303367,6.0,3.0,3.0,22.0,3.7,142.0,0.9966811506611104,0.1666666666666666,0.0909090909090909,0.3333333333333333,1.77,0.2558653620628284,MI,Muskegon,Condo
