period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.52
2019-02-28,-0.0374213511270423,0.96
2019-03-31,0.1980831446125524,1.3
2019-04-30,-0.0499493112959281,0.9
2019-05-31,-0.1362555877502296,1.02
2019-06-30,0.0397797101789818,1.12
2019-07-31,0.1097638626830161,1.58
2019-08-31,0.0126957666972506,1.46
2019-09-30,-0.1177369326391105,1.76
2019-10-31,0.0987657880397356,1.55
2019-11-30,-0.1132484086423515,1.53
2019-12-31,0.0761395792608883,1.03
2020-01-31,-0.0123464921581448,0.71
2020-02-29,0.0154796588442021,0.48
2020-03-31,-0.039630400849672,0.54
2020-04-30,0.1147086151341068,1.06
2020-05-31,-0.0132310427284438,1.95
2020-06-30,-0.0757750168320132,2.67
2020-07-31,0.0832102317447041,3.03
2020-08-31,0.0016249304966291,3.28
2020-09-30,-0.0867932946544723,3.83
2020-10-31,0.089658534341398,4.11
2020-11-30,0.0641398721578205,4.62
2020-12-31,0.0268046573073506,4.87
2021-01-31,-0.0268378792764809,5.59
2021-02-28,0.0149437689262481,6.27
2021-03-31,-0.0300558689167234,6.21
2021-04-30,0.1462621079428643,6.3
2021-05-31,-0.0208901491470434,5.8
2021-06-30,0.0032845322225136,5.52
2021-07-31,0.0485822448199098,5.49
2021-08-31,-0.057655036333361,5.51
2021-09-30,0.1087911254518108,5.86
2021-10-31,-0.1131662765900799,6.36
2021-11-30,-0.0924587861882739,6.37
2021-12-31,0.0019621859962517,6.19
2022-01-31,0.0624139391729965,6.25
2022-02-28,0.2428803324712503,5.99
2022-03-31,-0.1061790817842401,6.82
2022-04-30,0.1132646223227935,6.65
2022-05-31,-0.0425161048042723,7.06
2022-06-30,0.1022074801056427,7.53
2022-07-31,-0.2209664340528052,7.85
2022-08-31,0.085403037903925,8.62
2022-09-30,-0.0942561323330515,9.13
2022-10-31,-2.0098578683458435e-05,9.09
2022-11-30,0.0883801096008132,9.34
2022-12-31,-0.1340234346315306,9.34
2023-01-31,0.4050756240635766,9.84
2023-02-28,-0.1477083868830719,10.11
2023-03-31,-0.1646351822985935,10.25
2023-04-30,0.182419454724118,9.97
2023-05-31,-0.0908231640813709,9.76
2023-06-30,0.3175859572166586,7.79
2023-07-31,-0.145513962782567,7.43
2023-08-31,0.1125219702815221,7.43
2023-09-30,-0.0543785901069165,7.52
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
