period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.06
2019-02-28,0.478333116031322,0.24
2019-03-31,-0.2396707176174205,0.35
2019-04-30,0.1903873330728471,0.35
2019-05-31,0.1048669595250775,0.42
2019-06-30,-0.3567911826705189,0.79
2019-07-31,0.554705055431095,1.1
2019-08-31,0.0,1.1
2019-09-30,-0.423673673838258,1.07
2019-10-31,0.2738486842105263,0.85
2019-11-30,0.2493901639344264,0.95
2019-12-31,-0.313426282378333,0.52
2020-01-31,0.5879193535916258,0.85
2020-02-29,0.0,0.74
2020-03-31,-0.1882074496736691,1.15
2020-04-30,0.1493344425956739,1.61
2020-05-31,-0.1477475769930275,1.73
2020-06-30,0.2575934658934213,2.32
2020-07-31,-0.0573188557128666,2.16
2020-08-31,0.0608040757579932,2.77
2020-09-30,0.2957876321822941,3.24
2020-10-31,-0.3458887289839183,3.15
2020-11-30,0.1798166940471659,3.04
2020-12-31,-0.0957266050958342,2.6
2021-01-31,0.1058602471722385,3.16
2021-02-28,0.0726421671635886,3.44
2021-03-31,-0.0677226472978197,4.55
2021-04-30,-0.6820636385185481,4.37
2021-05-31,2.145283525735824,4.12
2021-06-30,0.0867414214035255,2.86
2021-07-31,0.3344423834917691,2.5
2021-08-31,-0.3104369972483571,2.72
2021-09-30,0.0580466244594379,2.91
2021-10-31,0.2757068264438769,3.18
2021-11-30,-0.2591260674235611,4.16
2021-12-31,0.2284351798696846,4.23
2022-01-31,-0.3318919915192838,4.38
2022-02-28,0.2184313847146091,4.19
2022-03-31,-0.1178340367682998,4.76
2022-04-30,0.13357354701901,6.1
2022-05-31,0.4461306614989333,6.01
2022-06-30,-0.4621252078274303,4.87
2022-07-31,0.3994228614406971,3.29
2022-08-31,0.0678763440860219,2.81
2022-09-30,-0.1397169939239417,3.71
2022-10-31,0.3453210397271402,4.56
2022-11-30,-0.2106064041661534,3.99
2022-12-31,-0.0433682052556835,3.65
2023-01-31,-0.1830880914767173,2.58
2023-02-28,0.2049261475894028,2.93
2023-03-31,0.0,3.21
2023-04-30,0.0,3.62
2023-05-31,1.010027554154628,3.62
2023-06-30,-0.1928433784016667,3.14
2023-07-31,-0.3836318696701157,2.99
2023-08-31,0.0,2.23
2023-09-30,0.0,2.13
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
