period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.7491806858834689,0.0
2019-03-31,0.1364270959470046,0.54
2019-04-30,2.5026986283852883,0.54
2019-05-31,-0.0542700760467156,0.54
2019-06-30,-0.7586775600808201,0.0
2019-07-31,5.383643256172412,0.0
2019-08-31,-0.5641893253852399,0.0
2019-09-30,3.1435168723728832,0.0
2019-10-31,-0.6246008617918372,0.0
2019-11-30,0.4751621259665408,0.0
2019-12-31,-0.7826521718082767,0.0
2020-01-31,5.753021402379706,0.0
2020-02-29,-0.7784039385860788,0.0
2020-03-31,1.7139530144619983,0.0
2020-04-30,0.1328755587451473,0.74
2020-05-31,0.0,1.4
2020-06-30,-0.5411833883738029,2.38
2020-07-31,0.2598849372384941,2.01
2020-08-31,0.2101436762157116,1.35
2020-09-30,0.2447935446805504,0.87
2020-10-31,0.1178881690364146,0.77
2020-11-30,0.6772513102260298,0.77
2020-12-31,-0.3946992900515659,1.01
2021-01-31,0.5824578962385842,1.53
2021-02-28,-0.2437384995106264,2.47
2021-03-31,-0.5510923588925585,2.3
2021-04-30,0.3607991301555449,1.93
2021-05-31,0.760765262268712,1.43
2021-06-30,-0.2519138051169437,1.73
2021-07-31,-0.4249302412321591,1.51
2021-08-31,0.0645382190294072,1.37
2021-09-30,0.5736873612597413,0.94
2021-10-31,0.0151327894889212,1.54
2021-11-30,0.8848529815379429,2.47
2021-12-31,-0.0187944222794782,3.17
2022-01-31,-0.7533695349140426,3.85
2022-02-28,1.355659125462597,3.79
2022-03-31,-0.4918684293980297,4.3
2022-04-30,1.2377005907222327,3.73
2022-05-31,0.5604996091367105,3.17
2022-06-30,0.0621880263308911,2.57
2022-07-31,-0.2657710044332133,2.79
2022-08-31,-0.2773545913949068,3.0
2022-09-30,1.175303831857578,3.13
2022-10-31,-0.353728649964329,3.11
2022-11-30,0.5715491071428571,3.69
2022-12-31,-0.5473763783060294,3.84
2023-01-31,0.3148418250216807,3.59
2023-02-28,-0.6611954027847151,2.88
2023-03-31,0.0814530901612446,2.59
2023-04-30,0.0374141464729664,2.32
2023-05-31,-0.1570712136409229,2.83
2023-06-30,3.613320171514944,2.56
2023-07-31,-0.3918296515172833,3.02
2023-08-31,1.4179638119758202,3.0
2023-09-30,-0.7510092885043576,3.65
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
