period_begin,asset_value_momentum,remote_work_share
2019-03-31,0.0,0.27
2019-04-30,0.0863135291123213,0.27
2019-05-31,-0.2816482608456832,0.27
2019-06-30,0.3499644629731908,0.0
2019-07-31,0.1417467141455139,0.36
2019-08-31,-0.2887289211784575,0.36
2019-09-30,0.2368246331263397,0.51
2019-10-31,0.129863865632237,0.15
2019-11-30,-0.0443985300380106,0.15
2019-12-31,0.2290908826804922,0.0
2020-01-31,-0.3673588012336608,0.0
2020-02-29,0.0847860319393423,0.69
2020-03-31,0.082452233477515,0.69
2020-04-30,0.0546477933032938,0.9
2020-05-31,-0.1090460178338799,0.67
2020-06-30,0.2772913846802707,1.06
2020-07-31,-0.1013967825365905,1.5
2020-08-31,0.3131870756830321,2.3
2020-09-30,-0.034181431469612,2.58
2020-10-31,-0.2368379972247917,2.41
2020-11-30,0.067567886192406,1.53
2020-12-31,0.0830345253017141,1.16
2021-01-31,-0.1837805940422759,1.44
2021-02-28,0.3230870973498159,2.6
2021-03-31,0.1588726775931019,3.78
2021-04-30,-0.2415402477245987,3.63
2021-05-31,-0.0073869408755541,2.6
2021-06-30,0.2233360135636313,1.93
2021-07-31,-0.1440452713005231,2.05
2021-08-31,-0.1294652846322881,2.22
2021-09-30,0.2364006100660907,1.54
2021-10-31,3.0908122133616542,1.28
2021-11-30,-0.7026031531847343,1.5
2021-12-31,-0.1194695092945871,2.03
2022-01-31,-0.0710558194164677,1.92
2022-02-28,-0.0186332919756435,1.8
2022-03-31,0.007240708060489,1.67
2022-04-30,-0.0250016151104897,2.45
2022-05-31,0.2311083472578092,2.11
2022-06-30,-0.1127946233544224,2.67
2022-07-31,0.1357160638020635,2.83
2022-08-31,-0.1419701091166706,3.12
2022-09-30,-0.0086987992702202,2.87
2022-10-31,0.2090713446019159,2.76
2022-11-30,-0.1481223139012497,2.72
2022-12-31,-0.1182373814887128,2.5
2023-01-31,0.3002038709037755,1.83
2023-02-28,-0.2633503748511228,1.74
2023-03-31,0.1032193194778492,1.99
2023-04-30,0.335606689116559,3.18
2023-05-31,0.0423348927513484,3.5
2023-06-30,-0.1035609394329223,3.02
2023-07-31,-0.3037818426663674,2.35
2023-08-31,0.450497512437811,2.07
2023-09-30,-0.0993579834054341,2.75
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
