period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,6.78
2019-02-28,-0.1245905905663045,6.92
2019-03-31,0.0350375581043733,3.4
2019-04-30,-0.0956627498180188,4.82
2019-05-31,0.1792326456460924,4.5
2019-06-30,-0.1185762657073156,4.23
2019-07-31,-0.0148359041612224,2.43
2019-08-31,0.0126340436290512,4.04
2019-09-30,0.0260668880848693,4.1
2019-10-31,-0.058195825310188,5.55
2019-11-30,0.154176160716539,4.41
2019-12-31,-0.0906416829578973,4.86
2020-01-31,0.1605411526276208,4.31
2020-02-29,-0.0468030444212964,5.58
2020-03-31,-0.0636235136989111,5.24
2020-04-30,-0.037282818152236,7.64
2020-05-31,0.0733033810521694,6.08
2020-06-30,0.0290494047881002,6.78
2020-07-31,-0.0250102204348257,6.4
2020-08-31,0.0360892729309436,6.66
2020-09-30,-0.0131330007657619,8.51
2020-10-31,0.0887023343814288,10.66
2020-11-30,-0.0070235083324192,11.93
2020-12-31,0.0211755948840961,12.16
2021-01-31,0.0244588054399106,10.08
2021-02-28,-0.1005678216715292,12.94
2021-03-31,0.0652898569887161,13.97
2021-04-30,0.0746278188604523,12.15
2021-05-31,-0.027366883109866,11.37
2021-06-30,0.1620872791736098,13.03
2021-07-31,-0.0683909913452081,11.28
2021-08-31,0.0239160132871323,12.6
2021-09-30,0.0366949075010376,14.34
2021-10-31,-0.171930809921636,15.55
2021-11-30,0.2012845154126246,10.81
2021-12-31,-0.0809852738097747,7.35
2022-01-31,0.0421713819930931,9.72
2022-02-28,0.0350405640108426,9.02
2022-03-31,0.1999866290855005,9.14
2022-04-30,-0.1095762569759627,8.63
2022-05-31,0.0171272527472863,10.37
2022-06-30,0.0493383994217471,10.2
2022-07-31,-0.122655690215288,9.53
2022-08-31,0.2843737098221894,13.79
2022-09-30,-0.1691656548827425,13.13
2022-10-31,0.0187103635040883,13.4
2022-11-30,-0.0686519073339673,14.44
2022-12-31,-0.0601358186168187,9.75
2023-01-31,-0.0106936963147373,12.23
2023-02-28,0.1069424678234651,10.45
2023-03-31,-0.0990857217086289,10.67
2023-04-30,0.1587846337195082,9.37
2023-05-31,-0.0658049510928632,10.08
2023-06-30,0.2516846057244057,8.43
2023-07-31,-0.1565240591861704,11.59
2023-08-31,0.0581200244290669,10.12
2023-09-30,-0.0282410541827847,9.47
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
