period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.94
2019-02-28,-0.1285579863561515,2.78
2019-03-31,-0.3116325035739993,2.47
2019-04-30,0.4388519031893159,2.71
2019-05-31,-0.3745513866231648,2.87
2019-06-30,-0.0760273929425666,2.7
2019-07-31,0.165756704932704,2.66
2019-08-31,0.3947652096247227,2.31
2019-09-30,-0.0828358460096001,2.88
2019-10-31,0.092834243110583,3.03
2019-11-30,-0.1739014842006414,3.1
2019-12-31,0.0048970267739136,3.09
2020-01-31,0.0887003022552894,2.88
2020-02-29,-0.2482508402443127,3.32
2020-03-31,0.2883760617848823,3.42
2020-04-30,0.2640175957605946,5.85
2020-05-31,0.064292718550738,5.62
2020-06-30,0.033698330604843,5.73
2020-07-31,-0.0158708492197076,5.2
2020-08-31,-0.1253569357257566,6.05
2020-09-30,-0.112341096900177,7.06
2020-10-31,0.1326360659439929,8.06
2020-11-30,-0.0227654698242935,7.71
2020-12-31,-0.1036293083770828,7.58
2021-01-31,-0.1965988556897646,7.43
2021-02-28,0.2788617886178861,8.23
2021-03-31,0.3083064097090875,9.25
2021-04-30,-0.1463571239941206,9.19
2021-05-31,0.2135922330097086,8.46
2021-06-30,0.0828124999999999,9.18
2021-07-31,-0.3805277116735975,10.02
2021-08-31,0.3199152226334052,11.04
2021-09-30,-0.0210294650246352,10.13
2021-10-31,0.1595998805613616,11.85
2021-11-30,0.0932813791474791,11.73
2021-12-31,-0.0841330918967862,11.54
2022-01-31,1.2881324195783246,10.32
2022-02-28,-0.5846963562753036,11.73
2022-03-31,0.0582009278357771,11.3
2022-04-30,0.1088844264285633,12.19
2022-05-31,-0.0417568726315914,12.32
2022-06-30,-0.1179053860956047,11.74
2022-07-31,0.2470670834898327,11.85
2022-08-31,-0.1702882736804789,10.89
2022-09-30,0.1192987722170657,12.33
2022-10-31,-0.158198523793689,11.95
2022-11-30,0.1539207760711398,12.22
2022-12-31,0.0162320923520922,10.33
2023-01-31,0.5020326579164656,10.63
2023-02-28,-0.3232195543843363,10.3
2023-03-31,-0.1629087301587301,9.66
2023-04-30,0.1369015307784171,12.92
2023-05-31,-0.0257364888782447,11.07
2023-06-30,0.5209502935666517,10.15
2023-07-31,-0.3948249530075187,9.65
2023-08-31,0.0669606490025509,9.88
2023-09-30,0.2190148734901862,9.5
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
