period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,170000.0,180000.0,94.97444633730836,100.91393754760092,343.0,371.0,372.0,465.0,1.4,28.0,0.9723327329120052,0.2011661807580174,0.3118279569892473,0.5013477088948786,2.94,0.0,NE,Omaha,Single Family Residential
2019-02-28,171000.0,189000.0,97.69539078156312,104.59940508781943,361.0,333.0,385.0,445.0,1.2,29.0,0.9843915995161524,0.2797783933518005,0.2067415730337078,0.6666666666666666,2.78,0.028649226704529962,NE,Omaha,Single Family Residential
2019-03-31,183000.0,194900.0,100.96457234393708,108.0169983875534,414.0,446.0,512.0,461.0,1.1,17.0,0.9873317264662108,0.323671497584541,0.1995661605206073,0.7062780269058296,2.47,0.03346300717178674,NE,Omaha,Single Family Residential
2019-04-30,176000.0,199900.0,102.0629750271444,107.64662212323682,465.0,629.0,700.0,481.0,1.0,9.0,0.9947166422164394,0.4064516129032257,0.3367983367983368,0.7599364069952305,2.71,0.010879090137336567,NE,Omaha,Single Family Residential
2019-05-31,196000.0,189500.0,106.85398691665743,106.71841017445306,654.0,700.0,831.0,571.0,0.9,6.0,1.0015984641927274,0.4296636085626911,0.3677758318739054,0.7171428571428571,2.87,0.04694172287490961,NE,Omaha,Single Family Residential
2019-06-30,193500.0,189900.0,106.68816807502138,106.92420013624488,634.0,641.0,737.0,646.0,1.0,7.0,1.0007571571045757,0.4479495268138801,0.3947368421052631,0.6848673946957878,2.7,-0.0015518264355020017,NE,Omaha,Single Family Residential
2019-07-31,195000.0,190000.0,105.60016331777382,106.96795780115008,682.0,654.0,695.0,651.0,1.0,7.0,1.000006111155742,0.4090909090909091,0.4316436251920122,0.5978593272171254,2.66,-0.010197988932404312,NE,Omaha,Single Family Residential
2019-08-31,187000.0,185000.0,106.78690080683435,107.0872274143302,669.0,612.0,745.0,751.0,1.1,11.0,0.9968467649356748,0.3841554559043348,0.4127829560585885,0.6127450980392157,2.31,0.011238027023588781,NE,Omaha,Single Family Residential
2019-09-30,188000.0,184900.0,103.42368045649071,104.01982918631089,570.0,568.0,575.0,724.0,1.3,11.0,0.9969607091638186,0.3859649122807017,0.399171270718232,0.4911971830985915,2.88,-0.031494690125217994,NE,Omaha,Single Family Residential
2019-10-31,183750.0,185000.0,102.49317768344451,105.55310709563685,558.0,536.0,612.0,740.0,1.3,13.0,0.9878031445881345,0.2974910394265232,0.4405405405405405,0.5317164179104477,3.03,-0.008996999226281166,NE,Omaha,Single Family Residential
2019-11-30,190000.0,184900.0,103.64041380547212,108.22197807013426,536.0,452.0,402.0,629.0,1.2,19.0,0.9807335836708062,0.2649253731343283,0.4022257551669316,0.4358407079646017,3.1,0.01119329254841639,NE,Omaha,Single Family Residential
2019-12-31,185000.0,167000.0,100.33222591362126,102.72606382978724,466.0,316.0,289.0,537.0,1.2,19.0,0.9833557202853208,0.2703862660944206,0.2756052141527001,0.379746835443038,3.09,-0.03191986379039524,NE,Omaha,Single Family Residential
2020-01-31,177000.0,185000.0,101.82975338106604,107.68194070080862,335.0,406.0,418.0,454.0,1.4,25.0,0.9761332446855288,0.2417910447761194,0.2753303964757709,0.5344827586206896,2.88,0.014925687672214583,NE,Omaha,Single Family Residential
2020-02-29,185000.0,199950.0,102.5115594787726,108.80195599022004,392.0,430.0,497.0,464.0,1.2,19.0,0.986866130428381,0.336734693877551,0.2349137931034482,0.6767441860465117,3.32,0.0066955489438838,NE,Omaha,Single Family Residential
2020-03-31,195000.0,196250.0,105.20911668713188,109.39299947862816,468.0,591.0,719.0,540.0,1.2,10.0,0.9931103649480468,0.3824786324786324,0.3018518518518518,0.7411167512690355,3.42,0.026314663654276815,NE,Omaha,Single Family Residential
2020-04-30,194000.0,200000.0,109.57695532195294,113.59024836295072,472.0,570.0,573.0,510.0,1.1,7.0,1.0028943629646612,0.4682203389830508,0.3313725490196078,0.6403508771929824,5.85,0.04151578087866681,NE,Omaha,Single Family Residential
