period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.35
2019-02-28,-0.0244076000207215,0.35
2019-03-31,-0.0409023846880788,0.7
2019-04-30,0.038871921399088,0.78
2019-05-31,0.0279792746113991,0.78
2019-06-30,-0.0578933933933933,0.49
2019-07-31,0.0265834326160343,0.71
2019-08-31,-0.0299400906735751,1.14
2019-09-30,0.0194466403162056,2.27
2019-10-31,0.0522550699562458,2.29
2019-11-30,-0.0357940666008289,2.27
2019-12-31,0.1197993151072149,1.46
2020-01-31,-0.0588826466934331,1.08
2020-02-29,-0.0141512900035539,1.31
2020-03-31,0.1220538813182301,1.64
2020-04-30,-0.0507463866438557,3.41
2020-05-31,-0.0331835075136562,5.28
2020-06-30,0.0143388530092452,5.85
2020-07-31,-0.047349239610717,5.63
2020-08-31,0.0478168962752387,5.49
2020-09-30,-0.0589502480641721,6.11
2020-10-31,0.1463059233571977,6.4
2020-11-30,-0.0771569040595587,5.35
2020-12-31,-0.0086353410543682,4.9
2021-01-31,-0.0309983094843385,4.23
2021-02-28,0.1015527374826921,4.8
2021-03-31,-0.0361125432193004,4.95
2021-04-30,-0.0078563411896742,4.71
2021-05-31,0.0947394540942927,4.3
2021-06-30,-0.1097477099186765,3.79
2021-07-31,0.0638710654555543,3.49
2021-08-31,-0.0902417198754373,3.02
2021-09-30,0.1719711187150425,3.57
2021-10-31,-0.0534841864302906,3.99
2021-11-30,0.0541821204012566,3.85
2021-12-31,0.048577764227365,2.83
2022-01-31,0.0044021588208909,2.29
2022-02-28,-0.1175655212471133,2.93
2022-03-31,0.2021890487967184,3.96
2022-04-30,-0.1232160126290752,5.2
2022-05-31,0.0823057833191049,4.75
2022-06-30,-0.0064243613455411,4.4
2022-07-31,-0.0086698550455133,3.92
2022-08-31,-0.0619504492703338,4.59
2022-09-30,0.0563491887350462,4.4
2022-10-31,0.053092002908472,4.21
2022-11-30,-0.0806596701649177,4.59
2022-12-31,0.0058616800860236,5.25
2023-01-31,-0.0249176978090586,5.49
2023-02-28,0.0462439024390244,4.92
2023-03-31,0.062405402258703,4.71
2023-04-30,0.0186799501867993,5.39
2023-05-31,-0.060466377440347,5.1
2023-06-30,-0.0048712065065426,5.1
2023-07-31,0.0472363121871071,4.82
2023-08-31,-0.0135501355013549,5.17
2023-09-30,0.101527149321267,4.87
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
