period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.32
2019-02-28,-0.0638383995543175,0.98
2019-03-31,-0.0773566055473163,1.04
2019-04-30,0.0777248652841235,0.71
2019-05-31,0.2036726479959751,0.39
2019-06-30,-0.0562421797493108,0.39
2019-07-31,0.0003349948187489,0.78
2019-08-31,-0.0914753310540045,1.19
2019-09-30,0.0665754063679422,2.05
2019-10-31,0.2416050931032569,1.83
2019-11-30,-0.1785810961637894,1.51
2019-12-31,0.045605912943996,0.66
2020-01-31,0.0555298900489698,0.96
2020-02-29,-0.0166168641288814,1.52
2020-03-31,0.0851659052886097,2.49
2020-04-30,-0.025031484257871,3.81
2020-05-31,-0.0543740526558585,4.98
2020-06-30,-0.0551522671164141,5.91
2020-07-31,0.1217236944331259,5.07
2020-08-31,-0.0967709190802075,4.41
2020-09-30,0.0662173212864505,6.39
2020-10-31,-0.0038720327539587,7.91
2020-11-30,0.082860606060606,7.97
2020-12-31,-0.326159785443173,6.32
2021-01-31,0.1769911248172118,6.23
2021-02-28,0.3795095077305848,7.0
2021-03-31,-0.1856539973667007,6.93
2021-04-30,0.0411459003037342,6.85
2021-05-31,0.0306492733126151,6.53
2021-06-30,0.1238513838040509,7.51
2021-07-31,-0.1549490838350886,7.82
2021-08-31,0.0419780129654647,7.26
2021-09-30,-0.0347592030756191,6.19
2021-10-31,0.0395040961612191,5.87
2021-11-30,0.0449704142011835,6.62
2021-12-31,0.0377038043478263,6.4
2022-01-31,-0.177331110893225,5.83
2022-02-28,0.1922541619455984,5.47
2022-03-31,-0.0150562622036055,5.82
2022-04-30,-0.0471484499727417,6.74
2022-05-31,0.0452697207915424,7.57
2022-06-30,-0.0246895574237476,7.17
2022-07-31,-0.2134484096478287,7.64
2022-08-31,0.2782024383751105,7.37
2022-09-30,-0.1164135531743842,8.6
2022-10-31,-0.0607694149272459,8.54
2022-11-30,0.0088393936418398,9.19
2022-12-31,0.1062793133562363,8.61
2023-01-31,-0.0785399470210936,8.73
2023-02-28,0.0508074588159741,8.31
2023-03-31,-0.0835933293753552,7.92
2023-04-30,0.3385381972351942,7.02
2023-05-31,-0.2324126047993255,6.67
2023-06-30,0.2531816895485621,7.29
2023-07-31,-0.0778959656942389,7.62
2023-08-31,-0.025536605560514,6.89
2023-09-30,0.363308585496346,6.09
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
