period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,12.12
2019-02-28,-0.1324473020915859,14.37
2019-03-31,-0.1095900651523977,13.99
2019-04-30,0.0752058155793595,13.51
2019-05-31,0.0473463146224921,12.37
2019-06-30,-0.0333496620575455,11.39
2019-07-31,0.0660583492510027,7.97
2019-08-31,0.1535542412799104,7.03
2019-09-30,-0.0687880123255881,7.99
2019-10-31,0.068487389853582,10.67
2019-11-30,-0.064983500946438,11.18
2019-12-31,-0.0706494139642857,11.49
2020-01-31,0.1409260781306165,10.75
2020-02-29,-0.1223600711646583,10.93
2020-03-31,0.1638099714945322,11.53
2020-04-30,0.2161909740118281,13.24
2020-05-31,-0.1976831172029365,13.16
2020-06-30,0.1348856047373712,13.76
2020-07-31,-0.0779165092957397,13.71
2020-08-31,0.0094966127562605,15.89
2020-09-30,-0.0880858738409489,17.1
2020-10-31,0.2055507958015912,19.72
2020-11-30,-0.0216579210303262,19.68
2020-12-31,-0.0386909015226352,20.41
2021-01-31,-0.0208625748580071,20.9
2021-02-28,-0.0655791717534695,23.85
2021-03-31,0.1733702805932657,27.99
2021-04-30,-0.0125138681457499,29.59
2021-05-31,0.0275233757065187,29.7
2021-06-30,-0.0187010118286709,27.44
2021-07-31,-0.051966205325166,28.02
2021-08-31,0.0474648789525029,30.15
2021-09-30,0.2580420301490871,31.59
2021-10-31,-0.1027184554880722,30.95
2021-11-30,-0.1201738315220436,27.41
2021-12-31,0.1129914626752919,20.84
2022-01-31,-0.1259293870190858,19.47
2022-02-28,0.1564388116555812,20.83
2022-03-31,-0.1069950954950503,25.88
2022-04-30,0.2180268304246104,26.47
2022-05-31,-0.0212143035570184,24.37
2022-06-30,0.0355579117896043,23.42
2022-07-31,0.1270906639658984,24.65
2022-08-31,-0.0542327797954602,24.81
2022-09-30,0.12053581505355,24.74
2022-10-31,-0.1126071484160707,23.9
2022-11-30,0.0331302523490841,25.59
2022-12-31,-0.10447258193336,26.42
2023-01-31,-0.0542154221919577,26.06
2023-02-28,0.0623095788453691,26.33
2023-03-31,-0.0154731712762491,28.36
2023-04-30,0.0714306915778697,29.34
2023-05-31,0.0569643735251561,30.35
2023-06-30,-0.1599470613749523,28.57
2023-07-31,0.3058736576661343,29.22
2023-08-31,-0.1604508322963095,28.57
2023-09-30,0.0319198070242978,27.18
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
