period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.05
2019-02-28,0.0929846066707777,1.98
2019-03-31,-0.0796369923597046,3.0
2019-04-30,0.0209901421898903,2.85
2019-05-31,0.0808572671789442,2.68
2019-06-30,-0.1219620048753759,2.09
2019-07-31,0.1276154002623291,1.93
2019-08-31,-0.1606885675008209,1.57
2019-09-30,0.1480724288591697,2.82
2019-10-31,-0.1330769535724556,3.71
2019-11-30,0.0510131959378545,4.17
2019-12-31,-0.0487664999411187,3.44
2020-01-31,0.0454930035795639,2.95
2020-02-29,0.2188705268195816,3.34
2020-03-31,-0.1445624946095451,4.43
2020-04-30,0.0848775924751628,5.59
2020-05-31,-0.2276811245558914,6.16
2020-06-30,0.4733451200942937,6.05
2020-07-31,-0.1926080166579905,5.78
2020-08-31,0.1246031641809988,6.3
2020-09-30,0.0281101809165122,7.11
2020-10-31,0.0057833504840616,7.35
2020-11-30,0.0660237445270348,8.33
2020-12-31,-0.1118405767376448,8.3
2021-01-31,0.045728105586595,9.77
2021-02-28,0.0577501672431934,9.63
2021-03-31,0.012265807962529,9.05
2021-04-30,0.0398731764281201,8.35
2021-05-31,-0.0105020191724433,7.87
2021-06-30,0.0673689104652821,9.0
2021-07-31,-0.0810936095586237,8.13
2021-08-31,-0.0046395046814238,6.98
2021-09-30,0.0252439819358163,5.7
2021-10-31,0.0279030891296163,5.92
2021-11-30,0.0339002267573695,7.33
2021-12-31,-0.0050239234449759,7.85
2022-01-31,-0.0279049518665611,8.21
2022-02-28,-0.1631230104707079,8.01
2022-03-31,0.3772751412045882,8.45
2022-04-30,-0.1101672375711565,8.4
2022-05-31,0.1539133830360841,8.16
2022-06-30,-0.0062073627926986,7.59
2022-07-31,-0.0109304341713721,7.25
2022-08-31,0.0180576296969987,6.91
2022-09-30,-0.053296171139738,6.62
2022-10-31,0.1415070316534048,6.26
2022-11-30,-0.1253342919367395,6.63
2022-12-31,0.017336216483559,6.24
2023-01-31,0.1395302926469024,5.75
2023-02-28,-0.2403156245844903,5.58
2023-03-31,0.333693120590349,5.6
2023-04-30,0.1087189772575862,5.84
2023-05-31,-0.1623779745320209,5.81
2023-06-30,0.0824383294212007,5.7
2023-07-31,0.1045910557429212,5.79
2023-08-31,-0.087461559406712,5.46
2023-09-30,0.0591288960280635,5.38
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
