period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,6.43
2019-02-28,-0.211463832898176,8.63
2019-03-31,0.1123951291854945,11.31
2019-04-30,0.1400379378672054,9.62
2019-05-31,0.4884309726166771,7.98
2019-06-30,-0.5094424205852555,7.36
2019-07-31,0.3695607815529076,5.91
2019-08-31,0.0864837232216726,5.24
2019-09-30,-0.0828900566665165,5.87
2019-10-31,0.6153584476816554,7.91
2019-11-30,-0.5765085043983914,7.82
2019-12-31,-0.0324255452837715,8.48
2020-01-31,-0.359321933159771,7.78
2020-02-29,1.197938360626774,9.58
2020-03-31,-0.409522459080754,11.63
2020-04-30,0.0599058143747122,13.67
2020-05-31,0.7204076116402018,14.01
2020-06-30,-0.4700479683037677,12.42
2020-07-31,0.3893213525303864,11.88
2020-08-31,0.3581906240256212,12.88
2020-09-30,0.0,15.28
2020-10-31,0.0,17.15
2020-11-30,-0.2548455205802069,19.05
2020-12-31,0.1411238975403079,18.86
2021-01-31,-0.5090661808315942,20.14
2021-02-28,0.5206812452213778,22.42
2021-03-31,0.1492508285764913,27.14
2021-04-30,0.957118864118031,28.01
2021-05-31,-0.4989440337909187,26.65
2021-06-30,0.4550241258167817,22.49
2021-07-31,-0.1701099016436771,23.15
2021-08-31,0.3876120325236021,24.77
2021-09-30,-0.2952017151101502,27.8
2021-10-31,-0.1172699063878581,28.91
2021-11-30,1.027322404371584,26.67
2021-12-31,0.1353176149082768,20.59
2022-01-31,-0.4174279097903611,14.76
2022-02-28,0.2024412538726181,11.56
2022-03-31,-0.3072451091437393,12.73
2022-04-30,0.8034352021471154,12.55
2022-05-31,-0.270265412526166,11.51
2022-06-30,-0.1923031538243105,11.06
2022-07-31,0.8838004833713144,10.4
2022-08-31,-0.4046795674699903,11.01
2022-09-30,0.4739923871835427,10.32
2022-10-31,-0.3167781647375598,10.36
2022-11-30,0.0,9.74
2022-12-31,-0.1357414422129785,9.04
2023-01-31,0.1570611491086089,10.56
2023-02-28,-0.0719195111919543,11.82
2023-03-31,0.0774927520395587,12.7
2023-04-30,1.2229555824569247,11.96
2023-05-31,-0.5381690192832265,12.38
2023-06-30,0.3782682515373055,12.87
2023-07-31,-0.2932718346870968,13.58
2023-08-31,0.0,12.14
2023-09-30,-0.2091963431698621,15.2
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
