period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.71
2019-02-28,-0.0345628114555607,1.05
2019-03-31,0.0238611140103677,2.14
2019-04-30,-0.0991191470796202,2.19
2019-05-31,0.1840317642556448,2.46
2019-06-30,-0.1000770970371039,2.2
2019-07-31,0.1314924739534944,2.13
2019-08-31,0.0139440222664259,2.3
2019-09-30,0.0623774407960207,2.37
2019-10-31,-0.0378546422947961,2.36
2019-11-30,-0.0200391252006422,2.01
2019-12-31,0.0133528516033718,1.78
2020-01-31,0.0219720543251358,1.73
2020-02-29,-0.0328882437757663,2.3
2020-03-31,-0.0947526706371715,2.12
2020-04-30,0.1546911649616584,2.94
2020-05-31,0.2510942224000285,3.79
2020-06-30,-0.172208978483808,5.04
2020-07-31,0.0016385135135135,4.59
2020-08-31,0.072148698940095,4.4
2020-09-30,-0.2002819282031334,3.7
2020-10-31,0.0631352315257998,3.97
2020-11-30,0.0492794539019043,3.94
2020-12-31,-0.061591588467609,5.03
2021-01-31,0.3050671812464265,5.97
2021-02-28,-0.1317812509131161,6.2
2021-03-31,0.1749874166426142,6.46
2021-04-30,-0.134916512949804,6.1
2021-05-31,0.1986408689698624,5.87
2021-06-30,0.0034001280709698,4.98
2021-07-31,-0.0526547697730777,4.88
2021-08-31,0.0335294117647058,4.79
2021-09-30,-0.0005999169345782,5.58
2021-10-31,0.2164383561643836,6.08
2021-11-30,0.0863188770165515,6.78
2021-12-31,-0.133309500706467,6.61
2022-01-31,-0.0279796511627907,6.92
2022-02-28,-0.0711904381254132,6.4
2022-03-31,0.059719340809609,6.37
2022-04-30,0.0585664335664335,5.73
2022-05-31,0.1917494270435449,5.34
2022-06-30,-0.1025940337224385,4.98
2022-07-31,0.0540540540540539,4.6
2022-08-31,-0.0504778554778553,5.01
2022-09-30,-0.0136861239494943,4.63
2022-10-31,0.047184309674283,4.56
2022-11-30,0.1489519638552461,4.27
2022-12-31,-0.1608522548092085,4.14
2023-01-31,-0.0030645824763472,4.28
2023-02-28,0.0485981308411214,4.15
2023-03-31,0.0109255823541538,4.19
2023-04-30,-0.1030122960681386,4.11
2023-05-31,0.0361178100518577,4.19
2023-06-30,0.1431430719715136,4.7
2023-07-31,-0.0654891008479823,4.29
2023-08-31,0.0480557645297372,4.33
2023-09-30,-0.2965877046706999,3.71
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
