period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,236250.0,598500.0,194.1176470588236,293.89916379549845,10.5,6.5,14.5,43.0,3.5,67.5,0.9883903533112508,0.2794117647058823,0.0894736842105263,0.0454545454545454,0.4,0.0,NY,Garden City,Condo
2019-02-28,413000.0,592600.0,150.42691705714816,312.1371564088628,10.5,7.0,13.5,44.5,4.25,84.0,0.9527830779533556,0.0555555555555555,0.1690283400809716,0.1818181818181818,0.76,-0.22507345758438857,NY,Garden City,Condo
2019-03-31,258000.0,573875.0,193.51351351351352,300.7292502755458,10.5,11.0,17.5,48.5,5.9,94.0,0.9600765526844524,0.0263157894736842,0.1581300813008129,0.125,1.13,0.28642876753231916,NY,Garden City,Condo
2019-04-30,234000.0,598975.0,149.1463414634146,310.12764351911665,7.333333333333333,7.5,19.5,57.5,4.7,78.66666666666667,0.9950299288916228,0.1862745098039215,0.1863507779349363,0.1538461538461538,0.94,-0.22927169914157264,NY,Garden City,Condo
2019-05-31,284500.0,587875.0,246.6379040665093,327.3163343806908,23.5,17.5,18.0,48.0,2.7,59.0,0.9787248659627732,0.3081395348837209,0.2047038327526132,0.0806451612903225,0.57,0.6536637885080758,NY,Garden City,Condo
2019-06-30,276666.6666666667,539495.0,207.61419365554423,289.9823275360329,9.0,5.666666666666667,14.5,50.0,5.05,40.66666666666666,0.976895548934816,0.1666666666666666,0.149867374005305,0.3888888888888888,0.47,-0.15822268097300152,NY,Garden City,Condo
2019-07-31,219300.0,528944.0,116.27570471656554,306.30297629076813,7.666666666666667,10.0,18.5,54.5,5.65,33.666666666666664,0.9875295998207322,0.0166666666666666,0.1342147435897435,0.3725490196078431,0.42,-0.4399433744424994,NY,Garden City,Condo
2019-08-31,295500.0,579475.0,392.1226288475305,304.32517611788853,18.0,11.5,13.5,50.0,2.25,73.5,0.9617632624892386,0.1428571428571428,0.2,0.0714285714285714,0.42,2.3723522020646644,NY,Garden City,Condo
2019-09-30,297250.0,530849.75,410.5172771882837,308.7641603821046,10.0,16.0,13.5,47.0,4.4,65.0,0.9540961419277812,0.0,0.2703252032520325,0.0625,0.15,0.04691044838400682,NY,Garden City,Condo
2019-10-31,258575.0,539200.0,338.7256184157726,312.0898861732249,19.0,11.5,14.0,43.0,2.05,65.5,0.9794697077754432,0.265625,0.2163636363636363,0.2302631578947367,0.06,-0.174880967895497,NY,Garden City,Condo
