period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.17
2019-02-28,0.155862068965517,0.17
2019-03-31,-0.2094272076372314,0.57
2019-04-30,0.2938005390835581,1.2
2019-05-31,1.8018679119412944,1.37
2019-06-30,-0.6778464912280702,1.62
2019-07-31,-0.0478458049886619,1.91
2019-08-31,0.0454811979333764,2.95
2019-09-30,1.5570180973042589,3.09
2019-10-31,-0.6267788114837978,3.08
2019-11-30,0.1564373383422768,2.98
2019-12-31,0.6807407269922099,3.14
2020-01-31,-0.4750099226843007,2.42
2020-02-29,-0.0285714285714284,1.96
2020-03-31,2.5765966866039167,1.38
2020-04-30,-0.6356258164643322,3.33
2020-05-31,-0.2303548303548304,4.84
2020-06-30,0.1131790683605566,6.28
2020-07-31,0.1601434172877884,5.19
2020-08-31,0.0487582781456952,5.14
2020-09-30,-0.1560283961403309,4.08
2020-10-31,1.448072702477908,3.74
2020-11-30,-0.6479146263212996,3.21
2020-12-31,0.3854166666666667,4.41
2021-01-31,-0.0015037593984962,4.96
2021-02-28,-0.2720883534136545,5.1
2021-03-31,-0.0367610147893581,5.62
2021-04-30,0.4911716353383171,7.06
2021-05-31,-0.3564044927764018,6.75
2021-06-30,0.0683174603174603,6.5
2021-07-31,0.0,6.5
2021-08-31,0.1240223463687151,6.7
2021-09-30,-0.1376739562624256,6.98
2021-10-31,0.0326609029779061,6.92
2021-11-30,0.5069767441860464,8.18
2021-12-31,-0.1883070810273874,7.63
2022-01-31,0.5077666111897063,6.73
2022-02-28,-0.2727651712014982,5.46
2022-03-31,-0.086267955281548,6.0
2022-04-30,-0.1460781962101222,6.89
2022-05-31,0.2066666666666665,7.74
2022-06-30,0.0672733181670459,8.04
2022-07-31,-0.165271010962241,7.18
2022-08-31,2.3021760263216926,6.2
2022-09-30,-0.6290911835748791,6.0
2022-10-31,0.2325358177705139,7.15
2022-11-30,-0.4681185336959994,8.79
2022-12-31,0.3413279132791331,8.7
2023-01-31,0.0265162007240875,8.57
2023-02-28,-0.0739787496111187,7.79
2023-03-31,-0.0102900632935967,9.52
2023-04-30,-0.0941619585687384,9.55
2023-05-31,0.4795341965759974,10.45
2023-06-30,-0.2105667602194854,10.61
2023-07-31,2.21497307186502,10.86
2023-08-31,-0.4813957971852709,10.82
2023-09-30,-0.06914573386943,10.22
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
