period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.05
2019-02-28,-0.348145047526507,1.73
2019-03-31,1.138749318449794,1.62
2019-04-30,-0.2250901442307692,2.31
2019-05-31,0.0719125140369434,2.14
2019-06-30,-0.0383111521589868,2.49
2019-07-31,-0.0977497894306499,1.57
2019-08-31,0.0942760942760942,1.84
2019-09-30,0.1745748941043057,1.98
2019-10-31,-0.1158830793387279,3.02
2019-11-30,0.1175257731958763,3.53
2019-12-31,-0.0924646462549836,3.22
2020-01-31,-0.08584252087621,2.68
2020-02-29,0.0939034278409987,2.64
2020-03-31,0.0,3.7
2020-04-30,0.1161132089397418,5.56
2020-05-31,-0.1992912288580025,6.04
2020-06-30,-0.1794801032156108,6.92
2020-07-31,0.363728916725105,6.8
2020-08-31,0.0,7.84
2020-09-30,-0.1005758109203081,7.43
2020-10-31,0.111822443894042,6.98
2020-11-30,0.0,6.94
2020-12-31,0.0,7.29
2021-01-31,0.0484333853958016,7.66
2021-02-28,-0.0461959587232307,7.49
2021-03-31,0.0,7.17
2021-04-30,-0.3061449771099221,7.44
2021-05-31,1.1315789473684208,7.26
2021-06-30,-0.3238705680690049,6.92
2021-07-31,0.023927756451147,7.14
2021-08-31,0.1134968432690348,6.95
2021-09-30,-0.0596551830017193,6.44
2021-10-31,0.0527259037830556,6.45
2021-11-30,-0.3967485380116959,6.41
2021-12-31,0.4687262812525428,7.18
2022-01-31,0.1021395091712282,6.99
2022-02-28,0.279843826300066,7.21
2022-03-31,-0.2784380305602717,8.29
2022-04-30,-0.0174994192252727,9.06
2022-05-31,-0.190970661569464,9.05
2022-06-30,0.2360491177488504,8.63
2022-07-31,-0.0602948358186189,8.12
2022-08-31,0.119221411192214,8.99
2022-09-30,0.173838457238681,8.62
2022-10-31,-0.1236940953404074,8.95
2022-11-30,-0.0756673264248852,9.38
2022-12-31,0.2888542799191884,9.38
2023-01-31,-0.3253331314354937,9.09
2023-02-28,0.1339285714285716,8.25
2023-03-31,-0.3283582089552241,8.79
2023-04-30,0.6444444444444448,7.8
2023-05-31,0.003490990990991,7.32
2023-06-30,-0.0849376109204579,6.76
2023-07-31,0.0,7.12
2023-08-31,-0.0048060127878484,6.76
2023-09-30,0.0048292220909729,6.66
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
