period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.5
2019-02-28,0.0688181715298046,3.82
2019-03-31,0.5701291704771785,3.5
2019-04-30,0.0,2.88
2019-05-31,-0.3096737717847123,3.3
2019-06-30,0.2925879844577002,3.02
2019-07-31,-0.382481487347455,2.08
2019-08-31,0.0592739920099276,2.24
2019-09-30,-0.4043863959417985,2.29
2019-10-31,1.956735663679913,2.0
2019-11-30,-0.5435290680689455,2.84
2019-12-31,1.1312627023157271,2.43
2020-01-31,0.5765301932742439,2.2
2020-02-29,-0.4576691918704698,2.95
2020-03-31,-0.8455622584552478,2.93
2020-04-30,7.259958071278827,5.09
2020-05-31,-0.2479421824338789,4.01
2020-06-30,-0.0095826168977859,3.92
2020-07-31,0.3889713667723191,3.9
2020-08-31,0.1632974419778465,5.07
2020-09-30,0.0812793809040741,4.66
2020-10-31,-0.3615868750787704,5.16
2020-11-30,-0.1026716175089671,5.2
2020-12-31,-0.7848832027988848,5.3
2021-01-31,4.223989758691207,5.95
2021-02-28,0.0995053954401243,6.15
2021-03-31,0.0729864592375446,6.55
2021-04-30,-0.3062451061297477,5.27
2021-05-31,0.3520057123777065,5.92
2021-06-30,0.214722000732473,5.15
2021-07-31,-0.0836910587220376,5.49
2021-08-31,-0.0578058274955775,6.56
2021-09-30,0.3280607367802561,7.18
2021-10-31,-0.273780078654642,6.68
2021-11-30,0.0747307171716149,6.92
2021-12-31,0.1420316998709927,5.92
2022-01-31,0.2075527203728964,8.4
2022-02-28,-0.1660141874408608,8.04
2022-03-31,-0.0992184407311492,6.79
2022-04-30,-0.0801995564698991,9.28
2022-05-31,0.2951597275059048,7.48
2022-06-30,-0.0580865894270246,8.22
2022-07-31,0.0156351791530944,7.4
2022-08-31,-0.0944276973662889,6.58
2022-09-30,-0.2181631956120997,6.96
2022-10-31,-0.2463360110293241,7.92
2022-11-30,0.2019083966044608,7.63
2022-12-31,0.4601802383466586,7.14
2023-01-31,-0.4715965613139081,7.12
2023-02-28,0.8134634965875158,6.84
2023-03-31,-0.0204352937240882,6.75
2023-04-30,0.1476026038225975,6.93
2023-05-31,-0.0642595186584995,6.91
2023-06-30,-0.1241828773893428,6.31
2023-07-31,0.0364951683629004,6.35
2023-08-31,0.1326212964608808,5.67
2023-09-30,0.2321952642323106,5.79
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
