period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.3849249927616658,0.0
2019-03-31,0.3064359448132212,0.0
2019-04-30,-0.2032760066857744,0.51
2019-05-31,0.5291786660839601,0.51
2019-06-30,-0.3206054351565188,0.51
2019-07-31,0.0840491700694161,0.0
2019-08-31,-0.2885264851730853,0.0
2019-09-30,0.3151006385312875,0.4
2019-10-31,0.1115907944940646,0.4
2019-11-30,0.0436247049856204,0.4
2019-12-31,-0.1728107792692269,0.0
2020-01-31,0.208913238879683,0.09
2020-02-29,0.0712708602553404,0.17
2020-03-31,-0.4230303030303031,0.71
2020-04-30,0.7767767767767768,0.62
2020-05-31,-0.0130630932333128,0.84
2020-06-30,-0.0773745183736813,0.7
2020-07-31,-0.0902729300895313,1.08
2020-08-31,-0.3489517185750638,1.61
2020-09-30,0.5271866727433658,1.67
2020-10-31,-0.1032759351618162,1.29
2020-11-30,-0.382264343149532,1.24
2020-12-31,0.3513837638376385,1.28
2021-01-31,0.4768737382732047,1.5
2021-02-28,-0.5378439505773565,1.14
2021-03-31,1.2976782300614849,0.92
2021-04-30,-0.4138671802659357,0.88
2021-05-31,0.4747510228555305,0.83
2021-06-30,0.14633472030164,1.0
2021-07-31,-0.1222293944068136,1.21
2021-08-31,0.3278122843340232,0.82
2021-09-30,-0.0804335865617219,0.67
2021-10-31,-0.3125312513688336,0.55
2021-11-30,0.3184090757564275,0.67
2021-12-31,0.1102024566047898,0.39
2022-01-31,-0.1187689086224106,0.13
2022-02-28,0.0,0.0
2022-03-31,0.4283972707452286,0.32
2022-04-30,-0.3262403465047183,0.81
2022-05-31,1.95475634578544,1.08
2022-06-30,-0.6483389135351696,1.3
2022-07-31,0.4260169329393899,0.87
2022-08-31,-0.4503198393302241,0.98
2022-09-30,0.2757490542196859,1.02
2022-10-31,-0.5464414502832561,0.96
2022-11-30,1.204787012888456,1.06
2022-12-31,0.2807661555621439,0.99
2023-01-31,-0.1193753264963844,1.36
2023-02-28,-0.1133763577365851,1.88
2023-03-31,-0.1911499900361305,2.02
2023-04-30,0.5417754952311074,2.44
2023-05-31,-0.1739393939393937,1.45
2023-06-30,-0.0292688759043743,1.26
2023-07-31,0.0066006757301571,1.15
2023-08-31,0.2834643060851241,1.55
2023-09-30,0.1470789820970159,1.91
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
