period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,2.91
2019-02-28,-0.1140740740740744,2.2
2019-03-31,0.1219717204564427,1.2
2019-04-30,-0.0605113737618558,1.94
2019-05-31,0.0319282919545056,1.15
2019-06-30,0.0597021558628767,0.58
2019-07-31,-0.0252690218982396,1.39
2019-08-31,-0.0010051514568274,1.05
2019-09-30,0.0153476923076925,1.57
2019-10-31,-0.0614564682568459,1.28
2019-11-30,0.0733370754618598,1.47
2019-12-31,-0.0117706734509368,1.86
2020-01-31,-0.0287781484501774,1.65
2020-02-29,-0.0664033755405558,2.31
2020-03-31,0.049627645252575,2.44
2020-04-30,0.02135847329888,6.57
2020-05-31,0.007485342231742,6.39
2020-06-30,-0.0155540396711715,6.14
2020-07-31,0.007568591800118,7.7
2020-08-31,0.0611190238077485,5.51
2020-09-30,-0.0035488765374325,9.46
2020-10-31,-0.0297847062211983,7.52
2020-11-30,0.0113401485950506,6.81
2020-12-31,0.0133547314724591,9.25
2021-01-31,0.0371504297994269,8.6
2021-02-28,-0.0503188255604905,10.05
2021-03-31,0.0572428343393873,8.84
2021-04-30,0.0013537048322651,9.57
2021-05-31,0.1028542977816142,9.65
2021-06-30,0.0119473021337777,7.26
2021-07-31,0.0316818436066672,8.18
2021-08-31,-0.0159095751368961,7.9
2021-09-30,-0.0305565605075692,8.62
2021-10-31,-0.0201867413632118,11.11
2021-11-30,0.0511138977399823,9.67
2021-12-31,0.0152914042042928,10.97
2022-01-31,0.007330707519275,10.84
2022-02-28,0.0409183313429595,13.0
2022-03-31,0.0269411034055837,11.97
2022-04-30,0.0158468248336369,12.01
2022-05-31,-0.0347747904521592,11.34
2022-06-30,0.0587237762237762,10.93
2022-07-31,-0.0343099676765566,11.98
2022-08-31,-0.0421609129149832,10.48
2022-09-30,-0.0516890674602175,11.46
2022-10-31,0.0733751958203945,11.85
2022-11-30,-0.1170723724824053,13.32
2022-12-31,0.1110641451571683,11.33
2023-01-31,-0.0796288705891121,12.13
2023-02-28,0.0914505956552209,10.73
2023-03-31,0.0224077483023854,11.52
2023-04-30,-0.0558613637352596,8.47
2023-05-31,0.0053555125667312,8.79
2023-06-30,0.0067024658278511,8.61
2023-07-31,0.0580048802349812,8.69
2023-08-31,-0.0074778326731973,7.3
2023-09-30,-0.038900347371458,8.54
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
