period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.26
2019-02-28,1.0158357472651898,1.69
2019-03-31,-0.4624718468468468,2.14
2019-04-30,1.1960265696093102,1.23
2019-05-31,-0.3001866106566032,1.18
2019-06-30,0.1954293407165301,0.8
2019-07-31,0.0635045255715676,0.84
2019-08-31,0.0064153559894053,0.75
2019-09-30,-0.1451032448540494,0.92
2019-10-31,-0.2645957439845955,0.87
2019-11-30,0.0604666269690901,1.07
2019-12-31,-0.0621996917657421,1.23
2020-01-31,0.595697154678458,1.45
2020-02-29,-0.10489760108474,2.06
2020-03-31,-0.0809920519196132,2.15
2020-04-30,-0.0485175202156334,2.59
2020-05-31,-0.0468578127882779,2.72
2020-06-30,0.3641405750798721,3.31
2020-07-31,-0.0730340049711777,2.95
2020-08-31,0.2408840268426757,2.12
2020-09-30,-0.3815612920424757,1.82
2020-10-31,0.4185303514376994,1.89
2020-11-30,0.1261261261261264,2.38
2020-12-31,0.0678823529411762,2.56
2021-01-31,-0.4426001002140937,3.36
2021-02-28,0.5208925556244257,3.9
2021-03-31,-0.0103368317699994,4.49
2021-04-30,-0.3698105641717014,4.09
2021-05-31,1.3492871254407248,3.81
2021-06-30,-0.147871512571643,3.56
2021-07-31,-0.0123153119792629,3.74
2021-08-31,-0.148775053363694,4.16
2021-09-30,0.3395458977176793,4.43
2021-10-31,-0.0546373749159561,5.25
2021-11-30,0.0425325136803598,5.36
2021-12-31,-0.0952761994507284,5.79
2022-01-31,-0.1709852541220464,5.96
2022-02-28,0.3090488963741817,5.96
2022-03-31,0.1038817465871426,6.35
2022-04-30,0.0356656144500178,6.22
2022-05-31,0.2850963200480971,6.8
2022-06-30,-0.098794140444863,5.9
2022-07-31,-0.2471632429736894,5.38
2022-08-31,-0.1650977364415166,4.4
2022-09-30,-0.2609751309080164,5.42
2022-10-31,0.4160923242458865,6.22
2022-11-30,0.0738983903459868,8.4
2022-12-31,-0.0589776158433047,7.89
2023-01-31,0.1560084509945378,7.99
2023-02-28,-0.0528661358070348,8.17
2023-03-31,0.0748417502945804,9.45
2023-04-30,-0.26835132805371,10.42
2023-05-31,0.2380544246839515,9.34
2023-06-30,-0.0083333333333335,9.11
2023-07-31,-0.3830658035626076,8.69
2023-08-31,0.7886940287656334,8.42
2023-09-30,0.0956988795624751,7.58
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
