period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,390000.0,299950.0,192.9737753587333,192.87169948302656,1.0,3.0,4.0,9.0,9.0,25.0,1.000256476019492,1.0,0.4444444444444444,0.3333333333333333,2.0,0.0,OR,Eugene,Multi-Family (2-4 Unit)
2019-02-28,310000.0,337000.0,180.75980392156865,196.41548927263213,3.0,2.0,6.0,13.0,4.3,19.0,0.9516975222519976,0.0,0.3076923076923077,1.0,2.94,-0.06329342634489676,OR,Eugene,Multi-Family (2-4 Unit)
2019-03-31,218875.0,352000.0,134.20295725320764,203.8421934813637,4.0,6.0,9.0,15.0,3.8,6.0,1.011413092604214,0.5,0.4,0.5,2.6,-0.2575619449585259,OR,Eugene,Multi-Family (2-4 Unit)
2019-04-30,360000.0,327900.0,198.4511132623427,200.3320420586608,7.0,9.0,6.0,11.0,1.6,80.0,0.959710785229936,0.1428571428571428,0.3636363636363636,0.4444444444444444,2.91,0.47873875005537125,OR,Eugene,Multi-Family (2-4 Unit)
2019-05-31,421000.0,349000.0,168.50514317834657,201.23943410852712,8.0,5.0,9.0,15.0,1.9,28.0,0.9864474102534984,0.125,0.0666666666666666,0.5999999999999999,2.06,-0.15089847364277065,OR,Eugene,Multi-Family (2-4 Unit)
2019-06-30,293000.0,325000.0,198.50852272727272,205.77522516183507,5.0,2.0,7.0,18.0,3.6,7.0,1.0265019681821042,0.4,0.2777777777777777,1.0,2.38,0.17805616483272813,OR,Eugene,Multi-Family (2-4 Unit)
2019-07-31,375000.0,339975.0,148.11133200795229,204.39596294131883,5.0,4.0,9.0,22.0,4.4,42.0,0.980030018761726,0.0,0.1363636363636363,0.5,1.77,-0.2538792290976858,OR,Eugene,Multi-Family (2-4 Unit)
2019-08-31,346950.0,349450.0,186.82618532362773,209.42429055893533,8.0,8.0,7.0,15.0,1.9,64.0,1.0040046740620716,0.25,0.4666666666666666,0.375,3.03,0.2613902176883858,OR,Eugene,Multi-Family (2-4 Unit)
2019-09-30,335500.0,349900.0,154.9053356282272,208.34005712617795,7.0,6.0,3.0,10.0,1.4,18.0,0.9675993598222205,0.1428571428571428,0.4,0.5,3.37,-0.17085854234033615,OR,Eugene,Multi-Family (2-4 Unit)
2019-10-31,408000.0,355000.0,180.024154589372,212.5,10.0,7.0,4.0,6.0,0.5999999999999999,49.0,0.9665827849482472,0.1,0.6666666666666666,0.4285714285714285,3.35,0.1621559312936125,OR,Eugene,Multi-Family (2-4 Unit)
