period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.83
2019-02-28,-0.0240582865361719,3.27
2019-03-31,0.1028823821872821,4.19
2019-04-30,0.0649627263045793,2.91
2019-05-31,-0.0020319303338169,2.09
2019-06-30,0.0274459900968082,1.16
2019-07-31,-0.1246412122618547,1.29
2019-08-31,0.1095999999999997,1.04
2019-09-30,-0.0016457718185772,1.57
2019-10-31,0.0388917748917745,1.26
2019-11-30,-0.0565083846843582,1.4
2019-12-31,0.0157987460859765,1.33
2020-01-31,0.0706817833026396,1.38
2020-02-29,-0.0556438064859116,1.34
2020-03-31,0.0513786074642794,1.43
2020-04-30,-0.2354633543523288,4.79
2020-05-31,0.3433430773319161,6.21
2020-06-30,-0.1221818181818181,7.37
2020-07-31,0.0269216902641951,6.13
2020-08-31,0.0484767780572834,5.4
2020-09-30,-0.0780608372934485,5.45
2020-10-31,0.0895906205143386,5.27
2020-11-30,-0.0260594376626996,6.72
2020-12-31,-0.0775072338471757,8.15
2021-01-31,0.1488919701512558,8.71
2021-02-28,0.0031675889173492,9.51
2021-03-31,0.0356291125766601,10.46
2021-04-30,-0.0136250131443792,10.46
2021-05-31,0.0872653188992147,9.57
2021-06-30,0.0867151985613143,8.41
2021-07-31,-0.1600348158098091,7.69
2021-08-31,0.0,7.22
2021-09-30,0.0571774653972565,6.47
2021-10-31,-0.024045729402872,7.51
2021-11-30,0.0498471724362035,8.39
2021-12-31,0.0310397485472744,8.55
2022-01-31,-0.0627214670396008,7.61
2022-02-28,0.0797290356794999,8.27
2022-03-31,0.0651835887686531,8.47
2022-04-30,-0.064168953585491,8.32
2022-05-31,0.0947448400561676,7.57
2022-06-30,0.0250384987441818,7.99
2022-07-31,-0.116467834780915,7.79
2022-08-31,0.1176846905991768,7.91
2022-09-30,-0.0264147568510264,7.45
2022-10-31,-0.2392093966696542,7.9
2022-11-30,0.5866976659372716,6.92
2022-12-31,-0.324739889626062,6.6
2023-01-31,0.1067769825442823,6.61
2023-02-28,0.0813803160507713,8.34
2023-03-31,-0.1013855165953755,8.76
2023-04-30,0.0628971959178754,8.75
2023-05-31,0.1231297581794752,6.94
2023-06-30,0.0319924225326684,7.11
2023-07-31,-0.0209294581147826,6.92
2023-08-31,-0.0711486639269615,7.79
2023-09-30,0.1254200542005419,7.36
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
