period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.83
2019-02-28,0.0486903668721852,3.27
2019-03-31,0.0752561299284617,4.19
2019-04-30,-0.0355311117339075,2.91
2019-05-31,-0.0109163058843857,2.09
2019-06-30,-0.0527176966796965,1.16
2019-07-31,0.0386887943657452,1.29
2019-08-31,-0.0490082385059554,1.04
2019-09-30,0.0487861952981085,1.57
2019-10-31,0.0309098509026095,1.26
2019-11-30,0.0001089573773416,1.4
2019-12-31,-0.0479024013775793,1.33
2020-01-31,0.1249465388711394,1.38
2020-02-29,0.0532823499509116,1.34
2020-03-31,-0.1667402122618978,1.43
2020-04-30,0.0927292889351505,4.79
2020-05-31,0.0111732330829987,6.21
2020-06-30,-0.0655663915978993,7.37
2020-07-31,0.1709345056487536,6.13
2020-08-31,-0.073646263612467,5.4
2020-09-30,0.0990508518988175,5.45
2020-10-31,-0.0890293235772263,5.27
2020-11-30,0.0248998365280603,6.72
2020-12-31,-0.0029207217458443,8.15
2021-01-31,0.0023390160495322,8.71
2021-02-28,0.0395675772930155,9.51
2021-03-31,0.1210718767850367,10.46
2021-04-30,-0.0251094291108291,10.46
2021-05-31,0.0475612650598427,9.57
2021-06-30,-0.0608833384099908,8.41
2021-07-31,0.1043193798814321,7.69
2021-08-31,-0.05103238593693,7.22
2021-09-30,0.0273762623994928,6.47
2021-10-31,-0.0064383076650734,7.51
2021-11-30,-0.0309437860044695,8.39
2021-12-31,0.0762277487554761,8.55
2022-01-31,-0.0286178788169917,7.61
2022-02-28,0.0590929996661475,8.27
2022-03-31,0.0876749280684399,8.47
2022-04-30,-0.0416168642695956,8.32
2022-05-31,0.1084288853522319,7.57
2022-06-30,-0.0404370387165921,7.99
2022-07-31,-0.1169083752370406,7.79
2022-08-31,-0.008337758787542,7.91
2022-09-30,0.0002385740090655,7.45
2022-10-31,-0.086548774399389,7.9
2022-11-30,0.1167626800249383,6.92
2022-12-31,0.0230527002299212,6.6
2023-01-31,-0.0082690570495449,6.61
2023-02-28,0.0988978215767635,8.34
2023-03-31,-0.0549835097407579,8.76
2023-04-30,0.077984237320966,8.75
2023-05-31,-0.0786083018652015,6.94
2023-06-30,-0.0763381194089773,7.11
2023-07-31,0.0716132600700374,6.92
2023-08-31,0.0644330058839064,7.79
2023-09-30,-0.0644711077155382,7.36
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
