period_begin,asset_value_momentum,occupancy,rank_desirability,remote_work_share
2019-01-31,0.05306089,0.89509592,13.0,3.94
2019-02-28,0.05306089,0.895,13.0,3.76
2019-03-31,0.05306089,0.895,13.0,3.52
2019-04-30,0.05275793,0.895,13.0,3.64
2019-05-31,0.05275793,0.895,13.0,3.84
2019-06-30,0.05062444,0.895,13.0,3.67
2019-07-31,0.05062444,0.895,13.0,3.57
2019-08-31,0.04102662,0.88307824,16.0,3.41
2019-09-30,0.04102662,0.88307824,16.0,4.44
2019-10-31,0.03995533,0.88283986,16.0,4.3
2019-11-30,0.03995533,0.88283986,16.0,4.47
2019-12-31,0.03995533,0.88283986,16.0,4.22
2020-01-31,0.04040505,0.88283986,16.0,4.32
2020-02-29,0.04410259,0.88201732,16.0,4.38
2020-03-31,0.04410259,0.88201732,16.0,5.11
2020-04-30,0.03295598,0.87781766,16.0,9.8
2020-05-31,-0.06020254,0.87781766,16.0,9.68
2020-06-30,-0.06020254,0.87781766,16.0,11.45
2020-07-31,-0.04821435,0.87776509,16.0,10.35
2020-08-31,-0.05042544,0.87776702,12.0,10.17
2020-09-30,-0.05442621,0.87776702,12.0,11.5
2020-10-31,-0.05442621,0.87776702,12.0,12.53
2020-11-30,-0.05442621,0.87776702,12.0,12.34
2020-12-31,-0.05442621,0.87776702,12.0,12.98
2021-01-31,-0.061404,0.878,12.0,12.62
2021-02-28,-0.04139822,0.85359834,20.0,13.9
2021-03-31,-0.04139822,0.85359834,20.0,14.02
2021-04-30,-0.03498433,0.85300928,20.0,13.13
2021-05-31,-0.03498433,0.85300928,20.0,12.75
2021-06-30,-0.03498433,0.85300928,20.0,12.34
2021-07-31,0.03912204,0.854,20.0,11.6
2021-08-31,0.03422346,0.854,20.0,13.06
2021-09-30,0.03422346,0.854,20.0,12.76
2021-10-31,0.07132458,0.854,20.0,13.68
2021-11-30,0.07132458,0.854,20.0,14.28
2021-12-31,0.07132458,0.854,20.0,13.35
2022-01-31,0.04681934,0.854,20.0,14.75
2022-02-28,0.04658922,0.82119587,22.0,14.03
2022-03-31,0.04658922,0.82119587,22.0,15.08
2022-04-30,0.06837185,0.806,22.0,16.16
2022-05-31,0.06837185,0.806,22.0,14.21
2022-06-30,0.06837185,0.806,22.0,14.34
2022-07-31,0.0547555,0.806,22.0,13.75
2022-08-31,0.00309603,0.806,27.0,12.83
2022-09-30,-0.03098971,0.806,27.0,13.53
2022-10-31,-0.03098971,0.806,27.0,15.52
2022-11-30,-0.14345927,0.806,27.0,13.76
2022-12-31,-0.14345927,0.806,27.0,13.29
2023-01-31,-0.1486258,0.806,27.0,13.63
2023-02-28,-0.21688346,0.82974288,26.0,14.52
2023-03-31,-0.21688346,0.82974288,26.0,14.06
2023-04-30,-0.36231907,0.8039,26.0,13.58
2023-05-31,-0.36231907,0.8039,26.0,13.28
2023-06-30,-0.37251574,0.8039,26.0,11.89
2023-07-31,-0.37251574,0.8039,26.0,11.6
2023-08-31,-0.42152679,0.8039,36.0,12.29
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,,,,
2024-04-30,,,,
2024-05-31,,,,
2024-06-30,,,,
2024-07-31,,,,
2024-08-31,,,,
2024-09-30,,,,
2024-10-31,,,,
2024-11-30,,,,
2024-12-31,,,,
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
