period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.59
2019-02-28,-0.3258951373545683,1.1
2019-03-31,0.5390098643964503,1.83
2019-04-30,-0.2494903570278995,2.52
2019-05-31,-0.2494437345976642,2.9
2019-06-30,0.2986219329605521,3.25
2019-07-31,0.2065337870685466,2.29
2019-08-31,0.0600429278719247,2.64
2019-09-30,-0.0297251681854894,2.25
2019-10-31,0.0763296568627449,2.9
2019-11-30,-0.4358773460593326,2.21
2019-12-31,0.8142669134173397,2.02
2020-01-31,-0.1221839626712933,2.1
2020-02-29,0.0444978462933578,2.27
2020-03-31,-0.4131302919656132,2.8
2020-04-30,0.858434447065004,4.23
2020-05-31,0.0,5.24
2020-06-30,0.0,5.56
2020-07-31,-0.1452959713707057,3.92
2020-08-31,-0.0238867006395675,3.37
2020-09-30,0.1921548913043478,3.57
2020-10-31,0.0054288296242319,4.35
2020-11-30,-0.3701432035258269,5.17
2020-12-31,0.4258676269846706,5.13
2021-01-31,0.0004185699166774,5.28
2021-02-28,-0.0930935557460881,5.18
2021-03-31,0.2192944271197945,5.46
2021-04-30,0.1442728394600052,5.66
2021-05-31,-0.1827794541900336,5.25
2021-06-30,0.3655772231244754,5.04
2021-07-31,-0.2117916722279098,5.05
2021-08-31,-0.1386509301825101,6.22
2021-09-30,0.2450758583976577,6.31
2021-10-31,0.2557064652837524,6.45
2021-11-30,0.1504394648481424,5.1
2021-12-31,-0.3545344069916222,5.28
2022-01-31,0.0,5.79
2022-02-28,0.2463110048704364,6.86
2022-03-31,-0.0526590588450927,7.66
2022-04-30,-0.1253146576830978,7.37
2022-05-31,0.2666492009431491,7.7
2022-06-30,-0.2355324394487064,7.0
2022-07-31,0.1731630777568811,6.99
2022-08-31,-0.1646791031224787,6.43
2022-09-30,0.0198972084798223,6.89
2022-10-31,0.5885920433263772,6.65
2022-11-30,-0.3436877344554286,7.06
2022-12-31,-0.0403586326320237,7.34
2023-01-31,0.1556024272477625,7.22
2023-02-28,-0.1346504849581812,7.97
2023-03-31,0.0,8.01
2023-04-30,0.0,8.59
2023-05-31,0.0,8.23
2023-06-30,0.3913765360976744,8.26
2023-07-31,-0.0884462194075939,8.31
2023-08-31,-0.0908270599931552,8.0
2023-09-30,-0.0003724989357171,8.0
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
