period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.17
2019-02-28,0.0105180533751962,3.91
2019-03-31,0.1310864745011086,3.4
2019-04-30,-0.0643285415011197,3.55
2019-05-31,0.0113850310207161,3.77
2019-06-30,0.0628269497851181,3.1
2019-07-31,-0.1214852123135633,3.3
2019-08-31,0.1300070294903936,3.75
2019-09-30,0.1120405705624791,3.73
2019-10-31,0.0167048979834367,4.05
2019-11-30,-0.1413946081219428,4.02
2019-12-31,-0.1474008699679804,4.12
2020-01-31,0.6320951613198611,4.57
2020-02-29,-0.0837822453730859,4.67
2020-03-31,-0.2079326913984605,5.21
2020-04-30,-0.1665767135027474,9.74
2020-05-31,0.2776687540190368,8.9
2020-06-30,-0.0270326953219863,8.71
2020-07-31,-0.122543392925947,9.86
2020-08-31,-0.0117412198065687,10.77
2020-09-30,0.0108267957083854,10.95
2020-10-31,0.1636304534708788,13.51
2020-11-30,0.0205751075336408,11.07
2020-12-31,0.0573075665477769,13.6
2021-01-31,-0.2462809720890046,11.92
2021-02-28,0.1731069613371474,12.55
2021-03-31,0.0072483954233406,13.05
2021-04-30,0.016674064365971,11.86
2021-05-31,0.0318589794275134,11.41
2021-06-30,-0.0392783021595675,12.53
2021-07-31,0.019046511627907,11.91
2021-08-31,0.1594311082558535,12.36
2021-09-30,-0.1406414310636062,12.9
2021-10-31,-0.0140906623235612,13.26
2021-11-30,-0.0448480573678952,13.41
2021-12-31,-0.087458193979933,12.86
2022-01-31,0.1071961995330152,15.11
2022-02-28,0.1637642964326693,15.86
2022-03-31,0.0141527946772981,15.82
2022-04-30,-0.1387553143579407,16.99
2022-05-31,0.1191252313114159,16.46
2022-06-30,-0.0201020147596338,16.73
2022-07-31,0.0160534810623922,16.23
2022-08-31,-0.0290778243693172,14.52
2022-09-30,-0.0782714144589005,16.75
2022-10-31,0.0164404480071449,16.97
2022-11-30,0.1325636363636364,17.01
2022-12-31,-0.1633290278697361,15.36
2023-01-31,0.6001619597125214,16.53
2023-02-28,-0.0648296892241544,16.7
2023-03-31,-0.174896750628455,18.56
2023-04-30,0.0535182753918246,18.09
2023-05-31,-0.1210640638833568,15.97
2023-06-30,0.0393177764323473,14.58
2023-07-31,0.0088216861073702,13.68
2023-08-31,0.0346609219560043,13.77
2023-09-30,-0.1388235294117649,13.29
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
