period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,232000.0,242500.0,228.7837309346891,98.6842899390428,11.0,12.0,25.0,88.0,8.0,82.0,0.97307213865861,0.0909090909090909,0.1931818181818181,0.1666666666666666,11.49,0.0,RI,Providence,Condo
2019-02-28,196000.0,245000.0,210.44427123928293,116.18596642272922,19.0,21.0,41.0,95.0,5.0,76.0,0.9474824910843194,0.1578947368421052,0.1473684210526315,0.5238095238095238,9.76,-0.08016068109598895,RI,Providence,Condo
2019-03-31,235700.0,252400.0,197.1093921841777,139.72326934179438,24.0,19.0,67.0,128.0,5.3,39.0,0.9628747871467144,0.2083333333333333,0.09375,0.5263157894736841,7.44,-0.06336536973222229,RI,Providence,Condo
2019-04-30,219000.0,259900.0,191.8648854132725,110.5641592920354,28.0,43.0,52.0,122.0,4.4,61.0,0.9683908932006112,0.2857142857142857,0.2049180327868852,0.2790697674418604,6.3,-0.02660708712451798,RI,Providence,Condo
2019-05-31,220000.0,275000.0,234.66257668711657,126.83823529411764,35.0,35.0,71.0,149.0,4.3,51.0,0.9710224915508978,0.1142857142857142,0.2281879194630872,0.3714285714285714,6.57,0.223061615374063,RI,Providence,Condo
2019-06-30,230000.0,259000.0,219.5362182502352,132.8235294117647,44.0,45.0,54.0,147.0,3.3,45.0,0.9846691640542032,0.2045454545454545,0.1904761904761904,0.2444444444444444,6.54,-0.06446003726043559,RI,Providence,Condo
2019-07-31,247500.0,259000.0,235.7988880831521,106.5744021231608,44.0,33.0,35.0,137.0,3.1,43.0,0.9851767972804452,0.2045454545454545,0.1532846715328467,0.1515151515151515,1.85,0.07407738897269378,RI,Providence,Condo
2019-08-31,211750.0,255000.0,238.27059465357337,121.42126789366051,36.0,20.0,44.0,145.0,4.0,65.0,0.9632965766673076,0.1388888888888889,0.1862068965517241,0.3499999999999999,4.34,0.010482265588757311,RI,Providence,Condo
2019-09-30,215000.0,269900.0,228.61828252651816,125.82056892778994,26.0,25.0,49.0,145.0,5.6,37.0,0.961830513238572,0.1538461538461538,,0.2399999999999999,5.27,-0.040509875509770366,RI,Providence,Condo
2019-10-31,273888.0,289000.0,254.54275092936803,109.88372093023256,29.0,23.0,25.0,126.0,4.3,59.0,0.9728954208830858,0.1034482758620689,0.1746031746031745,0.217391304347826,6.34,0.11339630460150452,RI,Providence,Condo
2019-11-30,309000.0,259900.0,290.65489330389994,114.32414256893074,39.0,19.0,22.0,110.0,2.8,39.0,0.992036981625514,0.3333333333333333,0.1272727272727272,0.1052631578947368,5.67,0.14187063761463214,RI,Providence,Condo
2019-12-31,267000.0,250000.0,211.791287786667,108.55582524271844,20.0,16.0,12.0,92.0,4.6,110.0,0.97779059765544,0.1,0.1195652173913043,0.0,5.99,-0.2713307339187837,RI,Providence,Condo
2020-01-31,285000.0,239900.0,240.1372212692968,127.32615083251714,25.0,11.0,26.0,91.0,3.6,93.0,0.9745246654505634,0.08,0.0879120879120879,0.3636363636363636,5.93,0.1338389967730027,RI,Providence,Condo
2020-02-29,187950.0,270000.0,226.3205128205128,119.33333333333331,20.0,20.0,32.0,89.0,4.5,67.0,0.9700906928117368,0.2,0.2022471910112359,0.5,7.94,-0.057536721611721964,RI,Providence,Condo
2020-03-31,232000.0,285000.0,288.6363636363636,125.82056892778994,25.0,23.0,38.0,92.0,3.7,64.0,0.9757404337362492,0.12,0.1413043478260869,0.3913043478260869,9.34,0.27534336167429707,RI,Providence,Condo
2020-04-30,280000.0,279950.0,282.6975476839237,143.84700787055357,21.0,20.0,28.0,88.0,4.2,28.0,0.9946581110214632,0.2857142857142857,0.1704545454545454,0.2999999999999999,13.53,-0.020575425347036047,RI,Providence,Condo
2020-05-31,243500.0,282400.0,243.24739829706715,138.86929830825673,30.0,28.0,39.0,90.0,3.0,64.0,0.9807473403835764,0.1333333333333333,0.1555555555555555,0.3928571428571428,14.08,-0.1395489621684467,RI,Providence,Condo
2020-06-30,249950.0,282000.0,221.1322439943889,139.69134977016296,28.0,28.0,42.0,94.0,3.4,19.0,0.99088652077158,0.2142857142857142,0.1382978723404255,0.5357142857142857,11.92,-0.09091630355556779,RI,Providence,Condo
2020-07-31,268750.0,299900.0,258.5576734132443,133.0114111829593,36.0,30.0,54.0,108.0,3.0,49.0,0.9981824882855906,0.2777777777777777,0.1481481481481481,0.4666666666666666,11.36,0.16924456037177937,RI,Providence,Condo
2020-08-31,265000.0,289900.0,269.9055330634278,125.250501002004,31.0,24.0,39.0,106.0,3.4,50.0,0.9874761405380872,0.3548387096774193,0.1226415094339622,0.25,12.92,0.043889084784757504,RI,Providence,Condo
2020-09-30,300000.0,299999.0,271.14769090077726,134.1765616933402,37.0,40.0,49.0,108.0,2.9,55.0,0.9919376656710812,0.2162162162162162,0.1203703703703703,0.325,10.78,0.004602194787379776,RI,Providence,Condo
2020-10-31,295000.0,299900.0,263.6783124588003,119.64588021694225,35.0,14.0,41.0,118.0,3.4,55.0,0.9785154663273818,0.2285714285714285,0.1101694915254237,0.5,11.95,-0.0275472692286739,RI,Providence,Condo
2020-11-30,277075.0,299900.0,276.04037587773644,135.643115942029,26.0,27.0,35.0,112.0,4.3,64.0,0.980138598939376,0.1538461538461538,0.2053571428571428,0.1481481481481481,14.76,0.04688312551631535,RI,Providence,Condo
2020-12-31,225950.0,299450.0,221.08547362087768,126.14632184944684,22.5,16.0,30.0,44.5,1.5,57.5,0.9877187683086112,0.1136363636363636,0.0795454545454545,0.1129032258064516,14.37,-0.1990828409869987,RI,Providence,Condo
2021-01-31,269000.0,305000.0,242.7564604541895,130.4004854368932,25.0,30.0,35.0,78.0,3.1,48.0,0.9943925141623738,0.32,0.1282051282051281,0.2333333333333333,14.64,0.09802085355672752,RI,Providence,Condo
2021-02-28,225000.0,312500.0,257.1428571428572,139.59522573949144,35.0,24.0,28.0,69.0,2.0,59.0,0.9761156863894308,0.2,0.1304347826086956,0.4166666666666666,18.88,0.059262672811060346,RI,Providence,Condo
