period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,11.49
2019-02-28,-0.0801606810959889,9.76
2019-03-31,-0.0633653697322222,7.44
2019-04-30,-0.0266070871245179,6.3
2019-05-31,0.223061615374063,6.57
2019-06-30,-0.0644600372604355,6.54
2019-07-31,0.0740773889726937,1.85
2019-08-31,0.0104822655887573,4.34
2019-09-30,-0.0405098755097703,5.27
2019-10-31,0.1133963046015045,6.34
2019-11-30,0.1418706376146321,5.67
2019-12-31,-0.2713307339187837,5.99
2020-01-31,0.1338389967730027,5.93
2020-02-29,-0.0575367216117219,7.94
2020-03-31,0.275343361674297,9.34
2020-04-30,-0.020575425347036,13.53
2020-05-31,-0.1395489621684467,14.08
2020-06-30,-0.0909163035555677,11.92
2020-07-31,0.1692445603717793,11.36
2020-08-31,0.0438890847847575,12.92
2020-09-30,0.0046021947873797,10.78
2020-10-31,-0.0275472692286739,11.95
2020-11-30,0.0468831255163153,14.76
2020-12-31,-0.1990828409869987,14.37
2021-01-31,0.0980208535567275,14.64
2021-02-28,0.0592626728110603,18.88
2021-03-31,-0.1366302321010931,20.62
2021-04-30,0.3186422304336838,17.7
2021-05-31,-0.2036432710937735,20.5
2021-06-30,0.382127073773548,16.99
2021-07-31,-0.0574012342515715,19.19
2021-08-31,-0.0927063333392581,19.77
2021-09-30,0.050395314354434,18.54
2021-10-31,-0.0540523178127247,19.53
2021-11-30,0.0637565217391304,15.86
2021-12-31,-0.0758144644608999,11.43
2022-01-31,0.0763441564283855,14.02
2022-02-28,0.0945826103720841,11.36
2022-03-31,0.0256425301065752,14.49
2022-04-30,-0.054247297770579,12.26
2022-05-31,-0.0647797198372822,11.6
2022-06-30,0.0909434779964022,13.66
2022-07-31,-0.0053484749022213,15.3
2022-08-31,0.0216316807470091,12.91
2022-09-30,-0.0196245702693785,16.48
2022-10-31,-0.0690029560498443,15.76
2022-11-30,0.1192349801847507,12.65
2022-12-31,-0.129403957403915,13.09
2023-01-31,0.1757430724488384,13.97
2023-02-28,-0.1381392871585629,14.09
2023-03-31,0.0210628855921108,12.94
2023-04-30,0.3443541081442933,12.66
2023-05-31,-0.1712642412314514,12.71
2023-06-30,-0.1080010095500179,11.71
2023-07-31,0.3111568792838215,17.47
2023-08-31,0.1451071196156754,23.64
2023-09-30,-0.1100737393833716,15.41
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
