period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.46
2019-02-28,0.2783643193320591,1.22
2019-03-31,-0.0690070331825724,2.04
2019-04-30,0.1296982710573997,1.82
2019-05-31,-0.0365996967335988,1.61
2019-06-30,0.0501855439996965,0.97
2019-07-31,-0.076440209609182,0.84
2019-08-31,0.0795772094540578,0.53
2019-09-30,-0.0460232702465598,1.03
2019-10-31,0.0609502093072906,1.71
2019-11-30,-0.055509006086209,2.03
2019-12-31,-0.1652410483824442,1.74
2020-01-31,0.501108619668216,1.63
2020-02-29,-0.1395073010102074,1.88
2020-03-31,-0.0734175763692908,2.28
2020-04-30,0.0709354520339817,3.85
2020-05-31,-0.067097011555463,4.94
2020-06-30,0.0732203733511718,5.36
2020-07-31,-0.0229245302015719,4.6
2020-08-31,0.1721006517475647,4.62
2020-09-30,-0.0073330902365039,4.79
2020-10-31,-0.0407885160953701,4.98
2020-11-30,0.0199951227805006,4.58
2020-12-31,0.018113517136165,4.85
2021-01-31,-0.0443044544527774,4.1
2021-02-28,-0.0048827604196,3.68
2021-03-31,0.1338763384349466,3.6
2021-04-30,-0.0356180501902242,3.66
2021-05-31,0.0057306929755527,3.86
2021-06-30,-0.294103328610858,3.76
2021-07-31,0.4044112365628454,4.34
2021-08-31,0.0231471181267304,4.17
2021-09-30,-0.0260791837793988,4.83
2021-10-31,0.0381788982776658,5.06
2021-11-30,-0.0102112999015613,5.3
2021-12-31,0.0741608792897421,5.67
2022-01-31,0.0048083927104145,6.45
2022-02-28,-0.0831280685571553,7.0
2022-03-31,0.0968362822469921,7.75
2022-04-30,-0.0092757016081104,7.89
2022-05-31,0.0796815189253912,7.71
2022-06-30,-0.2022186355960663,7.11
2022-07-31,0.1506186276076806,5.78
2022-08-31,0.0585046221107725,6.03
2022-09-30,-0.0430473736240838,5.19
2022-10-31,0.1322209916659646,5.93
2022-11-30,-0.0032432176623793,6.05
2022-12-31,-0.0650287380265959,5.92
2023-01-31,-0.0868788636951386,5.9
2023-02-28,0.0357529783037018,6.25
2023-03-31,0.0131650891321339,7.15
2023-04-30,0.0690844790141427,6.56
2023-05-31,0.0255088191186416,6.74
2023-06-30,-0.0431151390578765,6.1
2023-07-31,-0.0176659581826952,7.13
2023-08-31,0.0210590773692636,6.67
2023-09-30,0.0386434655814322,6.7
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
