period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,169000.0,153745.0,102.92326431181486,89.41628515369521,1.0,,7.0,22.0,22.0,124.0,0.9662664379645513,0.0,0.0454545454545454,,2.35,0.0,SC,Anderson,Townhouse
2019-02-28,180000.0,,95.0,,3.0,1.0,,20.0,6.7,221.0,0.9434617842708362,0.0,0.05,0.0,3.35,-0.07698224852071012,SC,Anderson,Townhouse
2019-03-31,,,122.47546505232975,,,,,,,,,,,,8.15,0.289215421603471,SC,Anderson,Townhouse
2019-04-30,127747.5,184900.0,98.10675213675212,102.8,4.0,3.0,3.0,19.0,4.8,57.0,0.99127812135371,0.25,0.1052631578947368,0.3333333333333333,9.1,-0.19896811908544854,SC,Anderson,Townhouse
2019-05-31,126990.0,,74.52464788732394,,1.0,,,18.0,18.0,240.0,,0.0,0.7777777777777777,,10.19,-0.24037187793717618,SC,Anderson,Townhouse
2019-06-30,,,122.47546505232975,,,,,,,,,,,,7.34,0.643422257257815,SC,Anderson,Townhouse
2019-07-31,118990.0,172617.5,78.90583554376657,99.68655894535168,1.0,1.0,2.0,25.0,25.0,204.0,1.0,0.0,0.08,1.0,5.77,-0.3557416947953397,SC,Anderson,Townhouse
2019-08-31,150450.0,177200.0,102.54761904761904,102.31720575718212,2.0,3.0,2.0,24.0,12.0,31.0,0.9315477386934672,0.0,0.25,0.0,6.09,0.2996202161846333,SC,Anderson,Townhouse
2019-09-30,146745.0,177000.0,103.90792317516456,104.4800515644118,2.0,,2.0,14.0,7.0,126.0,1.00490114745554,0.5,0.3571428571428571,,6.12,0.01326509713417967,SC,Anderson,Townhouse
2019-10-31,175200.0,188000.0,129.77777777777777,103.23779193205944,1.0,,1.0,15.0,15.0,55.0,0.9738743746525848,0.0,,,6.45,0.24896902769390028,SC,Anderson,Townhouse
2019-11-30,173245.0,149900.0,100.2038123305466,100.66666666666666,2.0,2.0,2.0,12.0,6.0,118.0,0.9978260869565216,0.0,0.4166666666666666,0.0,6.8,-0.2278815830694183,SC,Anderson,Townhouse
2019-12-31,111490.0,,73.93236074270558,,1.0,,,12.0,12.0,302.0,1.0,0.0,,,5.35,-0.26218016038330216,SC,Anderson,Townhouse
2020-01-31,114037.5,189500.0,68.96551724137932,102.51290684624018,6.0,1.0,3.0,10.0,1.7,300.0,1.0008698949968915,0.1666666666666666,0.2,0.0,4.08,-0.06718091308637553,SC,Anderson,Townhouse
2020-02-29,103000.0,,68.3023872679045,,12.0,1.0,,9.0,0.8,469.0,0.9577400883139948,0.3333333333333333,0.2222222222222222,0.0,2.15,-0.009615384615384692,SC,Anderson,Townhouse
2020-03-31,219900.0,,102.46971109040076,,1.0,1.0,,8.0,8.0,58.0,1.0,0.0,0.125,0.0,1.96,0.5002361584885859,SC,Anderson,Townhouse
2020-04-30,135450.0,183950.0,101.00624643570004,107.75158512720157,2.0,2.0,1.0,5.0,2.5,137.0,1.005,0.5,,0.5,3.45,-0.014281924279162195,SC,Anderson,Townhouse
2020-05-31,118000.0,182000.0,69.24882629107981,105.80065359477123,1.0,,2.0,6.0,6.0,583.0,0.932880069570717,0.0,0.6666666666666666,,3.48,-0.31441045742489604,SC,Anderson,Townhouse
2020-06-30,266002.5,176900.0,127.57755624794032,108.0,4.0,3.0,4.0,4.0,1.0,88.0,0.9751488076940642,0.25,,0.3333333333333333,4.65,0.8423064054787315,SC,Anderson,Townhouse
2020-07-31,172450.0,184900.0,117.38998508698636,110.18826135105203,2.0,2.0,4.0,6.0,3.0,28.0,0.9851425106124924,0.0,0.8333333333333333,0.5,2.78,-0.079853945008595,SC,Anderson,Townhouse
2020-08-31,172900.0,200000.0,128.35931700074238,117.57105943152456,1.0,1.0,1.0,5.0,5.0,35.0,1.0,0.0,0.4,1.0,3.48,0.09344350717506011,SC,Anderson,Townhouse
2020-09-30,180000.0,189900.0,114.50381679389314,123.74581939799332,1.0,1.0,1.0,5.0,5.0,1.0,1.0175240248728097,1.0,0.2,0.0,2.34,-0.10794308142640796,SC,Anderson,Townhouse
2020-10-31,184900.0,215000.0,94.8205128205128,112.36730123180293,1.0,,2.0,6.0,6.0,421.0,1.0,0.0,,,4.8,-0.17190085470085492,SC,Anderson,Townhouse
2020-11-30,,,122.47546505232975,,,,,,,,,,,,4.58,0.291655796928302,SC,Anderson,Townhouse
2020-12-31,164200.0,189900.0,121.14522492580312,119.81072555205049,2.0,,4.0,10.0,5.0,53.0,1.0116204002582312,0.5,,,7.88,-0.010861278427955035,SC,Anderson,Townhouse
2021-01-31,,,122.47546505232975,,,,,,,,,,,,8.39,0.01098054114259428,SC,Anderson,Townhouse
2021-02-28,186450.0,227175.0,105.13307088995684,120.47264320575393,2.0,4.0,5.0,8.0,4.0,43.0,0.9655963302752292,0.0,,0.75,7.89,-0.1415989247721009,SC,Anderson,Townhouse
2021-03-31,190900.0,189900.0,134.76394849785407,114.3647966701716,7.0,5.0,9.0,9.0,1.3,48.0,1.0102867070601318,0.5714285714285714,,0.5999999999999999,5.35,0.28184164466109785,SC,Anderson,Townhouse
2021-04-30,201384.0,217400.0,116.38795986622074,119.65333822450478,5.0,10.0,8.0,4.0,0.8,234.0,1.013372726035081,0.2,,0.5999999999999999,3.22,-0.13635685831753397,SC,Anderson,Townhouse
2021-05-31,201374.0,215000.0,108.12014885699097,124.35150873478032,5.0,1.0,3.0,6.0,1.2,8.0,0.9933577530057716,0.0,,1.0,4.95,-0.07103665206206045,SC,Anderson,Townhouse
2021-06-30,173900.0,214950.0,116.32107023411372,125.24368947224173,8.0,3.0,4.0,7.0,0.9,18.0,0.995762450586074,0.125,,0.0,4.66,0.07585007479013006,SC,Anderson,Townhouse
2021-07-31,199420.0,219950.0,117.30588235294118,120.3040227494327,3.0,6.0,2.0,3.0,1.0,3.0,1.0,0.0,,0.6666666666666666,5.64,0.008466326150931902,SC,Anderson,Townhouse
2021-08-31,127250.0,216700.0,120.12726673260798,127.74826408906311,2.0,3.0,2.0,2.0,1.0,3.0,1.058259355961706,0.5,,0.6666666666666666,5.31,0.02405151662538141,SC,Anderson,Townhouse
2021-09-30,145500.0,211995.0,116.4,129.31535269709542,1.0,,2.0,4.0,4.0,14.0,0.9864406779661016,0.0,,,7.27,-0.031027649541918945,SC,Anderson,Townhouse
2021-10-31,175200.0,,141.06280193236714,,1.0,1.0,,3.0,3.0,35.0,0.9733333333333332,0.0,,0.0,5.32,0.21187974168700285,SC,Anderson,Townhouse
2021-11-30,190000.0,214900.0,141.47431124348475,131.57894736842104,1.0,1.0,2.0,4.0,4.0,46.0,1.0,0.0,,0.0,3.08,0.002917206417854201,SC,Anderson,Townhouse
2021-12-31,210000.0,224950.0,150.0,133.7460567823344,1.0,2.0,1.0,2.0,2.0,23.0,1.0505252626313155,1.0,0.5,0.0,1.14,0.060263157894736796,SC,Anderson,Townhouse
2022-01-31,291014.0,215000.0,179.63827160493827,134.16757344940152,3.0,2.0,2.0,2.0,0.6999999999999998,61.0,1.0078714833525306,0.6666666666666666,,0.5,0.87,0.19758847736625507,SC,Anderson,Townhouse
2022-02-28,215000.0,217900.0,125.9519625073228,133.33333333333334,5.0,1.0,4.0,4.0,0.8,23.0,0.9933052482786368,0.2,,1.0,1.59,-0.29885785817224275,SC,Anderson,Townhouse
2022-03-31,279900.0,239950.0,129.7071129707113,141.52457445784074,3.0,3.0,1.0,2.0,0.6999999999999998,22.0,1.0122630992196209,0.3333333333333333,,0.0,1.63,0.029814148097693893,SC,Anderson,Townhouse
2022-04-30,236250.0,249990.0,136.71014492753625,142.5,2.0,3.0,2.0,1.0,0.5,47.0,1.000151561079115,0.5,,0.6666666666666666,2.04,0.05399111734455353,SC,Anderson,Townhouse
2022-05-31,238450.0,,142.73251935975577,,2.0,,,1.0,0.5,4.0,0.9903508771929824,0.0,,,2.2,0.044052139915524924,SC,Anderson,Townhouse
2022-06-30,,,122.47546505232975,,,,,,,,,,,,2.63,-0.14192318890111044,SC,Anderson,Townhouse
2022-07-31,263000.0,260000.0,195.2487008166296,152.06812652068126,1.0,2.0,2.0,,,41.0,1.001904761904762,1.0,,1.0,2.84,0.5941862374901472,SC,Anderson,Townhouse
2022-08-31,196250.0,,163.33333333333331,,2.0,,,,,2.0,0.9939969984992496,0.0,,,2.53,-0.16346007604562762,SC,Anderson,Townhouse
2022-09-30,,,122.47546505232975,,,,,,,,,,,,1.48,-0.250150213965328,SC,Anderson,Townhouse
2022-10-31,,,122.47546505232975,,,,,,,,,,,,0.85,0.0,SC,Anderson,Townhouse
2022-11-30,190000.0,,109.76314269208548,,1.0,1.0,,1.0,1.0,4.0,1.0,0.0,,0.0,0.66,-0.10379484866469146,SC,Anderson,Townhouse
2022-12-31,,,122.47546505232975,,,,,,,,,,,,1.08,0.11581594739780443,SC,Anderson,Townhouse
2023-01-31,,,122.47546505232975,,,,,,,,,,,,2.18,0.0,SC,Anderson,Townhouse
2023-02-28,190500.0,263561.0,130.2911754197928,152.19942209991962,2.0,1.0,2.0,4.0,2.0,19.0,1.005128205128205,0.5,,0.0,2.92,0.0638144983905442,SC,Anderson,Townhouse
2023-03-31,234250.0,255000.0,179.75983796296296,157.47997377732275,1.0,4.0,5.0,5.0,5.0,53.5,0.9323469274809856,0.0,0.8,0.5,3.5,0.3796777669998306,SC,Anderson,Townhouse
2023-04-30,252500.0,279900.0,142.62323221215868,158.36864406779662,2.0,3.0,1.0,3.0,1.5,12.0,0.9774173992118824,0.0,1.0,0.3333333333333333,2.86,-0.20659011585477605,SC,Anderson,Townhouse
2023-05-31,200000.0,264900.0,154.7001620745543,153.35704757670075,3.0,2.0,3.0,3.0,1.0,37.0,0.9794939627016782,0.0,0.3333333333333333,0.5,2.71,0.08467715725605363,SC,Anderson,Townhouse
2023-06-30,238500.0,250000.0,157.48210395269217,154.14096153112067,4.0,1.0,1.0,3.0,0.8,30.0,0.9943160513716351,0.5,,1.0,2.56,0.017982798730341143,SC,Anderson,Townhouse
2023-07-31,315000.0,264950.0,186.2803075103489,158.02713941906194,1.0,2.0,2.0,2.0,2.0,56.0,0.9692307692307692,0.0,1.0,0.5,3.06,0.18286651520929476,SC,Anderson,Townhouse
2023-08-31,242000.0,,181.40929535232385,,3.0,1.0,,1.0,0.2999999999999999,35.0,1.0004611589283718,0.3333333333333333,,0.0,2.71,-0.026148830346731322,SC,Anderson,Townhouse
2023-09-30,,,122.47546505232975,,,,,,,,,,,,1.95,-0.324866651323108,SC,Anderson,Townhouse
