period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.36
2019-02-28,0.0424967333995869,0.36
2019-03-31,0.167642102934904,1.94
2019-04-30,-0.1817104436649089,1.32
2019-05-31,-0.1206640698595871,0.7
2019-06-30,0.0849875930521095,0.84
2019-07-31,0.0817017756402449,0.91
2019-08-31,0.0817254907814517,0.9
2019-09-30,-0.1986417032976131,1.19
2019-10-31,0.0894625463548306,1.59
2019-11-30,-0.1403825684554943,1.76
2019-12-31,-0.0999624363240218,1.53
2020-01-31,0.689000226926074,1.52
2020-02-29,-0.1329134878220208,2.08
2020-03-31,0.0328618514620546,1.79
2020-04-30,0.1232664664315259,4.34
2020-05-31,-0.0931776727832105,4.08
2020-06-30,-0.1616680855525887,3.69
2020-07-31,-0.0641564627681754,3.99
2020-08-31,0.2606983240223464,4.11
2020-09-30,-0.067690064354645,3.87
2020-10-31,0.3655255957726768,7.39
2020-11-30,-0.0148028428213389,6.09
2020-12-31,-0.0955499489452805,5.3
2021-01-31,0.0615641750223348,7.65
2021-02-28,0.1517469438646899,6.7
2021-03-31,-0.0649460566718167,5.01
2021-04-30,-0.0554437404296707,5.64
2021-05-31,-0.0711172934353869,5.71
2021-06-30,-0.0099886103459897,4.47
2021-07-31,0.1086973966274231,4.58
2021-08-31,-0.0014814436412863,6.26
2021-09-30,-0.0333598915455516,4.37
2021-10-31,0.0043538491984957,6.0
2021-11-30,0.1679429621710364,6.82
2021-12-31,-0.1037633851506888,8.17
2022-01-31,0.0324999567499875,7.07
2022-02-28,-0.0048691811022297,7.97
2022-03-31,-0.0003594105666705,9.39
2022-04-30,0.2716301972880206,8.49
2022-05-31,-0.1159773862477322,9.65
2022-06-30,0.0108181203515889,9.27
2022-07-31,-0.1846376811594203,8.57
2022-08-31,0.085213897231918,5.79
2022-09-30,0.3137046265741801,6.93
2022-10-31,-0.1358822160148975,6.11
2022-11-30,0.0822672262330894,4.76
2022-12-31,-0.0801249565174713,4.69
2023-01-31,0.1543296089385475,4.91
2023-02-28,0.17433263745697,6.39
2023-03-31,-0.257577844255177,5.28
2023-04-30,0.0882678653251991,5.08
2023-05-31,-0.1094381412194169,5.05
2023-06-30,0.1274092970521541,4.44
2023-07-31,-0.0174243458105555,5.42
2023-08-31,0.0696828129757514,5.36
2023-09-30,-0.0060655026046694,5.6
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
