period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.78
2019-02-28,0.1623617321722759,1.61
2019-03-31,0.1379859523414481,2.14
2019-04-30,-0.0078690476190477,1.87
2019-05-31,0.1855599973047987,1.39
2019-06-30,-0.0229546792230722,1.01
2019-07-31,-0.0893574297188757,1.33
2019-08-31,-0.1081710155580055,1.46
2019-09-30,0.079425983211081,2.54
2019-10-31,0.0422206038188419,2.73
2019-11-30,0.2082191780821918,3.14
2019-12-31,-0.0034013605442176,2.59
2020-01-31,0.1904931045665836,2.84
2020-02-29,-0.5283824157063595,3.6
2020-03-31,0.6549264705882352,4.95
2020-04-30,0.1240282785038304,6.45
2020-05-31,0.1668287262119741,6.21
2020-06-30,-0.0823803965699231,5.8
2020-07-31,0.0805736405903982,4.25
2020-08-31,-0.1024439478047727,5.04
2020-09-30,3.465734939759036,5.07
2020-10-31,-0.8059526404863974,5.87
2020-11-30,0.10714736117553,5.94
2020-12-31,0.2714515218740119,6.81
2021-01-31,-0.1949425269576244,7.01
2021-02-28,0.2421473416313015,8.1
2021-03-31,-0.1703111388935261,7.65
2021-04-30,0.1919933104820876,7.85
2021-05-31,-0.1028320454522708,6.65
2021-06-30,0.0912526123306483,6.35
2021-07-31,0.0738684758799854,5.95
2021-08-31,0.0866828087167068,5.1
2021-09-30,-0.1890955644250319,5.04
2021-10-31,0.3178491745526255,5.51
2021-11-30,-0.0173945590292142,6.67
2021-12-31,0.0333276333789329,7.02
2022-01-31,-0.041001665676619,7.64
2022-02-28,-0.1173014834159728,7.27
2022-03-31,0.0983669597197571,7.66
2022-04-30,0.2034784802536695,6.49
2022-05-31,-0.2446440527633925,6.44
2022-06-30,0.248488042437893,5.79
2022-07-31,-0.0082678901308209,6.44
2022-08-31,-0.2719075438150875,6.14
2022-09-30,0.2873931552995861,6.21
2022-10-31,-0.2582861670875929,5.64
2022-11-30,0.6017370471359813,6.1
2022-12-31,-0.0778173499877218,5.54
2023-01-31,-0.1286612052422351,5.45
2023-02-28,-0.0654888008323318,5.06
2023-03-31,0.016084857563452,5.43
2023-04-30,0.3967964189131416,5.36
2023-05-31,-0.1002163110303459,5.34
2023-06-30,-0.0937016942937388,5.16
2023-07-31,-0.1946721368887579,5.3
2023-08-31,-0.0807060194106807,4.81
2023-09-30,0.4975168201409603,5.2
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
