period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.0725744574698109,0.0
2019-03-31,-0.0748862458518144,0.08
2019-04-30,0.1048412833775611,0.08
2019-05-31,-0.0816140896755382,0.59
2019-06-30,-0.06833042970872,0.6
2019-07-31,0.2418382951102786,0.76
2019-08-31,-0.2668596345465921,0.82
2019-09-30,0.4818652849740934,1.27
2019-10-31,-0.2257402753496504,1.62
2019-11-30,0.0603266493228156,1.51
2019-12-31,0.0669016860314144,1.39
2020-01-31,-0.1060385928585531,1.18
2020-02-29,0.07573594236591,1.1
2020-03-31,-0.000749763183354,1.18
2020-04-30,-0.0805209868263374,1.62
2020-05-31,0.000876978644043,2.11
2020-06-30,0.0222470549907469,2.93
2020-07-31,0.0073904247417915,3.19
2020-08-31,0.2181288311550699,3.14
2020-09-30,0.0490183640726826,2.56
2020-10-31,-0.0238290678530209,1.93
2020-11-30,-0.1531162154985731,1.57
2020-12-31,0.1397408580156836,2.12
2021-01-31,-0.0760478148586483,2.32
2021-02-28,0.1378317223543042,2.66
2021-03-31,-0.0462327380465663,2.3
2021-04-30,-0.0038196507010789,2.7
2021-05-31,0.0886451353546671,2.59
2021-06-30,0.0471964476793365,2.45
2021-07-31,-0.0850880548229383,2.0
2021-08-31,0.041172481366783,2.09
2021-09-30,0.0721397463654334,2.45
2021-10-31,-0.0615769084317509,3.55
2021-11-30,0.0281438075838387,3.97
2021-12-31,0.0359186051381741,3.42
2022-01-31,0.0107375188586074,2.28
2022-02-28,-0.1143832205039511,1.64
2022-03-31,0.2337815532921174,2.02
2022-04-30,-0.041974119943861,2.87
2022-05-31,-0.0464429627675266,2.42
2022-06-30,0.0065467012474673,2.32
2022-07-31,0.1050602770116051,1.68
2022-08-31,-0.0785689323679368,2.61
2022-09-30,0.118208048223114,2.67
2022-10-31,-0.0112048851820834,2.62
2022-11-30,-0.1457339067186867,2.36
2022-12-31,0.0984063592815462,1.82
2023-01-31,-0.0266023858844135,2.07
2023-02-28,0.2730536128929273,2.14
2023-03-31,-0.0433435763187114,2.19
2023-04-30,-0.1309513185878391,2.48
2023-05-31,0.0357282255094231,3.14
2023-06-30,-0.0716272672291901,3.08
2023-07-31,0.1163501408762628,3.24
2023-08-31,-0.0029690193678056,2.42
2023-09-30,-0.0901386470315975,2.58
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
