period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.337269125276448,0.0
2019-03-31,-0.32426382384061,0.77
2019-04-30,0.3603414276717291,1.52
2019-05-31,0.6414879625829899,2.08
2019-06-30,-0.2123470006122103,1.7
2019-07-31,0.0214526852397836,0.95
2019-08-31,-0.0856280027453668,0.68
2019-09-30,-0.1365746166023986,1.33
2019-10-31,0.4910632287440892,2.17
2019-11-30,-0.0644910271184663,2.16
2019-12-31,0.1286390371559886,1.8
2020-01-31,0.0,2.22
2020-02-29,-0.0857313503983492,2.22
2020-03-31,-0.0820114763426423,2.76
2020-04-30,-0.0648756198018133,3.17
2020-05-31,0.4986532677785797,4.15
2020-06-30,-0.2378171001351753,3.96
2020-07-31,0.0067155899597253,3.32
2020-08-31,0.0082269451072332,2.73
2020-09-30,-0.1336979516015848,3.9
2020-10-31,0.2254375096720802,4.29
2020-11-30,-0.1717030691500566,5.28
2020-12-31,0.3762502564329049,5.15
2021-01-31,0.2741262670015285,5.71
2021-02-28,-0.1999290891964762,5.05
2021-03-31,-0.3695727823613773,3.9
2021-04-30,0.1566858080393764,3.38
2021-05-31,0.090864344288938,3.46
2021-06-30,0.0678267113252444,5.02
2021-07-31,0.0487869284072361,5.96
2021-08-31,-0.4116846618818045,6.66
2021-09-30,0.8251977078771249,6.04
2021-10-31,-0.3511429140894088,5.55
2021-11-30,0.5809118493217154,7.03
2021-12-31,-0.2836920697892557,8.04
2022-01-31,0.3965093841874534,8.07
2022-02-28,0.1550355472655202,6.9
2022-03-31,-0.2142502709737204,7.15
2022-04-30,0.2469729711502,8.67
2022-05-31,-0.1811004090785367,8.89
2022-06-30,0.0710306613833757,8.66
2022-07-31,0.8093948647628397,8.0
2022-08-31,-0.4519093420106701,7.84
2022-09-30,0.0124268938039202,7.92
2022-10-31,0.0,8.44
2022-11-30,0.0635474336842989,8.65
2022-12-31,-0.0512238366364289,8.39
2023-01-31,0.0100734674578657,8.31
2023-02-28,0.0037913583889757,9.75
2023-03-31,0.0111398006865168,11.37
2023-04-30,0.0046348782927643,13.57
2023-05-31,-0.0086150490912527,13.79
2023-06-30,0.0641139361665796,13.29
2023-07-31,0.2691349303580475,11.0
2023-08-31,-0.2231397183053957,10.69
2023-09-30,0.1924376495340922,9.82
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
