period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.21
2019-02-28,-0.0082706861280889,0.99
2019-03-31,-0.0510485195875485,1.54
2019-04-30,0.0868201843312983,2.27
2019-05-31,0.0080897829853587,2.06
2019-06-30,-0.0781210463531708,2.06
2019-07-31,0.0483797705043027,1.71
2019-08-31,0.0416079057035909,1.99
2019-09-30,-0.0040521699128514,2.34
2019-10-31,0.0168030629173903,2.56
2019-11-30,-0.1573013727861157,2.34
2019-12-31,0.1989863101920239,2.17
2020-01-31,-0.0220422848113075,1.66
2020-02-29,0.0489405221651835,2.43
2020-03-31,-0.0943761339350127,2.74
2020-04-30,0.0858200194720795,4.01
2020-05-31,0.0130033189852458,3.91
2020-06-30,-0.0920096852300241,3.87
2020-07-31,0.0090438502673797,3.51
2020-08-31,-0.0073378099289098,3.92
2020-09-30,-0.0095972529694773,4.4
2020-10-31,-0.0291893576222436,4.03
2020-11-30,0.1566349025912357,3.51
2020-12-31,-0.0642659174825996,3.49
2021-01-31,-0.0275068996432142,4.37
2021-02-28,0.0052252284299552,4.86
2021-03-31,0.066706329190324,4.9
2021-04-30,-0.0709243322237556,4.8
2021-05-31,0.0290740930612845,4.67
2021-06-30,-0.0287101313636638,4.82
2021-07-31,0.0358853035719366,4.63
2021-08-31,-0.0113867085295656,4.64
2021-09-30,0.0165868519019387,4.42
2021-10-31,0.0601323637425135,4.14
2021-11-30,-0.0174924567302752,3.87
2021-12-31,0.0994068642179633,3.73
2022-01-31,-0.0510370671078268,4.21
2022-02-28,0.0585629569599808,4.4
2022-03-31,0.0351663747281496,4.83
2022-04-30,0.0422915796951786,4.58
2022-05-31,-1.993989065096624e-05,4.37
2022-06-30,0.0234064604258164,4.15
2022-07-31,0.0252825276606953,4.07
2022-08-31,-0.0447743597552795,4.14
2022-09-30,0.0711688986325285,4.22
2022-10-31,0.0597875868271022,4.4
2022-11-30,-0.1193915000046971,4.46
2022-12-31,0.0797360596359106,4.5
2023-01-31,0.0062468614925983,4.48
2023-02-28,0.0025747365559292,4.57
2023-03-31,0.0005180381836193,4.71
2023-04-30,0.0380176941699792,5.73
2023-05-31,0.030543106488313,6.36
2023-06-30,-0.0282418952618453,6.64
2023-07-31,0.0473342739359397,6.7
2023-08-31,-0.0311127335432493,6.64
2023-09-30,0.0963357850993338,6.74
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
