period_begin,asset_value_momentum,occupancy,rank_desirability,remote_work_share
2019-01-31,-0.00039852,0.89831913,21.0,4.73
2019-02-28,-0.00039852,0.89701332,21.0,5.24
2019-03-31,-0.00039852,0.89701332,21.0,4.55
2019-04-30,0.00050155,0.89701332,21.0,4.6
2019-05-31,0.00050155,0.89701332,21.0,5.32
2019-06-30,-0.0015449,0.89701332,21.0,5.04
2019-07-31,-0.0015449,0.89701332,21.0,4.94
2019-08-31,-0.00798326,0.90106514,23.0,5.04
2019-09-30,-0.00798326,0.90106514,23.0,5.41
2019-10-31,0.0057744,0.901,23.0,5.82
2019-11-30,0.0057744,0.901,23.0,5.62
2019-12-31,0.0057744,0.901,23.0,5.69
2020-01-31,0.0087812,0.9011173,23.0,5.54
2020-02-29,0.0087812,0.90183094,23.0,6.02
2020-03-31,0.0087812,0.90183094,23.0,7.11
2020-04-30,0.00793245,0.90382958,23.0,12.48
2020-05-31,-0.15268007,0.90382958,23.0,12.05
2020-06-30,-0.15268007,0.90382958,23.0,12.16
2020-07-31,-0.15268012,0.90336205,23.0,12.02
2020-08-31,-0.15259103,0.90336205,8.0,13.24
2020-09-30,-0.18247463,0.90336205,8.0,14.14
2020-10-31,-0.18247463,0.90336205,8.0,13.74
2020-11-30,-0.18247463,0.90336205,8.0,12.88
2020-12-31,-0.18247463,0.90336205,8.0,13.0
2021-01-31,-0.15348079,0.90429105,8.0,13.91
2021-02-28,-0.12198089,0.8792281,16.0,15.49
2021-03-31,-0.12198089,0.8792281,16.0,13.81
2021-04-30,-0.12940326,0.87606351,16.0,13.1
2021-05-31,-0.12940326,0.87606351,16.0,13.79
2021-06-30,-0.12940326,0.87606351,16.0,13.82
2021-07-31,0.03602848,0.8768929,16.0,14.11
2021-08-31,0.06535581,0.8768929,16.0,14.54
2021-09-30,0.06535581,0.8768929,16.0,17.21
2021-10-31,0.21408563,0.87705652,16.0,18.7
2021-11-30,0.21408563,0.87705652,16.0,15.36
2021-12-31,0.21408563,0.87705652,16.0,14.3
2022-01-31,0.29063051,0.8769069,19.0,14.66
2022-02-28,0.29392927,0.86218422,15.0,16.64
2022-03-31,0.29392927,0.86218422,15.0,14.56
2022-04-30,0.36229732,0.87812959,15.0,15.16
2022-05-31,0.36229732,0.87812959,15.0,15.08
2022-06-30,0.36229732,0.87812959,15.0,15.41
2022-07-31,0.28107141,0.87821517,15.0,15.38
2022-08-31,0.19146976,0.87821517,13.0,12.63
2022-09-30,0.04712438,0.87811774,13.0,14.91
2022-10-31,0.04712438,0.87811774,13.0,14.87
2022-11-30,-0.08562211,0.87811774,13.0,15.74
2022-12-31,-0.08562211,0.87811774,13.0,13.57
2023-01-31,-0.07907341,0.88974475,13.0,14.14
2023-02-28,-0.08434061,0.91275953,14.0,15.31
2023-03-31,-0.08434061,0.91275953,14.0,14.41
2023-04-30,-0.13454724,0.90974978,14.0,16.31
2023-05-31,-0.13454724,0.90974978,14.0,14.99
2023-06-30,-0.13454724,0.90974978,14.0,14.63
2023-07-31,-0.0505935,0.90974978,14.0,13.79
2023-08-31,-0.05204254,0.90974974,13.0,14.39
2023-09-30,,,,
2023-10-31,,,,
2023-11-30,,,,
2023-12-31,,,,
2024-01-31,,,,
2024-02-29,,,,
2024-03-31,,,,
2024-04-30,,,,
2024-05-31,,,,
2024-06-30,,,,
2024-07-31,,,,
2024-08-31,,,,
2024-09-30,,,,
2024-10-31,,,,
2024-11-30,,,,
2024-12-31,,,,
2025-01-31,,,,
2025-02-28,,,,
2025-03-31,,,,
2025-04-30,,,,
2025-05-31,,,,
2025-06-30,,,,
2025-07-31,,,,
2025-08-31,,,,
2025-09-30,,,,
2025-10-31,,,,
2025-11-30,,,,
2025-12-31,,,,
