period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,3.65
2019-02-28,0.0298233427966521,4.03
2019-03-31,0.1293931359499054,3.12
2019-04-30,-0.1277148457715221,3.54
2019-05-31,0.0207736633512447,3.76
2019-06-30,0.0096058081665817,3.93
2019-07-31,-0.4474968936778992,2.26
2019-08-31,0.8462575227654907,4.15
2019-09-30,0.0051172593946111,4.17
2019-10-31,-0.011428818767301,3.72
2019-11-30,0.0057134439107682,4.75
2019-12-31,-0.1794138818069842,3.78
2020-01-31,0.2532093938166655,3.76
2020-02-29,-0.0082930363292687,4.55
2020-03-31,0.012275205221448,4.9
2020-04-30,0.0239845228990034,8.82
2020-05-31,-0.2558344459517937,7.0
2020-06-30,-0.2924735894610714,7.77
2020-07-31,0.6451885656356331,7.43
2020-08-31,0.2235681549514057,7.86
2020-09-30,-0.1904080934418337,8.78
2020-10-31,0.0285645009374311,6.98
2020-11-30,0.2166102544550894,7.7
2020-12-31,0.0752282604508671,8.19
2021-01-31,-0.0531661220428145,8.05
2021-02-28,-0.0086739905130812,8.42
2021-03-31,0.0093471365389914,9.27
2021-04-30,-0.0712149798480742,8.13
2021-05-31,0.1200466475096813,7.58
2021-06-30,0.0377992169048737,7.42
2021-07-31,-0.2344227220378213,7.23
2021-08-31,0.3326622952991211,7.9
2021-09-30,-0.0060997577489284,7.38
2021-10-31,-0.0601398636690276,8.66
2021-11-30,0.0848999781646804,10.03
2021-12-31,0.0182823065673347,7.86
2022-01-31,0.0364120580476936,8.18
2022-02-28,-0.0305763752916614,8.78
2022-03-31,0.0326355835036054,8.39
2022-04-30,0.0673706630617407,7.61
2022-05-31,-0.0555498334639719,8.56
2022-06-30,-0.0205537317216106,8.95
2022-07-31,-0.1633395960175425,7.32
2022-08-31,0.0535060574778651,6.43
2022-09-30,-0.1176959224731378,7.37
2022-10-31,0.261769432172716,7.58
2022-11-30,-0.090273292208032,7.87
2022-12-31,0.1813538112561241,6.88
2023-01-31,-0.203530883368726,6.04
2023-02-28,0.2120868797475885,6.39
2023-03-31,0.0779294657981721,6.21
2023-04-30,-0.3508669605167488,5.73
2023-05-31,0.4821888201806925,6.99
2023-06-30,-0.1158722994180549,6.24
2023-07-31,-0.0505454973149696,6.63
2023-08-31,-0.1534990896803918,6.78
2023-09-30,0.3130437397260546,6.6
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
