period_begin,asset_value_momentum,remote_work_share
2019-03-31,0.0,2.23
2019-04-30,-0.0600437435248072,4.02
2019-05-31,-0.2718978747034175,3.58
2019-06-30,0.9105066654707312,3.19
2019-07-31,-0.1837812840043524,2.45
2019-08-31,-0.0383186536533288,5.6
2019-09-30,0.1509757358205801,4.34
2019-10-31,-0.1880291102539322,4.45
2019-11-30,0.2588185616822405,4.23
2019-12-31,-0.179658345502167,3.37
2020-01-31,0.1986546207739148,3.5
2020-02-29,-0.2250296401184479,4.49
2020-03-31,0.1922641951167814,4.42
2020-04-30,0.0768370259386275,7.16
2020-05-31,0.0,5.27
2020-06-30,-0.3941248425055756,6.39
2020-07-31,0.5619150631179486,5.74
2020-08-31,0.0474727816807158,5.99
2020-09-30,0.1305969692393713,7.08
2020-10-31,-0.2315065161724104,7.11
2020-11-30,-0.0394990483832827,6.43
2020-12-31,0.2077244490692347,7.37
2021-01-31,-0.1389745106753988,6.72
2021-02-28,0.108606194532201,5.34
2021-03-31,-0.2318003712105587,7.17
2021-04-30,0.3150961968680088,6.5
2021-05-31,-0.1248522183596364,5.27
2021-06-30,0.4358559321529773,5.43
2021-07-31,-0.1828109477653713,4.53
2021-08-31,-0.0537897553243084,6.49
2021-09-30,0.1130058509040448,5.5
2021-10-31,-0.1095890410958904,5.45
2021-11-30,0.0779229379762602,7.65
2021-12-31,0.0,5.65
2022-01-31,0.0,5.38
2022-02-28,0.1893719271418987,7.76
2022-03-31,-0.2571463563992652,7.65
2022-04-30,0.3387684459828748,6.42
2022-05-31,-0.0315755510994233,6.09
2022-06-30,0.1032662613256596,5.45
2022-07-31,-0.2268781273011937,4.3
2022-08-31,0.3300925603865847,4.02
2022-09-30,-0.2305193843649799,3.95
2022-10-31,-0.0682243017748247,4.88
2022-11-30,0.0494072399975102,4.35
2022-12-31,-0.093765171970289,4.66
2023-01-31,0.7565577875461542,4.58
2023-02-28,-0.0644541167936163,5.63
2023-03-31,-0.3589424440436214,4.99
2023-04-30,0.0712214451455133,5.01
2023-05-31,0.3318586840134983,4.11
2023-06-30,-0.0001786033220217,4.53
2023-07-31,-0.4095223166941327,4.06
2023-08-31,0.7268445839874413,4.06
2023-09-30,-0.1070704189921256,4.22
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
