period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.0
2019-02-28,-0.0090749022167546,0.0
2019-03-31,-0.1808837805201437,0.0
2019-04-30,0.1443964090538549,0.0
2019-05-31,-0.1980480181084288,0.26
2019-06-30,0.2772603735708969,0.35
2019-07-31,-0.1286575585757671,0.35
2019-08-31,-0.0585604935406022,0.09
2019-09-30,0.0697202669745327,0.38
2019-10-31,0.0731724383169707,0.38
2019-11-30,-0.0731182970368268,0.62
2019-12-31,0.0850556038874561,0.25
2020-01-31,-0.1902300116372035,0.45
2020-02-29,0.2415739255478206,0.69
2020-03-31,-0.0251872746765718,1.01
2020-04-30,0.1916983610911411,1.14
2020-05-31,-0.1961588692475101,1.27
2020-06-30,0.1722490997887209,1.25
2020-07-31,-0.0858572872947589,1.4
2020-08-31,-0.0405822831732572,1.28
2020-09-30,0.25522997860173,1.56
2020-10-31,-0.0772738694744121,1.26
2020-11-30,0.0730908569303763,1.24
2020-12-31,-0.0585534099962526,1.13
2021-01-31,0.0191789581250334,1.61
2021-02-28,-0.0725791937161436,2.07
2021-03-31,0.0189928381332227,2.21
2021-04-30,-0.1992663064489427,2.07
2021-05-31,0.3619249367402031,1.33
2021-06-30,-0.1826490221251927,1.34
2021-07-31,0.3761177044956507,1.42
2021-08-31,-0.2108129790402233,2.02
2021-09-30,0.0909342837470708,2.2
2021-10-31,0.0277427662274425,2.11
2021-11-30,0.0539185696908393,1.72
2021-12-31,-0.0414834819946154,1.59
2022-01-31,0.0141769054385523,1.55
2022-02-28,-0.0840616919375938,1.76
2022-03-31,0.0609300952404647,2.14
2022-04-30,0.0134081066154914,2.59
2022-05-31,0.1546132353580194,3.09
2022-06-30,-0.0726668259237636,3.07
2022-07-31,-0.1176345979681648,3.17
2022-08-31,-0.0393043851990867,2.55
2022-09-30,0.2234853854803129,2.87
2022-10-31,0.0761232046067807,2.52
2022-11-30,-0.1779462417454178,2.97
2022-12-31,-0.1384422686291642,2.14
2023-01-31,0.2247671015506747,1.91
2023-02-28,0.1716604070328662,1.66
2023-03-31,-0.1441409102673019,1.32
2023-04-30,-0.0905126682702066,1.47
2023-05-31,0.0464155025122008,1.86
2023-06-30,0.1788712748859613,2.0
2023-07-31,-0.1516197031380393,1.76
2023-08-31,0.1483991999948384,0.87
2023-09-30,-0.1722069376399471,1.1
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
