period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.72
2019-02-28,0.2440990027331802,0.72
2019-03-31,0.3589677613961473,1.49
2019-04-30,-0.0846894049801333,0.77
2019-05-31,-0.2056193197677223,0.84
2019-06-30,0.2617573654841167,0.08
2019-07-31,0.1038147842881569,0.08
2019-08-31,-0.1046367328519854,0.08
2019-09-30,-0.2387135016813857,0.08
2019-10-31,0.399105103837071,0.08
2019-11-30,-0.0964865439310961,0.0
2019-12-31,-0.1358254287058303,0.0
2020-01-31,0.3165115443643209,0.0
2020-02-29,-0.1389584232318547,0.33
2020-03-31,-0.2490205274387569,1.0
2020-04-30,0.6162393389545366,2.35
2020-05-31,-0.444821043353745,2.89
2020-06-30,0.7166171587915959,3.83
2020-07-31,-0.0204907833060069,3.83
2020-08-31,-0.19312705076111,4.14
2020-09-30,-0.1930700674383664,4.55
2020-10-31,0.7536069256725975,5.43
2020-11-30,0.0429255156161991,6.21
2020-12-31,0.0025962030709789,6.62
2021-01-31,-0.0275475400644769,7.73
2021-02-28,0.3566194818746884,8.97
2021-03-31,-0.4488082619135251,10.11
2021-04-30,0.3053473985085402,10.73
2021-05-31,0.2390116016213157,9.75
2021-06-30,-0.060136696187909,8.69
2021-07-31,0.0346469225836492,6.73
2021-08-31,0.0922332562970964,7.45
2021-09-30,-0.1127701080432173,9.17
2021-10-31,-0.2393555035778021,11.79
2021-11-30,0.0222068888422448,11.33
2021-12-31,0.4874312417817807,10.03
2022-01-31,0.0183009003211269,8.97
2022-02-28,0.087495230673712,11.63
2022-03-31,-0.3152986921997119,12.6
2022-04-30,0.0051810353636079,14.39
2022-05-31,-0.1464441352386848,15.54
2022-06-30,-0.1393008420920315,17.27
2022-07-31,0.2501573203444913,18.06
2022-08-31,-0.0608084854888214,18.12
2022-09-30,0.4040778872709414,18.46
2022-10-31,0.1661715092783391,17.15
2022-11-30,-0.1172760383286699,15.28
2022-12-31,-0.377445842708344,13.93
2023-01-31,0.0845750056914254,13.93
2023-02-28,0.0312231824681998,14.9
2023-03-31,0.369271295270142,14.94
2023-04-30,-0.0044424287462844,13.74
2023-05-31,-0.2099263988979464,10.86
2023-06-30,-0.0355966246856048,8.95
2023-07-31,0.3639454292934463,9.1
2023-08-31,-0.2530596908691224,12.55
2023-09-30,0.0689081292466873,13.99
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
