period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,1.28
2019-02-28,0.5232898093589871,1.62
2019-03-31,-0.2757855419878438,1.71
2019-04-30,0.361779413637523,0.43
2019-05-31,-0.3555338102225039,0.09
2019-06-30,0.7257259389533917,1.17
2019-07-31,-0.3122786552460599,1.66
2019-08-31,0.3792327853919752,1.66
2019-09-30,0.0354941163204396,0.75
2019-10-31,-0.3587384917770474,0.66
2019-11-30,0.0970109193696224,1.16
2019-12-31,0.2955429917102619,1.88
2020-01-31,0.1546660381031956,1.89
2020-02-29,-0.0665624485653466,1.52
2020-03-31,0.0663569302012612,0.53
2020-04-30,-0.1675430964078954,0.72
2020-05-31,-0.0491200258397317,1.63
2020-06-30,-0.1148183316090672,2.5
2020-07-31,-0.1011221589650129,2.44
2020-08-31,0.2533645363253167,2.84
2020-09-30,0.3154593108475083,3.08
2020-10-31,-0.0167145790714878,3.5
2020-11-30,-0.1436214927150704,3.13
2020-12-31,0.0315903097996512,2.76
2021-01-31,-0.2527221652040192,2.44
2021-02-28,0.5624714613365074,2.48
2021-03-31,0.1075611210133582,3.58
2021-04-30,-0.321291305816245,4.93
2021-05-31,0.079047816222828,5.73
2021-06-30,0.0460719014043797,5.73
2021-07-31,0.1468308938591873,5.12
2021-08-31,0.1481377899569191,4.03
2021-09-30,-0.1789607445101555,3.07
2021-10-31,0.1101429666793138,3.7
2021-11-30,-0.1277965490075627,3.9
2021-12-31,0.0694873657823189,5.22
2022-01-31,-0.0241307126801324,4.37
2022-02-28,0.1875514536274323,4.96
2022-03-31,-0.0326331947121498,5.18
2022-04-30,-0.0523532359693239,5.51
2022-05-31,0.0407264866194954,5.4
2022-06-30,-0.1430873431436904,5.53
2022-07-31,0.2447901705075612,5.41
2022-08-31,0.1542186980981659,6.2
2022-09-30,-0.0003249500185137,5.68
2022-10-31,-0.2482060830468797,6.78
2022-11-30,1.2443289564964988,6.64
2022-12-31,-0.562389857780695,6.46
2023-01-31,0.3001846612823764,6.31
2023-02-28,-0.1726479734083827,7.5
2023-03-31,0.2662918120202699,7.47
2023-04-30,-0.1435349284437953,7.78
2023-05-31,-0.2240116834004334,8.5
2023-06-30,0.2818496876270557,10.49
2023-07-31,-0.1143453365526191,11.65
2023-08-31,0.0779521823812694,11.69
2023-09-30,0.0378545356686979,11.71
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
