period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.34
2019-02-28,0.0469609658262966,0.7
2019-03-31,0.022812971342383,1.18
2019-04-30,-0.0741853836506669,1.07
2019-05-31,0.0385963505819046,0.92
2019-06-30,0.0021795686385397,0.82
2019-07-31,0.0238861548075211,0.94
2019-08-31,0.0308849986353656,1.24
2019-09-30,-0.0262089465775366,1.27
2019-10-31,0.0155927051671731,1.33
2019-11-30,-0.019055854861757,1.08
2019-12-31,-0.015468390401614,1.18
2020-01-31,0.0456873828420529,1.52
2020-02-29,-0.0338963133640554,1.91
2020-03-31,0.0137661612873221,2.09
2020-04-30,0.0494540892323016,2.93
2020-05-31,0.0166593371046435,3.87
2020-06-30,-0.0119197684036392,4.55
2020-07-31,0.0273076671807517,3.61
2020-08-31,-0.022421490729108,3.53
2020-09-30,0.0415833069948174,3.35
2020-10-31,0.010381608318009,4.0
2020-11-30,0.0618556701030927,4.32
2020-12-31,-0.046907879282559,4.71
2021-01-31,-0.0255226109892905,4.85
2021-02-28,0.0114229452887015,4.18
2021-03-31,-0.0514676356089689,4.35
2021-04-30,0.1797957666985514,4.26
2021-05-31,-0.0952083532905452,4.54
2021-06-30,-0.0093131818683261,3.98
2021-07-31,0.0808642409740305,4.37
2021-08-31,-0.0161845908847,4.81
2021-09-30,-0.0107329375478305,6.46
2021-10-31,0.0151315980526596,7.27
2021-11-30,-0.0511147942412245,8.04
2021-12-31,0.0897850475380535,8.43
2022-01-31,-0.1018637817849055,8.43
2022-02-28,0.0456244973826556,7.62
2022-03-31,0.1081243138973682,7.81
2022-04-30,0.0372886358844612,9.6
2022-05-31,0.0034797738147018,11.3
2022-06-30,-0.0002600780234068,11.5
2022-07-31,-0.0570063150708312,10.12
2022-08-31,-0.0516895343745439,9.66
2022-09-30,0.1062727272727273,9.36
2022-10-31,-0.0276109796966413,9.52
2022-11-30,-0.0595619658119657,9.27
2022-12-31,-0.0248581130244969,8.28
2023-01-31,0.1001516553142058,8.61
2023-02-28,0.0779718122767294,8.34
2023-03-31,-0.0851933896522217,9.06
2023-04-30,0.1275462752833791,8.1
2023-05-31,-0.0926340105358682,7.85
2023-06-30,0.0472787408384682,6.86
2023-07-31,0.0591869656649599,7.05
2023-08-31,0.070867197114623,7.14
2023-09-30,-0.0709019138415059,7.73
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
