period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,317500.0,712450.0,303.09641010342085,301.36005076662406,2.0,3.0,5.0,2.5,1.15,117.0,0.9881957992875624,0.1666666666666666,,0.0,1.51,0.0,VA,Vienna,Condo
2019-02-28,263125.0,929950.0,315.1058194037347,262.90930392005,2.5,2.0,2.0,2.5,1.0,18.5,0.9573220954415766,0.0,,0.5,3.21,0.03962240693057395,VA,Vienna,Condo
2019-03-31,320225.0,812425.0,347.22062164147445,323.92132957971444,3.5,3.5,4.0,3.0,0.9,42.0,0.984881460161546,0.1666666666666666,0.2,0.5,4.96,0.10191751551434258,VA,Vienna,Condo
2019-04-30,475125.0,872249.75,380.55869474474713,321.84042522557274,4.0,4.5,4.0,2.5,0.75,359.5,0.996190946977895,0.1666666666666666,0.3333333333333333,0.4642857142857142,4.81,0.09601409313095521,VA,Vienna,Condo
2019-05-31,307625.0,719000.0,321.29372111533274,320.03012048192767,3.0,3.0,6.0,4.0,1.0,12.0,0.9816623515573012,0.0,0.25,0.75,4.39,-0.15573149279683463,VA,Vienna,Condo
2019-06-30,277250.0,685400.0,307.1510281774383,339.1153921333288,5.0,5.0,6.0,5.0,0.5999999999999999,4.0,0.9972220872514664,0.1875,,0.4,3.37,-0.04401795618289628,VA,Vienna,Condo
2019-07-31,399000.0,735000.0,454.54545454545456,332.92158968850697,5.0,2.0,2.0,4.0,0.8,27.0,0.9940288574536804,0.4,0.25,0.0,3.0,0.47987606371569047,VA,Vienna,Condo
2019-08-31,293000.0,760000.0,377.5773195876289,363.9676113360324,3.0,6.0,6.0,4.0,1.3,34.0,0.9832492623580292,0.0,,0.3333333333333333,3.82,-0.16932989690721645,VA,Vienna,Condo
2019-09-30,292000.0,867444.0,356.25555690268345,301.883691442128,4.0,4.0,3.0,2.5,1.2,24.5,0.9943834942131397,0.5714285714285714,,0.25,5.24,-0.056469924380606384,VA,Vienna,Condo
2019-10-31,314000.0,809999.5,357.514450867052,309.32316908992993,2.0,2.5,2.5,2.5,1.85,53.0,0.95272199473092,0.1666666666666666,0.5,0.125,6.02,0.0035336823243221627,VA,Vienna,Condo
2019-11-30,466500.0,727450.0,343.0973747069007,324.28161215289924,1.5,1.0,2.0,3.5,2.5,35.5,0.9915497684661448,0.75,0.3333333333333333,0.0,5.72,-0.04032585571068992,VA,Vienna,Condo
2019-12-31,287500.0,,258.4628015662498,,1.0,1.0,,2.5,2.5,39.0,0.9709249084249084,0.0,,0.0,5.44,-0.24667799691837355,VA,Vienna,Condo
2020-01-31,258000.0,762500.0,267.26245553430795,307.96703296703294,1.0,1.0,3.0,3.0,3.0,73.0,1.0109090909090908,0.5,0.25,0.5,5.43,0.034046113849781845,VA,Vienna,Condo
2020-02-29,471250.0,844950.0,356.2343224421782,309.7746121676889,1.5,2.5,3.5,4.0,3.0,46.0,1.0086967465898804,0.25,,0.25,5.57,0.33290073134289955,VA,Vienna,Condo
2020-03-31,311500.0,817000.0,346.0615963947147,319.7188559879286,2.0,3.5,6.0,2.5,1.25,45.0,1.034118533023974,0.75,0.75,0.65,6.04,-0.028556277165333266,VA,Vienna,Condo
2020-04-30,348000.0,772500.0,397.2861356932153,315.0424510704864,3.0,3.0,3.5,4.5,1.7,4.0,0.9857287698836544,0.2,0.1428571428571428,1.0,7.58,0.1480214500313244,VA,Vienna,Condo
2020-05-31,470225.0,910000.0,373.4434625426793,313.8452588714369,3.0,2.0,2.0,7.0,1.4,19.0,1.004736551114418,0.7,0.2857142857142857,0.0,9.79,-0.06001385653424185,VA,Vienna,Condo
2020-06-30,414950.0,1037450.0,353.69985467572405,302.5501901255155,2.0,3.0,4.0,5.5,2.15,68.0,0.9929183043271722,0.0,0.2999999999999999,0.3333333333333333,11.2,-0.0528690681382562,VA,Vienna,Condo
2020-07-31,363250.0,707500.0,394.85677950182026,338.1650666578694,2.5,4.0,7.0,10.0,2.5,21.0,1.0322819939790968,0.625,0.2999999999999999,0.7857142857142857,11.44,0.11636115842860417,VA,Vienna,Condo
2020-08-31,402000.0,740000.0,336.1397808158219,351.8207162284678,6.0,5.0,6.0,10.0,1.7,11.0,0.9969687829450468,0.3333333333333333,0.8,0.2,11.58,-0.14870454740597328,VA,Vienna,Condo
2020-09-30,393950.0,819000.0,411.26126126126127,325.6808844823972,4.0,4.0,2.0,7.0,1.8,40.0,1.0046151642013474,0.25,0.4285714285714285,0.0,11.33,0.22348286258507444,VA,Vienna,Condo
2020-10-31,302000.0,816225.0,370.6190238389172,326.3553198105294,1.5,1.5,6.0,7.0,4.25,110.5,0.9889228965415052,0.0,0.0909090909090909,0.0,10.85,-0.09882340315181137,VA,Vienna,Condo
2020-11-30,314950.0,1173125.0,317.0249960721288,330.21479520108454,2.0,2.0,1.0,6.0,3.0,31.0,1.0016983063465474,0.25,0.2999999999999999,0.0,10.02,-0.14460679112382013,VA,Vienna,Condo
2020-12-31,287500.0,786175.0,290.57690733464307,320.70769433599685,3.0,4.0,1.5,3.0,1.0,68.0,0.9564994785878024,0.3333333333333333,0.5999999999999999,0.0,10.97,-0.08342587829089765,VA,Vienna,Condo
2021-01-31,395000.0,794450.0,423.3654876741693,281.5302470915758,3.0,2.0,3.0,6.0,2.0,64.0,0.9911640472445988,0.3333333333333333,0.1666666666666666,0.5,13.49,0.45698256464200093,VA,Vienna,Condo
2021-02-28,485000.0,886450.0,400.32679738562086,334.3693784569863,3.0,2.0,4.0,7.0,2.3,40.0,0.9877844303305244,0.6666666666666666,0.1428571428571428,0.0,16.67,-0.05441796971953339,VA,Vienna,Condo
2021-03-31,313750.0,987500.0,368.13679053456,322.3519746211829,2.0,2.5,6.0,7.0,3.35,92.0,1.0014136221773455,0.1666666666666666,0.303030303030303,0.5833333333333333,18.1,-0.08040932323611938,VA,Vienna,Condo
2021-04-30,340000.0,729000.0,447.4681160853894,334.3531468531468,4.0,6.0,8.0,13.0,3.3,21.0,1.0041269223855704,0.5,0.4615384615384615,0.3333333333333333,18.46,0.21549415214826761,VA,Vienna,Condo
2021-05-31,388750.0,803500.0,377.98488910527146,350.13998234032056,5.0,4.5,4.0,7.0,1.25,25.5,0.9976776987699248,0.375,0.3333333333333333,0.3214285714285714,17.74,-0.15528084456157898,VA,Vienna,Condo
2021-06-30,327810.5,958745.0,377.7839179252731,336.25081655014253,2.5,2.5,3.0,7.5,2.65,26.5,1.011098319513709,0.5833333333333333,0.3653846153846153,0.4166666666666666,18.42,-0.0005316910431898414,VA,Vienna,Condo
2021-07-31,330000.0,1024950.0,372.40735186543134,346.3760101994361,2.5,1.5,3.0,8.0,2.75,26.5,0.976177022754604,0.125,0.2857142857142857,0.0,18.83,-0.01423185531392912,VA,Vienna,Condo
2021-08-31,472500.0,770000.0,416.6666666666666,343.74197816476254,3.0,3.0,3.0,12.0,4.0,124.0,0.9869402247020796,0.0,0.1666666666666666,0.0,18.8,0.11884651197011875,VA,Vienna,Condo
2021-09-30,285750.0,959950.0,388.0316237309938,376.8447692280631,1.5,1.5,2.5,7.0,6.5,61.0,0.9982372881355932,0.25,0.4166666666666666,0.5,19.83,-0.06872410304561472,VA,Vienna,Condo
2021-10-31,420000.0,824999.0,425.47274749721913,315.38018433179724,3.0,3.0,2.0,9.0,3.0,185.0,0.9610200069526856,0.0,0.2222222222222222,0.3333333333333333,21.01,0.09648987731005598,VA,Vienna,Condo
2021-11-30,329000.0,1118475.0,354.67502259359674,352.2677516876289,3.0,3.0,1.5,3.5,1.5,92.0,0.9948429209305538,0.1,0.5,0.0,22.67,-0.16639779003491906,VA,Vienna,Condo
2021-12-31,317950.0,985450.0,300.68852014850506,335.6936879656096,1.0,1.0,2.5,4.5,4.5,90.0,0.9606884695394702,0.0,,0.0,22.68,-0.15221399592875173,VA,Vienna,Condo
2022-01-31,319875.0,975000.0,343.3014720227462,360.8660785886127,2.0,2.5,2.0,3.0,1.5,23.0,0.9930120388948912,0.25,0.6,0.75,23.03,0.14171792076796064,VA,Vienna,Condo
2022-02-28,319500.0,450000.0,419.7525498377376,407.7791718946048,6.0,3.0,8.0,8.0,1.3,43.0,0.9798748132317456,0.1666666666666666,,0.3333333333333333,23.21,0.22269370814094835,VA,Vienna,Condo
2022-03-31,527500.0,900000.0,395.00175182398914,351.9577650681918,4.5,4.5,6.0,5.0,0.5999999999999999,18.5,1.0336702123481836,0.5625,,0.625,24.5,-0.05896521182138448,VA,Vienna,Condo
2022-04-30,325000.0,1085000.0,407.7791718946048,342.81736229800924,3.0,3.0,4.0,6.0,2.0,48.0,0.9952380952380953,0.0,0.3333333333333333,0.3333333333333333,26.29,0.032347755450738536,VA,Vienna,Condo
