period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.31
2019-02-28,-0.1149006063493858,0.31
2019-03-31,-0.1262020298761679,0.53
2019-04-30,-0.1805138733180965,0.28
2019-05-31,0.0727480846181185,0.81
2019-06-30,-0.0808918199041877,0.6
2019-07-31,-0.0298229547312176,0.53
2019-08-31,-0.092005250397636,0.0
2019-09-30,0.1898218768320281,0.2
2019-10-31,0.1595583787053842,0.2
2019-11-30,-0.3504992158982338,0.2
2019-12-31,0.007440708661438,0.17
2020-01-31,0.3191190459748685,0.75
2020-02-29,-0.0184567772652879,1.04
2020-03-31,0.1084626413394664,1.25
2020-04-30,-0.3340842288013765,1.47
2020-05-31,0.4321068548387092,2.12
2020-06-30,0.0695277845220616,2.91
2020-07-31,-0.1358194600514223,2.85
2020-08-31,0.2034911912073702,3.01
2020-09-30,-0.2376753728981623,3.14
2020-10-31,0.0992773953997516,3.9
2020-11-30,0.3409805600703264,4.48
2020-12-31,0.0485664019780325,4.64
2021-01-31,-0.031635354341178,4.73
2021-02-28,0.2194364980933654,4.67
2021-03-31,-0.3191423544651315,4.28
2021-04-30,0.3812959155050537,3.7
2021-05-31,-0.3048344359169508,3.88
2021-06-30,0.1388968674694433,3.91
2021-07-31,0.0205422063374385,3.59
2021-08-31,0.003724534447526,3.11
2021-09-30,-0.0191346017802179,3.36
2021-10-31,-0.2483983328819475,4.42
2021-11-30,0.2446174261327427,5.16
2021-12-31,0.0598504748434025,5.63
2022-01-31,0.2365191096609475,5.55
2022-02-28,-0.237147619377908,5.47
2022-03-31,-0.0263373395903512,6.03
2022-04-30,0.0241257446736897,6.71
2022-05-31,0.292679878303548,6.66
2022-06-30,-0.0135775959291627,6.37
2022-07-31,-0.1139117251919686,6.15
2022-08-31,-0.0579446517412934,5.62
2022-09-30,0.2446070878274266,5.38
2022-10-31,-0.0078259716142725,5.45
2022-11-30,0.0513141426783481,6.57
2022-12-31,-0.299266369047619,6.19
2023-01-31,0.0874732847252597,5.75
2023-02-28,0.1421747102861368,5.02
2023-03-31,-0.0200714285714285,5.72
2023-04-30,-0.2030834794201697,5.68
2023-05-31,0.1118486667399092,5.39
2023-06-30,0.0895640871226786,6.27
2023-07-31,0.1784319213107625,6.34
2023-08-31,0.1340274606147302,6.36
2023-09-30,-0.2253931557731862,5.21
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
