period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.37
2019-02-28,0.2308017250133061,0.74
2019-03-31,-0.0471723326371105,1.29
2019-04-30,-0.0339673374275486,1.11
2019-05-31,0.0552373177696285,1.53
2019-06-30,0.0394518340546041,0.98
2019-07-31,-0.0700360156907257,0.85
2019-08-31,0.0429292838148642,0.11
2019-09-30,0.0780133762971833,0.36
2019-10-31,-0.1779577829936056,0.7
2019-11-30,0.0126395929820155,1.23
2019-12-31,0.0824906367041198,2.13
2020-01-31,-0.000597300203082,2.33
2020-02-29,0.0627618499958924,2.39
2020-03-31,-0.0148810220594989,2.18
2020-04-30,0.0039911732944242,2.8
2020-05-31,-0.0131597401302963,2.95
2020-06-30,-0.0031270094753077,4.13
2020-07-31,0.075223698300705,3.39
2020-08-31,-0.0604604897797022,4.59
2020-09-30,0.0304709141274239,3.43
2020-10-31,0.0163306326811778,5.03
2020-11-30,-0.02017505960511,6.09
2020-12-31,0.0557461265663796,7.31
2021-01-31,0.0184189988613394,7.15
2021-02-28,-0.0465659207594689,6.3
2021-03-31,0.0835537140453013,6.65
2021-04-30,-0.1074643602415864,7.06
2021-05-31,0.1530349387096929,7.04
2021-06-30,0.0386887524614851,6.41
2021-07-31,-0.0564576753120209,6.78
2021-08-31,-0.0753116173704268,8.13
2021-09-30,0.0434279804787614,9.21
2021-10-31,0.0848506289414001,9.63
2021-11-30,-0.1072304869478293,8.36
2021-12-31,0.01796896934639,7.65
2022-01-31,0.0431954037408504,7.0
2022-02-28,0.1586188923102383,7.08
2022-03-31,-0.042208051349715,6.84
2022-04-30,-0.1036420258874275,6.97
2022-05-31,0.14078951946966,7.16
2022-06-30,-0.029643555631229,8.05
2022-07-31,0.086327072998934,8.16
2022-08-31,-0.1002128931196706,7.9
2022-09-30,0.0381234592195132,7.13
2022-10-31,-0.0051860941174024,6.67
2022-11-30,-0.0782358122214722,5.99
2022-12-31,0.1265611367318957,5.35
2023-01-31,-0.0920863629955073,4.82
2023-02-28,0.0299399438142589,5.1
2023-03-31,0.1204737355540566,5.17
2023-04-30,-0.094235759666616,5.63
2023-05-31,-0.089626376038812,6.57
2023-06-30,0.1451275595443961,7.54
2023-07-31,0.023849616721137,7.49
2023-08-31,0.0263656570388957,7.35
2023-09-30,-0.062750610013628,6.62
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
