period_begin,asset_value_momentum,remote_work_share
2019-01-31,0.0,0.56
2019-02-28,-0.0823013011729026,0.56
2019-03-31,0.1090119484570422,0.75
2019-04-30,0.0151696670322671,0.19
2019-05-31,-0.2121482455316617,0.19
2019-06-30,0.4360772870957488,0.0
2019-07-31,-0.0572099301889607,0.0
2019-08-31,-0.0340656218527667,0.0
2019-09-30,0.0939901033369516,0.06
2019-10-31,-0.0895514354066985,0.57
2019-11-30,0.3294807204715335,1.13
2019-12-31,0.2350330250990751,1.63
2020-01-31,-0.2339501150004074,1.81
2020-02-29,0.0634370230635341,2.11
2020-03-31,-0.3920485081578819,2.25
2020-04-30,0.1872587367387306,2.15
2020-05-31,0.1622997961652346,1.57
2020-06-30,-0.0356292255685309,1.58
2020-07-31,0.079685868564074,1.36
2020-08-31,-0.0401584864830031,2.49
2020-09-30,0.0448504485117864,2.71
2020-10-31,0.0526521739130434,3.58
2020-11-30,0.0760108936827028,3.04
2020-12-31,-0.0138384754990926,3.04
2021-01-31,0.0096618357487923,3.2
2021-02-28,0.1336254107338443,3.25
2021-03-31,-0.1305772097976569,3.65
2021-04-30,-0.0874892588388823,2.9
2021-05-31,0.1852908857770194,2.58
2021-06-30,-0.0312219741309492,1.9
2021-07-31,-0.1274667673366138,2.33
2021-08-31,0.2971255236169292,2.75
2021-09-30,-0.216662162162162,3.43
2021-10-31,0.0251490061093462,3.07
2021-11-30,0.2698427137618056,2.92
2021-12-31,-0.1733088678626133,2.78
2022-01-31,0.3096568000253714,2.94
2022-02-28,-0.1975482018578184,2.93
2022-03-31,0.2530648690541386,3.24
2022-04-30,-0.0713373726690749,3.73
2022-05-31,-0.1905101263969547,4.02
2022-06-30,0.0941387811998839,3.93
2022-07-31,0.0611370964362234,3.25
2022-08-31,0.0595875403405319,2.91
2022-09-30,-0.0024288688410826,3.03
2022-10-31,-0.1407043896661485,3.7
2022-11-30,0.3066781646672223,4.13
2022-12-31,-0.173416302485567,3.7
2023-01-31,0.0751758447795407,3.34
2023-02-28,0.1388576610086374,2.87
2023-03-31,-0.4155216368335027,3.33
2023-04-30,0.5130834190716607,3.62
2023-05-31,0.122636545157035,4.14
2023-06-30,0.0325011312217193,3.65
2023-07-31,-0.0947342087171396,3.09
2023-08-31,0.1829012784090906,2.87
2023-09-30,-0.0758949880668259,2.76
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,,
2024-04-30,,
2024-05-31,,
2024-06-30,,
2024-07-31,,
2024-08-31,,
2024-09-30,,
2024-10-31,,
2024-11-30,,
2024-12-31,,
2025-01-31,,
2025-02-28,,
2025-03-31,,
2025-04-30,,
2025-05-31,,
2025-06-30,,
2025-07-31,,
2025-08-31,,
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
