period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum,State,City,Property_Type
2019-01-31,87250.0,138900.0,39.240132043496686,90.95083023297217,4.0,3.0,4.0,28.0,7.0,48.0,0.9805290102389078,0.0,0.1071428571428571,0.0,0.56,0.0,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-02-28,125000.0,144900.0,75.55847568988173,89.93250843644545,3.0,,6.0,29.0,9.7,119.0,0.979227186568124,0.0,0.1379310344827586,,0.56,0.9255408112828745,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-03-31,79250.0,119900.0,39.113122171945705,75.7918552036199,6.0,3.0,19.0,43.0,7.2,105.0,0.8591027557629464,0.0,0.0465116279069767,0.0,0.75,-0.4823463309069447,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-04-30,102400.0,119900.0,47.42202418841502,84.79112271540468,5.0,3.0,9.0,43.0,8.599999999999998,55.0,0.9546591103361975,0.0,0.1395348837209302,0.0,0.19,0.2124325943590606,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-05-31,81450.0,132950.0,44.74690328606259,91.73603604513724,4.0,3.0,3.0,40.0,10.0,109.0,0.9740898541600664,0.0,0.1,0.0,0.19,-0.0564109387596734,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-06-30,95650.0,155000.0,43.89396148874822,94.67195068251873,4.0,3.0,4.0,39.0,9.8,108.0,0.9128058829205488,0.0,0.1025641025641025,0.0,0.0,-0.019061470955019977,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-07-31,115000.0,150000.0,67.52305665349144,95.4032957502168,3.0,2.0,6.0,41.0,13.7,86.0,0.9787512260640886,0.0,0.0975609756097561,0.0,0.0,0.538322228464166,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-08-31,79500.0,120000.0,43.16542700640389,88.21321321321322,6.0,3.0,14.0,48.0,8.0,110.0,0.9336182485647462,0.0,0.1458333333333333,0.0,0.0,-0.36073055418808686,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-09-30,98916.5,125000.0,45.08516023772388,92.16903591903592,8.0,2.0,13.0,53.0,6.6,141.0,0.9398905183516592,0.0,0.0943396226415094,0.0,0.06,0.04447386170963141,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-10-31,85000.0,128400.0,39.645522388059696,92.7629487845834,9.0,9.0,3.0,38.0,4.2,61.0,0.9125956152505365,0.0,0.0789473684210526,0.0,0.57,-0.12065251228968032,WI,Oshkosh,Multi-Family (2-4 Unit)
2019-11-30,92000.0,129900.0,54.21331761932823,86.34361233480176,7.0,4.0,2.0,32.0,4.6,74.0,0.920283172773512,0.0,0.21875,0.0,1.13,0.36745121148046755,WI,Oshkosh,Multi-Family (2-4 Unit)
