period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,383375.0,395075.0,140.98516068284087,178.8876958736551,293.0,271.0,507.5,1173.25,6.625,89.0,0.9805212148035164,0.2888412017167381,0.2612780162136384,0.1897031539888682,5.73,0.0
2019-02-28,209100.0,201450.0,119.5545802009955,124.31681676732144,344.5,624.0,470.75,1189.75,3.625,37.25,0.9923761458884808,0.1649343544857768,0.2982456140350877,0.1352327447833065,5.24,-0.1520059301138467
2019-03-31,270750.0,327610.0,137.15834132356431,128.33729331246542,357.4,331.4,472.4,973.8,3.04,75.4,1.0002300549870964,0.5143468468468468,0.4379639204871883,0.5264967637540453,4.92,0.147244556360562
2019-04-30,354825.0,388575.0,164.96562130461766,155.45499517828537,537.75,469.75,577.75,1172.5,4.85,77.5,0.9664340750115707,0.0956136257582827,0.3437840633329355,0.4512553418803419,5.48,0.2027385262370182
2019-05-31,293050.0,321325.0,162.78733304839187,148.83189186655238,582.25,484.0,592.0,1138.5,4.4,43.5,0.9723371462504308,0.1302285467874083,0.2638940135619347,0.153779622902612,5.88,-0.0132044982402936
2019-06-30,351200.0,262230.0,129.04936436847078,135.4333398386346,422.6,445.5,387.8,841.6,2.78,61.6,1.006085666010526,0.3403049070986184,0.2923603882527735,0.4626692047377326,5.27,-0.2072518054576875
2019-07-31,352424.875,424333.3333333333,166.90689521635426,152.33876603087404,514.5,424.25,614.3333333333334,962.75,3.425,91.25,0.9883828957713926,0.3459614446071254,0.4738959500364848,0.0733116113744075,4.7,0.2933569726061571
2019-08-31,307100.0,345358.0,128.87782156691932,146.39027272719798,384.6,331.4,395.4,732.8,4.54,33.8,0.9633089440059612,0.1412133891213389,0.2224444835848101,0.2663030303030303,4.77,-0.2278460311668938
2019-09-30,247410.0,306067.7,122.9801507836999,129.54123638547335,361.8,300.2,376.4,719.8,3.38,46.0,0.9908177749960446,0.4637012263099219,0.453988162344983,0.2101342281879194,6.13,-0.0457617199880825
2019-10-31,274454.0,329675.0,130.1275308848735,163.76343926923823,348.6,300.8,486.75,726.0,4.5600000000000005,81.0,0.9569725392848104,0.1901388085598611,0.3728921078921078,0.0612709030100334,5.3,0.0581181601715918
2019-11-30,237491.66666666663,203783.3333333333,145.14705382144373,125.94454838668284,512.6666666666666,459.0,503.6666666666667,1136.0,2.6666666666666665,55.66666666666666,0.9927442027146623,0.2678891071818379,0.3576296296296296,0.0971512052593133,5.31,0.1154215624813346
2019-12-31,256752.6,176075.0,121.91858813965288,107.2762978625932,330.0,249.8,261.5,569.2,2.08,56.6,0.942461729318093,0.2914460784313725,0.2711240375714059,0.3491114701130856,5.26,-0.1600340142650496
2020-01-31,416900.0,383210.0,136.96212549534516,155.8558012587761,331.75,313.5,441.0,730.5,3.8,104.0,0.9687416901435244,0.1314029775422659,0.3645042558086036,0.5911458333333334,4.98,0.1233900226802209
2020-02-29,306915.625,316062.5,136.4592734290151,141.95207974538255,380.0,477.0,446.25,708.25,2.975,132.25,0.9565781981860232,0.1386869354483366,0.1907051282051281,0.3057889822595705,5.46,-0.0036714680391489
2020-03-31,269100.0,297209.0,120.30286781534956,127.17428510326263,343.2,295.8,460.0,671.8,3.0,177.0,0.940454338123797,0.2876977152899824,0.2413637729047761,0.6810333106730115,6.18,-0.1183972712713435
2020-04-30,332000.0,396975.0,155.94625557257535,161.00410164320738,364.75,498.3333333333333,452.75,857.5,3.95,19.5,0.9932490000548336,0.4503613214039917,0.2585953570379077,0.0964501004688546,14.92,0.2962804495395248
2020-05-31,411890.0,288160.0,140.0186114195858,143.68276051128063,302.2,560.6666666666666,346.6,647.8,3.72,55.8,0.9987081911893996,0.4472388556220891,0.1947525502249543,0.4337899543378995,10.95,-0.1021354702907697
2020-06-30,221834.2,208087.5,121.06733085179545,128.2672449049249,402.8,370.6,455.0,559.2,2.32,147.2,0.9577543829952068,0.3003755633450174,0.2227769737899984,0.0942391304347826,11.87,-0.1353482967417818
2020-07-31,448250.0,398712.5,154.24076716641142,180.17486023987584,548.0,622.0,514.0,640.25,3.0,96.25,0.976276451394411,0.1182814170102305,0.3506698187549251,0.321215109676648,13.01,0.2740081579499362
2020-08-31,231600.0,354987.5,159.3896886400488,170.9330637861861,378.4,451.5,538.25,531.2,1.84,53.8,0.9749572409532232,0.3358892438764643,0.3549640015157256,0.1955656424581005,12.29,0.0333823642622457
2020-09-30,326060.0,264719.9,135.1954119616568,135.76604322795157,385.6,464.25,440.8,554.8,2.24,42.4,1.030380448015083,0.4729546638874414,0.2156987295825771,0.5979729729729729,13.06,-0.1517932363430998
2020-10-31,268850.0,307212.5,147.4857272835632,193.9199887690677,404.2,492.0,553.5,571.0,1.38,34.0,1.0286817210329071,0.5272523643603784,0.2182170542635658,0.3446118488253319,13.63,0.090907784099893
2020-11-30,272300.0,341450.0,152.12744805014546,157.1609514415478,367.0,432.5,404.75,636.0,1.15,21.2,1.0202331723546885,0.3731359649122807,0.2335305719921104,0.1637630662020905,13.02,0.0314723387277866
2020-12-31,357362.5,335500.0,158.5471143891407,186.2799680778332,499.25,422.25,333.25,486.75,1.625,61.25,0.9801719692173074,0.463774485183325,0.1931818181818181,0.0734857482185273,13.34,0.042199263980811
2021-01-31,266916.0,323556.0,142.96789779774775,136.17249348354926,293.8,303.2,325.2,367.2,1.96,92.2,0.973624923867398,0.2224720127941512,0.1609006040637012,0.6451458885941644,13.1,-0.0982623786715856
2021-02-28,263760.0,299250.0,147.00620849446645,160.56620343313816,319.4,315.4,355.0,366.0,1.2,48.2,0.9805104352494286,0.5021645021645021,0.2066373303997066,0.5496801023672424,13.42,0.0282462759747057
2021-03-31,336362.5,354875.0,171.43937908379598,183.1089913249872,504.0,491.25,521.0,451.25,0.975,17.0,0.9819295823146774,0.2630597014925373,0.324763757643135,0.4503410059676044,14.21,0.1662050252132667
2021-04-30,412496.0,419975.0,180.8199880692335,182.28558650077835,487.0,479.0,558.0,678.0,1.1,9.5,1.00876337461123,0.4354727398205659,0.2765054294175715,0.6944910807974817,13.27,0.054716769481838
2021-05-31,446450.0,458325.0,197.0769840990506,190.19299854850613,473.5,501.75,518.25,509.25,0.975,19.5,1.0251530040354115,0.5135831122900087,0.4094417077175697,0.4471290268736437,13.03,0.089907073899333
2021-06-30,400637.5,388475.0,178.19170213436527,188.40429166362264,519.5,486.75,564.5,564.75,1.9,28.33333333333333,1.013403590880932,0.4082568807339449,0.2338045414069456,0.5386776455710754,13.81,-0.0958269279947658
2021-07-31,332000.0,315190.0,177.3549856073636,168.8877359920148,377.8,382.2,435.0,607.25,3.025,9.0,1.056507922578379,0.8198505869797226,0.2157051282051282,0.6193248945147679,13.85,-0.0046955975894474
2021-08-31,381875.0,324487.5,187.5861538778086,177.8703308626545,452.0,500.75,533.75,611.75,1.55,21.75,0.9971221263954444,0.3409485963933816,0.2749341898475561,0.3798149546827795,15.95,0.0576875143115245
2021-09-30,358417.0,448990.0,176.8293639419418,184.3994639878826,384.8,474.0,422.0,506.4,1.3199999999999998,24.6,1.0112295140882352,0.503979057591623,0.4304604564755838,0.1561339522546418,14.81,-0.0573431978506987
2021-10-31,431136.25,324966.6666666667,196.10825853823297,199.80697336867345,462.5,446.5,656.3333333333334,641.5,1.025,37.25,1.0049146123181212,0.4617652783184118,0.5212005483744614,0.1518359594822734,16.0,0.1090254139161015
2021-11-30,329200.0,365300.0,176.5679302012723,165.96254873481607,348.6,355.4,330.4,569.5,1.875,37.4,0.999620225210618,0.3626344086021505,0.4530171147348317,0.4112990692027519,15.51,-0.0996405173479785
2021-12-31,475173.0,224337.25,184.8021693620535,143.95031302489886,374.4,508.6666666666667,323.75,369.8,1.1800000000000002,43.2,0.9849616105235568,0.3066666666666666,0.2815936309199782,0.5469411592933274,14.1,0.0466349645226902
2022-01-31,333700.0,350180.0,166.59488308534105,202.267303822842,279.2,375.0,325.2,356.4,1.56,48.4,0.9825849145958528,0.3233117039173275,0.4710615471485036,0.2276456798392498,18.2,-0.0985231198289766
2022-02-28,304900.0,394440.0,171.9694435955931,180.751580201452,317.2,306.4,334.8,348.6,2.72,20.2,0.958364186538686,0.3989247311827957,0.2408714092924619,0.5578624616732369,18.05,0.0322612580333505
2022-03-31,431690.0,396479.9,184.9882248323356,201.16419420239336,381.8,374.6,411.6,358.2,1.54,24.6,1.030647804603256,0.6514145141451414,0.3355279658891397,0.4942442173211404,15.72,0.0757040376740283
2022-04-30,509750.0,457433.5,223.71294432378343,215.4175412810891,448.5,407.75,510.5,532.5,1.375,24.5,1.0446586378808118,0.6541479820627802,0.2877882599580712,0.5035706946157008,19.28,0.2093361322135289
2022-05-31,488200.0,362180.0,228.8971896504052,189.64155482640928,337.2,334.2,474.2,553.6,4.0200000000000005,21.6,1.025407315117823,0.7199761478831246,0.2541900008116224,0.5579566003616636,19.51,0.0231736493491343
2022-06-30,348700.0,419850.0,189.94916911156864,193.75437042821403,303.8,307.8,503.4,734.2,3.38,30.2,1.0179339578950852,0.4938369781312127,0.3047689768976897,0.1715701275045537,20.3,-0.1701550840284317
2022-07-31,441875.0,423487.5,214.80972746388585,216.103661954149,307.5,361.0,526.5,1057.0,1.95,23.0,1.021020263186848,0.4891739232760649,0.4308090592887166,0.2345196470196469,19.23,0.130880058431396
2022-08-31,415000.0,366575.0,210.179861124386,186.36265618162656,313.75,389.5,453.25,1068.5,1.9,22.75,1.011145329428895,0.3716697289848415,0.6491073525957246,0.3644892672094744,17.06,-0.021553336499988
2022-09-30,404625.0,419973.75,224.65514425028323,209.7469806396562,323.0,410.0,428.25,1099.75,2.15,33.75,1.0007131324564873,0.2097633905356214,0.3928872918092631,0.4305555555555555,18.18,0.0688709329640799
2022-10-31,292212.5,292337.25,190.0110458214612,175.87389937560255,276.0,256.5,345.5,1068.0,2.475,60.0,0.9897674609970644,0.3873598369011213,0.3542398937321362,0.2969980314960629,20.95,-0.1542101274575124
2022-11-30,352900.0,307230.0,183.888636593352,168.2952366089869,198.4,190.4,205.8,771.0,2.44,65.0,0.9899549905272258,0.5739508700102354,0.3586826735796211,0.0321353065539112,18.6,-0.0322213332474469
2022-12-31,323476.0,361450.0,214.57747537417472,194.75280997476025,333.6666666666667,272.6666666666667,286.3333333333333,1105.0,3.266666666666667,37.0,0.9976976631111932,0.5400801603206412,0.3184064548663641,0.5025935025935026,18.02,0.1668881740022221
2023-01-31,280250.0,232316.66666666663,177.9085776932157,173.99160567569393,207.0,181.0,398.0,796.75,4.2,51.5,0.9655719152447824,0.0278787878787878,0.362870195337114,0.2720519962859795,17.65,-0.1708888485010681
2023-02-28,248878.0,381080.0,148.0616831880393,208.08111863371147,222.0,168.0,242.0,596.2,3.7,72.2,0.9978620054205862,0.4808529945553538,0.1713736394493919,0.2596407185628742,17.93,-0.167765348316393
2023-03-31,296875.0,261175.0,208.00062290082028,178.2914038359932,341.5,345.0,323.5,679.5,2.825,54.75,0.981962502469724,0.5050932744231713,0.3646876932591218,0.3571335927367056,15.8,0.4048241139921267
2023-04-30,430749.875,509950.0,212.99671440406715,225.8695789902233,305.25,284.5,331.75,836.3333333333334,2.3000000000000003,61.0,1.0399696258892912,0.5510330578512397,0.1876810271388584,0.3492770215833439,15.73,0.0240195987568225
2023-05-31,469224.5,396530.0,199.6318950165896,200.088965771312,291.2,228.8,261.0,462.8,3.24,25.2,1.019638850301137,0.4021428571428571,0.3057037360928921,0.292063492063492,14.71,-0.0627465988143071
2023-06-30,442487.5,364816.6666666667,206.186542762095,231.3123210640401,314.5,265.25,418.0,560.0,1.65,57.0,0.9994822122257618,0.3835272873194221,0.5965662018293597,0.5468363463368221,14.98,0.0328336699151241
2023-07-31,371190.0,366980.0,191.00592228836248,185.5263806074478,210.4,240.5,233.2,441.6,4.220000000000001,45.0,0.9839251409836792,0.1860658357302652,0.2256712704968785,0.2635755508919202,13.75,-0.0736256608718078
2023-08-31,287000.0,301675.0,198.6623190872658,215.9843474564229,263.25,268.75,337.5,558.0,4.975,29.5,1.000414532003143,0.5645315487571702,0.2686055731762573,0.4274061032863849,14.35,0.0400846042215612
2023-09-30,434890.0,467462.5,176.47162600657384,209.05839265913144,205.6,319.0,319.0,469.4,3.96,55.4,0.9764889282514474,0.3865161923454366,0.4831585646996384,0.0887491264849755,15.49,-0.1117005639652495
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
