period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,340000.0,349900.0,148.23194635549598,156.59575389948006,70.0,71.0,165.0,384.0,5.5,56.0,0.9824169635615626,0.2,0.2395833333333333,0.2816901408450704,0.0,0.0
2019-02-28,357500.0,395280.0,153.35008445381706,154.6609220094058,98.0,78.0,166.0,431.0,4.4,70.0,0.9805070452365772,0.0612244897959183,0.2320185614849187,0.3333333333333333,0.0,0.0345279018737738
2019-03-31,330000.0,383000.0,150.4725897920605,148.82032667876587,139.0,108.0,187.0,452.0,3.3,52.0,0.9842401950859266,0.1079136690647482,0.2566371681415929,0.1851851851851851,0.0,-0.018764219609042
2019-04-30,364000.0,374999.5,151.95530726256985,153.1096691882951,133.0,145.0,190.0,455.0,3.4,53.0,0.9858618454199364,0.1729323308270676,0.3186813186813186,0.2206896551724137,0.0,0.009853737963561
2019-05-31,358500.0,359900.0,149.49627576773838,153.68956743002545,198.0,162.0,199.0,437.0,2.2,49.0,0.9894803707043744,0.1565656565656565,0.3112128146453089,0.1481481481481481,0.0,-0.0161825969696629
2019-06-30,349527.0,363990.0,145.32702816309373,152.6032315978456,169.0,142.0,165.0,407.0,2.4,50.0,0.9884021495935464,0.165680473372781,0.2506142506142506,0.1971830985915492,0.0,-0.027888638584697
2019-07-31,360000.0,383000.0,148.12819822246163,157.56209953421143,175.0,145.0,172.0,382.0,2.2,51.0,0.9888837177330682,0.1771428571428571,0.2382198952879581,0.2827586206896551,0.0,0.0192749421410054
2019-08-31,366990.0,389950.0,153.49773527931555,158.54341976574423,189.0,137.0,196.0,403.0,2.1,48.0,0.9888017629329968,0.1534391534391534,0.2456575682382133,0.2992700729927007,0.0,0.0362492565310883
2019-09-30,346000.0,379950.0,155.03171462490815,158.36048014078648,144.0,144.0,146.0,365.0,2.5,37.0,0.9900290034982988,0.1388888888888889,0.3068493150684931,0.3611111111111111,0.0,0.0099934982284999
2019-10-31,365500.0,360000.0,154.24300867888138,165.3240544188294,167.0,127.0,160.0,362.0,2.2,51.0,0.9863829645809916,0.1257485029940119,0.2955801104972375,0.3149606299212598,0.0,-0.0050873845260307
2019-11-30,360990.0,369659.0,154.6341463414634,159.2617558497057,121.0,98.0,124.0,336.0,2.8,44.0,0.9897813178888824,0.2314049586776859,0.2767857142857143,0.2040816326530612,0.7,0.0025358534298065
2019-12-31,364000.0,399900.0,158.58767205266307,162.62626262626262,153.0,84.0,91.0,301.0,2.0,49.0,0.9868749224526974,0.1830065359477124,0.1395348837209302,0.2619047619047619,1.2,0.0255669643784204
2020-01-31,370000.0,425000.0,158.65425306813373,167.54189944134075,113.0,116.0,181.0,317.0,2.8,43.0,0.9871152110750064,0.15929203539823,0.1861198738170347,0.3275862068965517,1.28,0.0004198372711377
2020-02-29,399494.5,429495.0,161.34066279415117,168.48351127263464,116.0,116.0,152.0,306.0,2.6,44.0,0.9854179506688606,0.1206896551724138,0.2450980392156862,0.3879310344827586,0.58,0.0169324784811395
2020-03-31,385000.0,388622.5,164.43348463687153,167.86599854328938,162.0,126.0,216.0,362.0,2.2,41.0,0.9883330448154914,0.1604938271604938,0.223756906077348,0.373015873015873,0.7,0.0191695124413018
2020-04-30,399950.0,405000.0,162.8610093577203,170.3997949769349,132.0,144.0,185.0,386.0,2.9,36.0,0.9936415121988867,0.2727272727272727,0.2253886010362694,0.2986111111111111,0.63,-0.0095629870194858
2020-05-31,387450.0,421750.0,165.39562467503004,170.56711396592624,136.0,161.0,176.0,367.0,2.7,38.0,0.9915102940606054,0.2352941176470588,0.2043596730245231,0.279503105590062,1.87,0.0155630578940015
