period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,825500.0,600000.0,392.16116163494365,425.8028792912514,8.0,7.0,18.0,33.0,4.1,94.0,0.9825046864968364,0.125,0.1212121212121212,0.4285714285714285,0.32,0.0
2019-02-28,845000.0,599900.0,429.6011532916866,436.56377799415776,9.0,7.0,18.0,38.0,4.2,114.0,0.9721482664124304,0.0,0.1052631578947368,0.2857142857142857,0.72,0.0954709321561915
2019-03-31,900000.0,584997.5,374.7870528109029,400.52167656053246,15.0,12.0,23.0,46.0,3.1,59.0,0.9883462228270022,0.2,0.2391304347826087,0.25,1.52,-0.1275930012309966
2019-04-30,808000.0,589000.0,409.8820887142055,406.94444444444446,15.0,15.0,22.0,51.0,3.4,34.0,0.9799145950518416,0.2,0.2549019607843137,0.0666666666666666,1.91,0.0936399367056302
2019-05-31,907500.0,565000.0,398.1604131157607,424.3323442136498,14.0,14.0,25.0,56.0,4.0,52.0,0.9874433374397869,0.2857142857142857,0.3035714285714285,0.0,2.42,-0.0285976770422331
2019-06-30,846000.0,613500.0,416.13579270800153,413.24474029054016,24.0,14.0,12.0,46.0,1.9,55.0,0.9838590877289038,0.125,0.3913043478260869,0.0714285714285714,2.83,0.0451460742959763
2019-07-31,871000.0,627450.0,426.9607843137255,409.99670883004217,17.0,17.0,32.0,57.0,3.4,63.0,0.9870135547632471,0.0588235294117647,0.3333333333333333,0.1764705882352941,2.86,0.0260131231088784
2019-08-31,885000.0,559450.0,384.7826086956522,417.664876216631,19.0,13.0,11.0,48.0,2.5,58.0,0.992061358609892,0.3684210526315789,0.25,0.0769230769230769,2.39,-0.0987870014476114
2019-09-30,775000.0,599900.0,391.4529275913599,417.86833855799375,16.0,14.0,18.0,44.0,2.8,55.0,0.978082153008738,0.0625,0.3409090909090908,0.1428571428571428,1.88,0.0173352920453422
2019-10-31,782500.0,599000.0,399.78083482370977,437.7408056042032,18.0,15.0,17.0,42.0,2.3,70.0,0.9964339446268424,0.1666666666666666,0.2619047619047619,0.0666666666666666,1.96,0.0212743516406739
2019-11-30,820000.0,663750.0,415.625,420.761052160036,13.0,9.0,13.0,36.0,2.8,44.0,0.9886609312605512,0.1538461538461538,0.25,0.0,2.75,0.0396321278964686
2019-12-31,877500.0,750000.0,408.9593722362084,438.43361080507606,24.0,20.0,18.0,27.0,1.1,67.0,0.9878956178277336,0.125,0.1481481481481481,0.2,3.15,-0.0160376006346865
2020-01-31,840000.0,657000.0,424.46081483182337,423.2208082950394,20.0,15.0,18.0,28.0,1.4,45.0,0.9894963850619926,0.25,0.1785714285714285,0.0666666666666666,3.49,0.0379046028725356
2020-02-29,789500.0,691450.0,417.6275011283286,436.2118751054079,8.0,10.0,29.0,43.0,5.4,56.0,1.0235754610708525,0.375,0.0465116279069767,0.2999999999999999,2.89,-0.0160988092768992
2020-03-31,870000.0,625000.0,418.5077185766926,443.1909799085808,26.0,31.0,24.0,36.0,1.4,36.0,0.9896755829926676,0.2692307692307692,0.1666666666666666,0.096774193548387,2.87,0.00210766160271
2020-04-30,880000.0,619888.0,448.3133841131665,430.28322440087146,15.0,12.0,17.0,41.0,2.7,28.0,0.9975178893667486,0.3333333333333333,0.1707317073170731,0.0833333333333333,3.38,0.071218914761812
2020-05-31,856250.0,589000.0,436.5053194242144,435.04795117698336,14.0,14.0,16.0,40.0,2.9,45.0,0.9776735344014263,0.0,0.1499999999999999,0.0,5.45,-0.0263388627406478
2020-06-30,799000.0,654900.0,464.375,430.1745635910224,17.0,24.0,32.0,45.0,2.6,53.0,0.9891331645619172,0.1764705882352941,0.1111111111111111,0.375,6.63,0.063847287388268
2020-07-31,900000.0,649900.0,445.2054794520548,435.1851851851852,23.0,20.0,18.0,35.0,1.5,28.0,0.9937131430624156,0.2608695652173913,0.1714285714285714,0.0,7.37,-0.0412802595918065
2020-08-31,839000.0,660000.0,447.7054429028816,444.1356309060589,19.0,15.0,26.0,43.0,2.3,34.0,0.9984967154369166,0.3684210526315789,0.1395348837209302,0.0666666666666666,8.52,0.0056153025203187
2020-09-30,927500.0,632000.0,409.20586904370793,444.54371459194607,16.0,20.0,27.0,48.0,3.0,63.0,0.9836127540101064,0.25,0.2916666666666666,0.1499999999999999,9.87,-0.0859930886914082
2020-10-31,906250.0,624950.0,429.40271577782096,445.37977030204377,30.0,19.0,18.0,42.0,1.4,39.0,0.9978094279238072,0.3333333333333333,0.2857142857142857,0.0526315789473684,10.99,0.0493562000498966
2020-11-30,949000.0,662500.0,411.2903225806452,463.7333251347477,23.0,25.0,17.0,29.0,1.3,56.0,0.9946324091329138,0.217391304347826,,0.32,9.75,-0.0421804346634533
2020-12-31,934000.0,640000.0,465.1005651304012,446.4285714285714,24.0,15.0,10.0,21.0,0.9,38.0,1.005640130610056,0.5833333333333333,0.0476190476190476,0.2,8.43,0.1308327465915637
2021-01-31,928750.0,649500.0,428.0493952223658,452.8235294117647,14.0,8.0,12.0,19.0,1.4,47.0,1.000281138651265,0.5,0.0526315789473684,0.25,7.4,-0.0796627067044034
2021-02-28,977500.0,690000.0,434.5704622526577,461.28731343283584,18.0,23.0,20.0,13.0,0.6999999999999998,45.0,1.0008424767042654,0.4444444444444444,0.2307692307692307,0.3478260869565217,8.04,0.0152343797306484
2021-03-31,1000000.0,722000.0,529.328456578944,468.7074250681199,16.0,19.0,26.0,20.0,1.3,14.0,1.051839302244554,0.9375,,0.3157894736842105,8.59,0.2180497814671866
2021-04-30,1010000.0,707500.0,481.25,479.81192795984646,25.0,23.0,26.0,23.0,0.9,25.0,1.0454891341981825,0.7199999999999999,0.0434782608695652,0.3913043478260869,9.06,-0.0908291552841796
2021-05-31,1015000.0,759000.0,527.5294490040473,486.804804908061,22.0,27.0,41.0,36.0,1.6,26.0,1.0492609022017254,0.8181818181818182,0.0277777777777777,0.4074074074074073,7.98,0.0961650888395786
2021-06-30,1095000.0,659000.0,521.8636127017179,494.5054945054945,37.0,29.0,15.0,20.0,0.5,26.0,1.0400176986231486,0.7837837837837837,0.1,0.1724137931034482,8.01,-0.0107403222948523
2021-07-31,1208250.0,750000.0,523.4603098382504,515.8730158730159,24.0,27.0,31.0,24.0,1.0,34.0,1.069652825619034,0.9166666666666666,0.0416666666666666,0.2592592592592592,7.6,0.0030596061838192
2021-08-31,1070000.0,750000.0,530.3525990548892,516.3897620116749,22.0,21.0,21.0,24.0,1.1,18.0,1.0522134321078054,0.8636363636363636,0.0416666666666666,0.3333333333333333,7.82,0.0131667847343928
