period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,660000.0,1780000.0,452.5862068965517,508.1236062440268,5.0,2.0,5.0,12.0,2.4,69.0,0.970215662501312,0.0,0.1666666666666666,1.0,0.0,0.0
2019-02-28,675000.0,1749500.0,358.4705257567711,504.1933006061527,3.0,,1.0,9.0,3.0,121.0,0.9691032854181492,0.0,0.2222222222222222,,0.0,-0.2079508383278961
2019-03-31,755000.0,1179000.0,467.65734265734267,526.8340032480521,5.0,1.0,10.0,18.0,3.6,7.0,0.9945671561654632,0.2,0.1666666666666666,1.0,0.0,0.3045907795907796
2019-04-30,750000.0,998888.0,435.0205198358413,492.3076923076923,3.0,7.0,16.0,24.0,8.0,34.0,0.964454081059511,0.3333333333333333,0.1666666666666666,0.4285714285714285,0.11,-0.0697878977715842
2019-05-31,634750.0,1358000.0,449.9932055985868,526.4370466156772,10.0,4.0,6.0,23.0,2.3,40.0,0.996182855023612,0.2999999999999999,0.3043478260869565,0.0,0.11,0.0344183436873175
2019-06-30,712500.0,998000.0,444.21487603305786,539.5072217502124,5.0,3.0,10.0,28.0,5.6,69.0,0.9700639085702906,0.0,0.25,0.0,0.66,-0.0128409262487475
2019-07-31,808500.0,1323500.0,422.5261838005735,504.4485590487638,4.0,6.0,9.0,28.0,7.0,74.0,0.980356928734162,0.0,0.3928571428571428,0.0,0.55,-0.0488247769326624
2019-08-31,784000.0,1088000.0,412.5950054288817,524.6200607902736,7.0,6.0,14.0,34.0,4.9,73.0,0.9813308503057157,0.1428571428571428,0.3235294117647059,0.0,0.62,-0.0235042909823056
2019-09-30,838000.0,1199000.0,448.6251808972504,538.3615084525358,5.0,6.0,10.0,34.0,6.8,48.0,0.9767373288112884,0.0,0.1470588235294117,0.1666666666666666,0.07,0.0873257673851779
2019-10-31,686000.0,1333944.0,420.8656297720331,560.7134506955008,8.0,6.0,1.0,26.0,3.3,41.0,0.9922163770932618,0.25,0.0769230769230769,0.0,0.07,-0.0618769349275004
2019-11-30,790000.0,1365000.0,403.23044704156746,504.0620384047268,4.0,2.0,4.0,26.0,6.5,110.0,1.0273002031508085,0.75,0.0769230769230769,0.5,0.08,-0.0419021689654676
2019-12-31,835000.0,1120000.0,410.1221640488656,519.0367645348554,7.0,3.0,3.0,16.0,2.3,96.0,0.9890095072097354,0.0,0.0625,0.0,0.21,0.0170912614805294
2020-01-31,,,,,,,,,,,,,,,0.21,0.0
2020-02-29,575000.0,1243999.5,414.8559589376256,556.9069366121416,2.0,1.0,4.0,18.0,9.0,82.0,0.9778911564625848,0.0,,0.0,0.55,0.0115424020053593
2020-03-31,841500.0,985000.0,496.4730959626414,514.3243852921272,4.0,5.0,3.0,13.0,3.3,168.0,1.011816759140281,0.75,,0.2,0.98,0.1967360845774597
2020-04-30,845000.0,1248000.0,449.0884837705647,556.297285269248,5.0,1.0,2.0,13.0,2.6,71.0,0.9955303581745136,0.2,0.4615384615384615,0.0,3.39,-0.0954424571591333
2020-05-31,665000.0,1268000.0,412.5310173697271,549.5750708215297,1.0,2.0,4.0,14.0,14.0,27.0,1.0589171974522291,1.0,0.0714285714285714,0.0,4.26,-0.0814037048866175
2020-06-30,790000.0,1150000.0,379.1528239202658,566.4925672961028,3.0,3.0,8.0,17.0,5.7,40.0,0.9851100076814516,0.0,0.1176470588235294,0.0,5.71,-0.0809107486323784
2020-07-31,428617.0,1330000.0,258.2506580823857,566.1538461538462,3.0,5.0,6.0,10.0,2.8,104.0,0.988639366568892,0.1,0.5555555555555556,0.0,4.18,-0.3188744965362707
2020-08-31,878000.0,1220000.0,429.90954779615663,513.6929460580913,2.0,4.0,8.0,18.0,9.0,36.0,0.9715024254038046,0.0,0.1666666666666666,0.25,4.37,0.6646987503861819
2020-09-30,491326.0,677995.0,271.344544166273,342.5862886320424,2.0,2.0,5.0,12.5,5.5,133.5,0.9807648364827684,0.1666666666666666,0.1904761904761904,0.0,4.27,-0.3688334079639186
2020-10-31,518119.75,788358.75,311.96406540314746,355.23020675639054,2.5,4.0,3.5,11.0,3.85,69.0,0.9977250131091322,0.1666666666666666,0.2,0.125,4.09,0.1496972100975202
2020-11-30,587919.5,946122.5,292.38207594888326,334.6321470268145,3.5,8.0,3.0,10.0,2.9,43.5,0.9788017593465,0.0833333333333333,0.2352941176470588,0.25,3.73,-0.0627700162483734
2020-12-31,507995.0,720495.0,330.3219173575471,335.16646345411,3.0,2.0,6.5,13.0,4.6,50.5,1.0045591271345686,0.4,0.0476190476190476,0.0,3.16,0.1297611739212658
2021-01-31,666745.0,1038000.0,304.48555266812434,504.4008124576845,2.0,4.0,11.0,13.0,5.0,95.0,1.0013952001197943,0.6666666666666666,0.0416666666666666,0.25,4.54,-0.0782157142223685
2021-02-28,493995.0,1249944.0,331.9027751689037,565.4221089752214,5.0,3.0,9.0,12.0,1.7,115.0,1.0093679686597496,0.1875,0.1739130434782608,0.0,5.67,0.0900444118301497
2021-03-31,596905.0,724719.5,326.3020966640103,361.49420266152913,5.0,11.0,3.5,8.5,1.4,80.5,1.0256163129494815,0.5714285714285714,,0.2727272727272727,6.44,-0.0168744551835796
2021-04-30,612744.5,1292500.0,352.7482463190969,610.0152110289587,6.0,3.0,12.0,11.0,1.2999999999999998,43.5,1.0012805423325069,0.1111111111111111,0.0476190476190476,0.3333333333333333,5.97,0.0810480530939337
2021-05-31,857380.0,1319000.0,535.1213282247764,590.9628081951391,7.0,7.0,15.0,27.0,3.9,47.0,0.9990981681242032,0.2857142857142857,0.037037037037037,0.0,5.99,0.5170063460519785
2021-06-30,887500.0,1399000.0,420.1141964316488,582.6859045504995,8.0,11.0,11.0,23.0,2.9,38.0,1.0042176903098263,0.375,0.1304347826086956,0.1818181818181818,4.7,-0.2149178620382313
2021-07-31,1008000.0,1200000.0,539.0738060781476,568.8375927452597,15.0,11.0,15.0,25.0,1.7,39.0,1.0085989830290318,0.3333333333333333,0.2399999999999999,0.0909090909090909,4.41,0.2831601756306114
2021-08-31,588630.5,1293500.0,321.1454876442102,601.142277993944,6.0,12.0,7.0,19.0,1.7,64.5,1.0069739692069843,0.3636363636363636,0.1052631578947368,0.1666666666666666,4.52,-0.4042643437257738
2021-09-30,804750.0,1188888.0,488.91461197591184,633.8302009073234,10.0,7.0,6.0,16.0,1.6,47.0,0.999801217670489,0.5,0.25,0.0,5.22,0.5224084746212259
