period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,1342500.0,,679.0422167216722,,2.0,1.0,,,,21.0,1.1112791595800946,1.0,,0.0,1.67,0.0
2019-02-28,,,,,,,,,,,,,,,1.1,0.0
2019-03-31,,,,,,,,,,,,,,,1.64,0.0
2019-04-30,,,,,,,,,,,,,,,0.72,0.0
2019-05-31,,,,,,,,,,,,,,,1.94,0.0
2019-06-30,925000.0,,903.3203125,,1.0,,,1.0,1.0,9.0,1.0895170789163722,1.0,,,0.75,0.3302859384223759
2019-07-31,,,,,,,,,,,,,,,1.53,0.0
2019-08-31,,,,,,,,,,,,,,,1.38,0.0
2019-09-30,1300000.0,1164500.0,1040.0,683.371298405467,1.0,2.0,3.0,3.0,3.0,5.0,1.3026052104208417,1.0,,1.0,3.77,0.151308108108108
2019-10-31,1100000.0,999499.5,886.3819500402901,681.6379993348341,1.0,1.0,1.0,3.0,3.0,13.0,1.3268998793727382,1.0,0.3333333333333333,0.0,2.18,-0.147709663422798
2019-11-30,835000.0,,711.2436115843273,,3.0,1.0,,1.0,0.2999999999999999,83.0,1.0444878656585397,0.6666666666666666,1.0,0.0,2.16,-0.1975878891125908
2019-12-31,,,,,,,,,,,,,,,3.06,0.0
2020-01-31,1340000.0,1050000.0,831.2655086848636,718.6858316221766,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.96,0.1687493499353647
2020-02-29,,,,,,,,,,,,,,,2.2,0.0
2020-03-31,,,,,,,,,,,,,,,3.45,0.0
2020-04-30,,,,,,,,,,,,,,,6.19,0.0
2020-05-31,,,,,,,,,,,,,,,8.27,0.0
2020-06-30,1350000.0,1095000.0,981.8181818181818,735.4972973909428,1.0,,1.0,1.0,1.0,15.0,1.018867924528302,1.0,,,6.71,0.1811126187245588
2020-07-31,,,,,,,,,,,,,,,6.63,0.0
2020-08-31,1010000.0,,913.2007233273056,,1.0,,,,,12.0,1.270440251572327,1.0,,,6.49,-0.0698881521666331
2020-09-30,,,,,,,,,,,,,,,8.38,0.0
2020-10-31,,,,,,,,,,,,,,,11.1,0.0
2020-11-30,,,,,,,,,,,,,,,8.91,0.0
2020-12-31,,,,,,,,,,,,,,,12.02,0.0
2021-01-31,,,,,,,,,,,,,,,11.23,0.0
2021-02-28,,,,,,,,,,,,,,,12.26,0.0
2021-03-31,875000.0,,666.9207317073169,,1.0,,,,,13.0,1.0951188986232792,1.0,,,14.98,-0.2696887829026806
2021-04-30,,,,,,,,,,,,,,,10.8,0.0
2021-05-31,1060000.0,1100000.0,779.9852832965414,770.61310782241,1.0,,1.0,1.0,1.0,8.0,1.205915813424346,1.0,,,10.94,0.169532219068643
2021-06-30,1182500.0,1200000.0,911.2616998973016,749.7914929107588,2.0,3.0,4.0,2.0,1.0,8.0,1.252040393636435,1.0,,1.0,7.91,0.1683062737362577
2021-07-31,1234000.0,1150000.0,789.5073576455533,776.2645914396886,3.0,3.0,1.0,,,9.0,1.2390161922255398,1.0,,0.6666666666666666,11.14,-0.1336107314347457
2021-08-31,1600000.0,,713.0124777183601,,1.0,,,,,14.0,1.2355212355212355,1.0,,,9.35,-0.0968893819499213
2021-09-30,200000.0,255000.0,200.0,209.6903096903097,1.0,,1.0,1.0,1.0,5.0,1.1435105774728416,1.0,,,8.85,-0.7195
2021-10-31,,,,,,,,,,,,,,,10.87,0.0
2021-11-30,700000.0,1072500.0,401.5592250886369,817.8241124751162,1.0,2.0,1.0,,,17.5,0.9914388008187016,0.5,,1.0,10.84,1.0077961254431842
2021-12-31,1175500.0,,1017.3956949361108,,2.0,,,,,14.0,1.3884004884004884,1.0,,,10.27,1.5336130547406532
2022-01-31,,,,,,,,,,,,,,,12.51,0.0
2022-02-28,1330000.0,1195000.0,886.6666666666665,824.1814120338614,1.0,1.0,1.0,,,13.0,1.453551912568306,1.0,,0.0,13.82,-0.1284937895060128
2022-03-31,752500.0,1270000.0,679.3243243243244,766.0448751423214,1.5,1.5,1.0,,,40.5,1.1809675015965373,0.5,,0.5,13.0,-0.2338447470026415
2022-04-30,1312000.0,1250000.0,1117.5468483816014,814.0589569160996,1.0,,2.0,2.0,2.0,14.0,1.459399332591769,1.0,,,12.21,0.6450858718965287
2022-05-31,1455000.0,1197000.0,1009.015256588072,779.988736317664,1.0,2.0,1.0,1.0,1.0,13.0,1.4923076923076923,1.0,,0.5,11.61,-0.0971159213152466
2022-06-30,1320000.0,,816.831683168317,,1.0,1.0,,,,35.0,1.0,0.0,,0.0,11.84,-0.1904664693273449
2022-07-31,,,,,,,,,,,,,,,12.45,0.0
2022-08-31,,,,,,,,,,,,,,,9.74,0.0
2022-09-30,1500000.0,1195000.0,937.5,800.1893939393941,1.0,1.0,1.0,,,12.0,1.2552301255230125,1.0,,1.0,11.11,0.1477272727272724
2022-10-31,1175500.0,,1013.3620689655172,,1.0,,,,,7.0,1.2056410256410257,1.0,,,13.42,0.080919540229885
2022-11-30,,,,,,,,,,,,,,,15.31,0.0
2022-12-31,,,,,,,,,,,,,,,14.17,0.0
2023-01-31,,,,,,,,,,,,,,,11.75,0.0
2023-02-28,1242000.0,,737.5296912114014,,1.0,1.0,,,,14.0,1.2482412060301509,1.0,,1.0,14.7,-0.2721952855761584
2023-03-31,,,,,,,,,,,,,,,14.15,0.0
2023-04-30,,,,,,,,,,,,,,,13.96,0.0
2023-05-31,,,,,,,,,,,,,,,12.86,0.0
2023-06-30,,,,,,,,,,,,,,,14.55,0.0
2023-07-31,,,,,,,,,,,,,,,12.11,0.0
2023-08-31,1330000.0,995000.0,1316.8316831683169,755.5732484076434,1.0,2.0,1.0,,,14.0,1.1822222222222225,1.0,,1.0,11.06,0.7854626042314377
2023-09-30,1200000.0,1099000.0,1022.1465076660988,782.3613086770981,1.0,1.0,2.0,1.0,1.0,13.0,1.3348164627363737,1.0,,1.0,14.41,-0.2237834791407821
2023-10-31,,,,,,,,,,,,,,,13.093668652772905,-0.3200146144609297
2023-11-30,,,,,,,,,,,,,,,13.884183061122895,0.026390745823023688
2023-12-31,,,,,,,,,,,,,,,16.40962502002716,0.0010850141874878436
2024-01-31,,,,,,,,,,,,,,,13.069905095100404,0.0031384000774343393
2024-02-29,,,,,,,,,,,,,,,13.783803205490113,0.26416833296271847
2024-03-31,,,,,,,,,,,,,,,14.329959783554079,0.19779978533237194
2024-04-30,,,,,,,,,,,,,,,12.921265894174576,0.20205535708388433
2024-05-31,,,,,,,,,,,,,,,13.333845293521883,0.2396793224710485
2024-06-30,,,,,,,,,,,,,,,14.287445225715638,0.6398539486728839
2024-07-31,,,,,,,,,,,,,,,13.240519890785219,0.15101763829844442
2024-08-31,,,,,,,,,,,,,,,12.193465850353242,0.181787269974884
2024-09-30,,,,,,,,,,,,,,,14.180045702457429,0.285794555552754
2024-10-31,,,,,,,,,,,,,,,13.715142298936845,0.19297587289503523
2024-11-30,,,,,,,,,,,,,,,14.072724446058274,0.12190401063828542
2024-12-31,,,,,,,,,,,,,,,14.327877885103227,0.37475545122063614
2025-01-31,,,,,,,,,,,,,,,13.558340734243394,0.43692745019290596
2025-02-28,,,,,,,,,,,,,,,15.402968853712084,0.06500373412624484
2025-03-31,,,,,,,,,,,,,,,13.80306207060814,0.30508503490597505
2025-04-30,,,,,,,,,,,,,,,14.082908703684808,0.6418784609221281
2025-05-31,,,,,,,,,,,,,,,14.246022055745126,0.2380903993083996
2025-06-30,,,,,,,,,,,,,,,14.341743294000628,0.4842201906312531
2025-07-31,,,,,,,,,,,,,,,14.142550659179689,0.719589783284376
2025-08-31,,,,,,,,,,,,,,,12.977323227524758,0.44832058592603224
2025-09-30,,,,,,,,,,,,,,,14.392976779937745,0.25412937097853106
2025-10-31,,,,,,,,,,,,,,,14.642525442242624,0.02559255752760858
2025-11-30,,,,,,,,,,,,,,,15.649707735776902,0.10114554167335706
2025-12-31,,,,,,,,,,,,,,,15.246631672382357,-0.040675066656283086
