period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,490300.0,382457.1428571429,198.07003328023325,193.31607181659683,27.125,12.333333333333334,41.85714285714285,83.5,5.175,72.875,0.9816543408062732,0.1448118231406274,0.3367697803759184,0.1605222902097902,0.53,0.0
2019-02-28,346072.55,351469.44444444444,172.45749972453922,166.36134651597757,21.7,22.25,34.0,68.7,5.54,80.2,0.9659449207713764,0.2987554112554113,0.2522110777010239,0.4819474506974506,1.08,-0.1293104925138116
2019-03-31,457690.0,435800.0,199.93283128983447,184.90471964973025,42.25,28.2,56.0,89.875,3.0375,66.75,0.987400982458024,0.2100923440320727,0.2517491632073531,0.416953780941771,7.39,0.1593165365912221
2019-04-30,306458.7,318415.0,163.50674800768235,163.7251151718097,31.1,25.428571428571427,50.5,81.6,3.81,46.8,0.982291004876739,0.3179608244115642,0.2538255982850618,0.38584261505154,2.19,-0.182191604286075
2019-05-31,344183.5555555556,342250.5,176.69180494331872,179.5544968945992,47.11111111111112,40.8,61.77777777777778,97.11111111111111,2.933333333333333,63.0,0.9879678069808784,0.3587934587083523,0.3562090995767302,0.443813079151425,1.06,0.080639221905489
2019-06-30,338430.75,370822.2222222223,163.4139756509987,177.59736027227245,41.1,21.5,54.22222222222222,95.7,2.49,48.8,0.9692672899845538,0.4155783346794582,0.3021519456383561,0.2583125013422674,1.35,-0.0751468314932852
2019-07-31,336965.0,343765.0,173.32190839200695,218.7178360650254,44.5,26.142857142857142,41.2,90.9,2.72,39.1,0.9833515273634428,0.3245422069803165,0.3226129648350813,0.1859896914801378,2.04,0.0606308775093293
2019-08-31,371655.77777777775,328738.22222222225,178.0731418339872,179.5895057729875,49.888888888888886,34.6,44.66666666666666,92.0,4.222222222222222,467.77777777777777,1.0163775045109096,0.3746011329396462,0.2997304474897045,0.3697608922893373,2.84,0.0274127690264882
2019-09-30,346937.8,365635.0,169.12465595686868,166.28756586780275,37.3,15.5,38.1,89.1,3.79,42.8,0.9856567182634656,0.3155199757653515,0.2954350453479512,0.224676553273141,2.26,-0.0502517436653133
2019-10-31,416494.4444444445,386254.4444444445,176.85834984486286,205.98669010789925,38.66666666666666,26.5,37.22222222222222,91.55555555555556,3.2,58.77777777777778,0.9706767613810684,0.2003541950732532,0.3010465942072145,0.340284781778011,2.08,0.0457277730691525
2019-11-30,308511.25,315260.5555555556,165.50267677371875,170.19648958028745,29.1,16.875,24.33333333333333,68.2,3.69,58.8,0.9788392694823028,0.2322977702877884,0.3309285349385701,0.2004372908734279,2.08,-0.0642077294122958
2019-12-31,363041.6666666667,342131.25,172.4810716409301,186.4697034542176,34.888888888888886,13.857142857142858,21.75,59.55555555555556,2.2444444444444445,49.888888888888886,0.9653845796982962,0.2112115482453522,0.2205834641906011,0.2796644388749651,2.73,0.0421648459302714
2020-01-31,399312.5,407941.6666666667,175.20886682786235,229.5398701156971,28.125,16.4,48.833333333333336,67.375,2.125,66.75,0.9767855813934316,0.2541168390433096,0.2909484017950056,0.3709616573902288,2.79,0.0158150408098747
2020-02-29,347350.0,341706.0,154.80944233332627,163.8826775459557,22.545454545454547,12.857142857142858,34.0,53.09090909090909,3.136363636363636,82.0909090909091,0.971577395410252,0.2183642381010801,0.2112541468009723,0.3369917903816208,2.63,-0.1164291788644344
2020-03-31,285955.5416666667,415294.3888888889,145.24500805579822,200.66029449458912,26.0,18.625,45.77777777777778,63.0,2.72,66.83333333333333,0.9808201421722148,0.4185567135711643,0.2191643829059495,0.2821479483754493,2.12,-0.0617819826321348
2020-04-30,375527.77777777775,380227.77777777775,172.5174886165176,176.5194048307019,30.0,13.428571428571429,33.666666666666664,71.33333333333333,3.322222222222222,41.11111111111112,0.965361745206945,0.2331810273184936,0.2274778580486456,0.2985959505373595,4.93,0.1877687978800772
2020-05-31,366438.8888888889,403955.5555555556,170.59999689940094,187.5843635061192,31.77777777777778,19.285714285714285,44.44444444444444,73.77777777777777,2.022222222222222,57.22222222222222,0.9916571423341954,0.3624596015900363,0.2329207108125359,0.281786912070269,5.39,-0.011114767160673
2020-06-30,375027.2222222223,389950.0,191.6232086422902,196.46431314584808,44.44444444444444,27.428571428571427,51.44444444444444,71.22222222222223,1.955555555555556,163.22222222222223,0.9857735655828376,0.2681602948600532,0.2420663781416621,0.3449081264345406,4.74,0.1232310206622464
2020-07-31,374400.0,359125.0,181.72411952505905,178.44464092213929,45.3,24.125,40.9,56.6,2.32,34.1,1.001017191915575,0.4463423577974661,0.3130307747135833,0.2721299845369023,3.97,-0.0516591345451799
2020-08-31,374597.0,332933.3333333333,181.42494385470687,191.6583682515564,45.6,31.0,47.888888888888886,54.8,1.24,35.5,0.9973625486005424,0.3538263588263587,0.2999951576467984,0.353101055938621,7.13,-0.0016463178973384
2020-09-30,379825.0,412905.0,183.044119774836,212.83603435210512,39.1,24.285714285714285,42.5,57.3,2.66,105.6,1.0010396419310827,0.4655055797597599,0.2641414256519805,0.4585093854070252,6.28,0.0089247701320818
2020-10-31,317705.2,353205.0,177.75954808464556,175.26581262520466,41.5,26.5,40.2,51.7,2.3600000000000003,49.7,1.0045256601208106,0.5303946660378613,0.3357977965982132,0.4755810466336782,7.41,-0.0288704804977675
2020-11-30,392189.3888888889,397960.5555555556,198.713273498588,188.77935299586565,43.0,24.428571428571427,33.0,46.66666666666666,1.6555555555555557,36.66666666666666,1.0023500261034466,0.4610270026352963,0.2360086476035672,0.3454304954304954,5.71,0.1178767927783248
2020-12-31,395490.0,398194.95,182.16232342486472,266.1224145231364,38.8,14.625,19.9,33.2,1.34,42.3,1.0032316563706054,0.4059876460808612,0.2947279265357068,0.2693101872657767,3.91,-0.0832906115546472
2021-01-31,404496.0,374283.3333333333,186.5083998753745,270.4845178787607,24.9,16.428571428571427,29.666666666666668,31.8,1.48,49.77777777777778,0.9905101218586274,0.3566058747454096,0.2885167464114832,0.4739569906733918,7.46,0.0238582620642866
2021-02-28,399423.3181818182,462787.5,187.521801970914,214.0454883142845,25.0,18.0,35.0,36.25,1.9375,146.0,0.990073631794526,0.3605398059031742,0.2454918042162817,0.4965184954028767,8.92,0.0054335466725179
2021-03-31,413490.0,453625.0,198.1887305162188,298.7251995498154,32.3,23.571428571428573,45.75,31.55555555555556,1.2555555555555555,346.5,1.029206927367618,0.6676589855048449,0.1051910617672484,0.5765609880315763,7.89,0.0568836713021738
2021-04-30,517000.0,515162.5,220.03504643893484,316.5397393793645,42.5,29.83333333333333,52.625,41.5,1.1625,28.625,1.0314526468338674,0.5381221206449754,0.1233592958714586,0.4399029750089072,5.45,0.1102298595173061
2021-05-31,479917.2,482405.0,221.2171837046025,257.2341885471891,35.9,26.714285714285715,43.7,36.3,1.5299999999999998,32.8,1.0438380299120211,0.6808661926308985,0.1602131535844151,0.5319434632732467,6.32,0.0053724953583507
2021-06-30,565201.8333333334,437050.0,221.1607253377829,272.9919503419135,48.0,31.857142857142858,56.66666666666666,47.44444444444444,1.422222222222222,18.22222222222222,1.043122545740972,0.7659663865546218,0.1954945674856239,0.5064412126685282,5.29,-0.0002552169134155
2021-07-31,448700.0,395779.9,218.20354643978013,266.2434746900369,46.2,23.25,47.0,48.6,1.3299999999999998,134.1,1.030336116250672,0.6765379575383277,0.2770936201238179,0.3210730339566656,6.02,-0.0133711756166752
2021-08-31,440500.0,370305.5555555556,231.6434997922549,204.04007975740623,46.77777777777778,29.857142857142858,45.66666666666666,48.333333333333336,1.2,29.77777777777778,1.0319211690903831,0.59435010170582,0.3708959641547311,0.4144143782229946,4.82,0.0615936522195066
2021-09-30,472944.4444444445,402749.8888888889,222.55901241158577,211.5207573356469,46.77777777777778,29.0,40.77777777777778,46.77777777777778,1.8111111111111111,22.444444444444443,1.0350691339617697,0.6192545698628121,0.3827149086378737,0.4024967786213971,5.33,-0.0392175363816225
2021-10-31,420261.1111111111,451916.6666666667,216.15073882723192,213.60522511297563,37.44444444444444,31.166666666666668,41.333333333333336,45.55555555555556,1.5,30.55555555555556,1.024474444925607,0.5042898325507021,0.2033617782888726,0.3765672201072537,4.96,-0.0287935928314725
2021-11-30,442894.4444444445,476775.75,215.2549557529506,212.66150269966536,41.333333333333336,24.142857142857142,33.0,36.333333333333336,1.3888888888888888,39.888888888888886,1.0242927487289135,0.5000949862758861,0.2816616042408296,0.2402268483150836,6.42,-0.0041442517344219
2021-12-31,421015.0,387942.5,196.2787631125643,228.7000743065321,35.6,13.285714285714286,21.11111111111111,27.33333333333333,0.8444444444444444,40.5,0.9915858770533564,0.454535587600805,0.1857218045112781,0.3158254162538128,5.61,-0.0881568211705443
2022-01-31,524987.5,491042.8571428572,239.88085190691035,326.1757933430932,27.0,15.4,32.57142857142857,30.375,1.5375,46.75,1.0081661161902549,0.4514222244081579,0.2203522972257722,0.4495493395493395,6.14,0.2221436904477567
2022-02-28,464055.5555555556,491950.0,266.8673358759032,230.2401316843135,27.88888888888889,19.428571428571427,26.77777777777778,23.666666666666668,1.1111111111111112,245.44444444444449,1.0250488591039375,0.5390753445131976,0.1260620915032679,0.6028894930956786,6.4,0.1124995336412486
2022-03-31,443899.95,586027.7777777778,226.18748331328123,292.5342733653392,34.7,22.857142857142858,41.0,26.2,1.02,30.444444444444443,1.0098744353758753,0.4670011925142296,0.1919973544973544,0.5349948084323084,7.52,-0.1524347385156894
2022-04-30,552717.9444444445,553793.75,254.07699373371017,305.5555396175825,40.22222222222222,30.83333333333333,47.75,33.0,1.4,34.55555555555556,1.0422657946100933,0.6656687090989277,0.1842557296504664,0.4973290598290598,6.92,0.123302624937033
2022-05-31,570069.25,486605.0,284.5859297410665,229.103442129374,37.9,23.75,41.0,34.2,1.85,32.2,1.033521907773853,0.5910454967706876,0.341785493517776,0.5694992177496278,6.61,0.1200775227974073
2022-06-30,493700.0,527429.1666666666,248.71988624771865,288.41426613460845,40.7,23.125,50.44444444444444,43.8,1.45,19.4,1.0435609696426544,0.6589371881656021,0.403107205596336,0.4138084556090443,8.8,-0.1260288712304959
2022-07-31,435172.7272727273,446224.9375,212.2092988887008,256.65966902736085,27.818181818181817,21.285714285714285,50.0,60.22222222222222,2.311111111111112,172.27272727272728,1.0264336656665565,0.6401998180073046,0.4129262672811059,0.3914177140626416,8.32,-0.1467940015164458
2022-08-31,472130.8,366105.3,226.81850272836468,218.9236522112329,35.4,20.857142857142858,34.7,53.9,1.48,23.22222222222222,1.0068365478506434,0.4328144894321364,0.3974174468378096,0.4323713664896811,6.39,0.0688433726333834
2022-09-30,413926.0,494322.1666666667,229.86178392737065,252.9821970074653,31.9,23.33333333333333,33.0,52.6,2.3,30.1,0.9988862981321408,0.3730782078780718,0.4404941266183235,0.5347710009643103,7.98,0.0134172528360729
2022-10-31,431400.0,484767.25,231.8738342848809,247.63570336406715,26.666666666666668,21.666666666666668,33.625,58.888888888888886,2.6444444444444444,33.0,0.9874293867401728,0.359907120743034,0.4174810703787097,0.1808275372650264,9.65,0.0087533052390562
2022-11-30,505164.28571428574,452914.1428571429,260.20521142679775,349.2413602699476,28.285714285714285,21.0,26.428571428571427,66.28571428571429,1.8571428571428568,32.285714285714285,0.9978738883558824,0.4080361200683878,0.3604529167908539,0.2729514858790512,6.99,0.1221844509937626
2022-12-31,410100.0,353212.5,221.35665216162425,240.2716489888978,21.0,12.0,14.375,43.22222222222222,1.6111111111111112,31.5,0.9823933580179884,0.3226840990885934,0.4571935025310311,0.0924701204592508,8.21,-0.1492996971588425
2023-01-31,691888.8888888889,572600.0,226.38992057877635,382.65032338462464,14.11111111111111,9.166666666666666,19.142857142857142,42.75,2.775,53.44444444444444,0.987498222173012,0.2821142977392977,0.337638409048479,0.1951388888888889,6.49,0.022738274942273
2023-02-28,484138.6428571429,554143.1428571428,253.7314551913357,277.96281883086834,22.428571428571427,14.8,26.0,43.85714285714285,1.5571428571428572,52.71428571428572,0.9903532082733222,0.2287819323533609,0.250095476787206,0.5868748273003591,5.88,0.1207718724520041
2023-03-31,638467.5,497037.5,333.6435437723513,314.5210078917165,26.666666666666668,14.714285714285714,30.88888888888889,35.22222222222222,1.6333333333333333,39.77777777777778,0.998383110883822,0.3944989610504031,0.258063975498186,0.4693206414683064,7.23,0.3149475043240297
2023-04-30,543831.0,495633.27777777775,240.02855457971435,254.59377081689243,21.2,15.5,28.0,32.3,1.98,22.6,1.0422712488628771,0.4767171717171717,0.3274679431640963,0.4670878988937723,6.27,-0.2805838474624028
2023-05-31,526160.625,555007.625,281.3980868729963,303.4136271871203,31.25,21.166666666666668,35.375,41.375,2.7,63.285714285714285,1.0184930109868455,0.4021095848595848,0.3228285613999899,0.5877180397190969,6.13,0.1723525451616341
2023-06-30,569647.2222222222,418205.5555555556,243.289154699338,238.98110074128752,33.0,19.428571428571427,36.11111111111112,38.66666666666666,1.7444444444444445,37.888888888888886,1.0239212171397076,0.5215259601725172,0.3177267383998499,0.4708681013028839,6.32,-0.135427118915908
2023-07-31,443600.0,415214.9,226.58757302452267,237.05645340474703,25.2,17.714285714285715,27.5,36.3,2.53,26.0,1.0334933709172205,0.681626126126126,0.2889102564102564,0.4303971390927912,6.25,-0.0686491006779793
2023-08-31,467914.5,557891.8888888889,232.23011613473963,341.33646175987093,25.8,16.625,28.0,35.5,1.27,29.1,1.0111034894785806,0.4507875457875457,0.4107922079916964,0.3755547945205479,7.15,0.0249022620036019
2023-09-30,518030.0,477977.77777777775,251.7480439108008,260.709616942303,20.6,13.625,26.77777777777778,37.0,2.12,36.5,1.0070743518309526,0.4797559701302342,0.4057009955276976,0.4281367320841004,5.58,0.0840456358586019
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
