period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,470000.0,502450.0,278.9317507418398,262.24534253377124,1.0,1.0,2.0,7.0,7.0,5.0,1.0002128112364332,1.0,,0.0,7.7,0.0
2019-02-28,670000.0,515000.0,233.2057083188305,261.2446087492298,1.0,2.0,2.0,5.0,5.0,39.0,0.9241379310344828,0.0,0.4,0.5,5.56,-0.1639327265590865
2019-03-31,,,,,,,,,,,,,,,6.25,0.0
2019-04-30,437500.0,542930.0,304.22333571939873,253.2558125571477,4.0,2.0,4.0,5.0,1.3,168.0,0.9875207443399056,0.25,0.2,0.0,3.14,0.3045278261519888
2019-05-31,390000.0,518900.0,281.5884476534296,252.1547960803896,1.0,1.0,1.0,5.0,5.0,16.0,1.0,0.0,,0.0,5.06,-0.0744022085368443
2019-06-30,729000.0,539900.0,,261.21652674447705,1.0,1.0,7.0,11.0,11.0,82.0,0.9852682794972292,0.0,0.1818181818181818,0.0,2.98,0.0
2019-07-31,440000.0,517000.0,309.42334739803096,255.9955947136564,1.0,,1.0,12.0,12.0,22.0,0.9462365591397848,0.0,0.25,,1.66,0.0988495798622379
2019-08-31,510000.0,,276.87296416938113,,1.0,2.0,,10.0,10.0,55.0,0.9716136406934656,0.0,0.1,0.5,1.22,-0.1051969203435001
2019-09-30,566000.0,529000.0,278.95515032035485,257.7621558289397,1.0,,3.0,10.0,10.0,95.0,0.9759462022588156,0.0,0.2,,1.55,0.0075203664511638
2019-10-31,580000.0,519450.0,362.76651337792646,256.2172010556331,6.0,2.0,1.0,6.0,1.0,72.0,0.9929143339776476,0.3333333333333333,0.1666666666666666,0.5,1.3,0.3004474481339449
2019-11-30,553250.0,517400.0,417.92519958347793,269.4614605612807,2.0,1.0,1.0,4.0,2.0,96.0,0.9547567954220316,0.0,0.25,0.0,2.05,0.1520501043272639
2019-12-31,580000.0,490000.0,306.8783068783069,269.2544670363524,1.0,1.0,1.0,4.0,4.0,281.0,1.0564682267180814,1.0,0.25,0.0,3.16,-0.2657099711045065
2020-01-31,,,,,,,,,,,,,,,2.85,0.0
2020-02-29,,,,,,,,,,,,,,,2.72,0.0
2020-03-31,,,,,,,,,,,,,,,2.28,0.0
2020-04-30,459500.0,547000.0,298.57050032488627,267.65764815977445,1.0,,2.0,5.0,5.0,133.0,0.9474226804123712,0.0,0.2,,6.5,-0.0270719903206292
2020-05-31,550000.0,,137.9483320792576,,1.0,1.0,,4.0,4.0,304.0,1.4285714285714286,1.0,0.5,0.0,6.71,-0.5379706570838358
2020-06-30,236425.0,,278.14705882352933,,1.0,,,2.0,2.0,52.0,1.0283819051761636,1.0,,,4.44,1.0163133155080208
2020-07-31,608750.0,543500.0,198.04328884733084,281.54659717964444,2.0,,2.0,3.0,1.5,95.0,0.9067584480600752,0.0,,,4.39,-0.2879907136714338
2020-08-31,,,,,,,,,,,,,,,4.01,0.0
2020-09-30,,,,,,,,,,,,,,,5.13,0.0
2020-10-31,485000.0,559999.5,301.52284263959393,286.56916437315897,2.0,,2.0,4.0,2.0,226.0,0.9663266245792108,0.0,,,5.02,0.522509772457042
2020-11-30,290000.0,579900.0,929.4871794871792,279.72193964055606,1.0,2.0,2.0,3.0,3.0,106.0,0.9698996655518394,0.0,,0.0,4.53,2.0826426659759982
2020-12-31,,,,,,,,,,,,,,,4.79,0.0
2021-01-31,640000.0,587000.0,228.57142857142856,304.37443074547093,1.0,,1.0,4.0,4.0,35.0,1.0,0.0,0.25,,4.27,-0.7540886699507389
2021-02-28,768000.0,595000.0,179.1044776119403,319.933051073402,1.0,4.0,5.0,5.0,5.0,35.0,0.9612015018773468,0.0,,0.5,5.15,-0.2164179104477611
2021-03-31,743750.0,,292.29379576482063,,4.0,1.0,,4.0,1.0,20.0,0.992186578380024,0.5,,1.0,5.5,0.6319736930202486
2021-04-30,660000.0,622500.0,265.625,318.3307273244389,5.0,,1.0,2.0,0.4,56.0,1.0049794284900273,0.4,,,4.81,-0.0912396915406248
2021-05-31,,,,,,,,,,,,,,,4.4,0.0
2021-06-30,754000.0,675000.0,321.3981244671781,332.36272878535766,1.0,1.0,1.0,3.0,3.0,6.0,1.07731522757927,1.0,,1.0,4.19,0.209969409758788
2021-07-31,,,,,,,,,,,,,,,4.95,0.0
2021-08-31,660000.0,699000.0,239.91275899672848,342.2620539803557,1.0,4.0,4.0,5.0,5.0,15.0,1.015384615384615,1.0,0.2,0.5,5.06,-0.2535340416361735
2021-09-30,736500.0,700000.0,272.5782971356626,326.4167393199652,4.0,1.0,1.0,5.0,1.3,40.0,0.9783256880733944,0.0,,0.0,4.32,0.1361559021518299
2021-10-31,960000.0,722500.0,261.2281976744186,343.58752242586274,2.0,1.0,1.0,5.0,2.5,75.0,0.995758155738586,0.5,0.2,0.0,3.96,-0.041639776829316
2021-11-30,590000.0,699000.0,325.96685082872926,360.8883405305367,1.0,3.0,4.0,5.0,5.0,8.0,0.9834972495415902,0.0,,1.0,3.16,0.2478241389354054
2021-12-31,660000.0,694950.0,244.44444444444449,369.01657197308936,3.0,1.0,1.0,3.0,1.0,119.0,0.969607115999739,0.6666666666666666,,1.0,3.59,-0.2500941619585686
2022-01-31,1185000.0,710000.0,300.5325893989348,362.69711799891246,1.0,5.0,4.0,2.0,2.0,1.0,1.0304347826086957,1.0,,0.5999999999999999,3.77,0.2294515020865513
2022-02-28,825000.0,718500.0,313.73594322588144,363.0024399060184,4.0,,3.0,5.0,1.3,6.0,1.0552415210688593,0.5,0.2,,4.03,0.0439331849279751
2022-03-31,770000.0,749900.0,280.6122448979592,370.56367432150313,3.0,3.0,3.0,4.0,1.3,61.0,1.0055667405997106,0.6666666666666666,,0.3333333333333333,3.86,-0.1055782706544211
2022-04-30,1250000.0,,379.7083839611178,,3.0,1.0,,3.0,1.0,5.0,1.0189014202172098,0.6666666666666666,0.3333333333333333,1.0,3.85,0.3531426046614379
2022-05-31,,,,,,,,,,,,,,,3.75,0.0
2022-06-30,930000.0,710000.0,211.3636363636364,382.545728927308,1.0,1.0,1.0,4.0,4.0,20.0,0.93,0.0,0.25,0.0,4.36,-0.4433527272727271
2022-07-31,,,,,,,,,,,,,,,3.73,0.0
