period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,490500.0,495900.0,306.1176490423523,309.00243309002434,52.0,78.0,109.0,200.0,3.8,61.0,0.9779741762991608,0.2115384615384615,0.3049999999999999,0.2564102564102563,1.26,0.0
2019-02-28,452500.0,503900.0,291.8081494057725,308.4577114427861,76.0,65.0,84.0,187.0,2.5,42.0,0.9852928181236644,0.1842105263157894,0.2192513368983957,0.4923076923076923,1.26,-0.0467450984330538
2019-03-31,460000.0,492500.0,299.8696219035202,318.29419035846723,77.0,86.0,92.0,168.0,2.2,41.0,0.9837379711164675,0.2467532467532467,0.2797619047619047,0.4651162790697674,0.52,0.0276259333886452
2019-04-30,481250.0,499000.0,311.2549800796813,312.1195585213783,90.0,89.0,122.0,176.0,2.0,17.0,0.992648047668572,0.3444444444444444,0.2784090909090908,0.5393258426966292,0.51,0.0379676944396327
2019-05-31,509000.0,499000.0,310.35620052770446,322.8683898594678,110.0,102.0,118.0,170.0,1.5,25.0,0.9941092967903812,0.2909090909090908,0.2999999999999999,0.4803921568627451,0.51,-0.0028875989445911
2019-06-30,500000.0,527000.0,318.27717273428686,316.5037934541173,108.0,86.0,112.0,177.0,1.6,25.0,0.996990288988622,0.3888888888888889,0.2994350282485875,0.5232558139534884,0.55,0.025522197375513
2019-07-31,500000.0,492000.0,313.7962128043282,321.65914221218964,111.0,105.0,112.0,166.0,1.5,26.0,0.9916628740182112,0.2702702702702702,0.4096385542168674,0.4666666666666666,0.93,-0.0140787977078694
2019-08-31,480000.0,499900.0,311.867525298988,317.7434112402275,107.0,107.0,132.0,176.0,1.6,20.0,0.9916318398745364,0.2897196261682242,0.3465909090909091,0.4205607476635513,0.93,-0.006146305871903
2019-09-30,480000.0,499999.0,318.1818181818182,312.7450980392157,89.0,85.0,105.0,181.0,2.0,22.0,0.9931886945269812,0.3370786516853932,0.2983425414364641,0.4823529411764706,1.0,0.0202467149369804
2019-10-31,495500.0,519500.0,317.2804532577904,326.6905508284819,106.0,121.0,118.0,157.0,1.5,22.0,0.9890127543153856,0.3490566037735848,0.3503184713375796,0.5041322314049586,0.61,-0.0028328611898016
2019-11-30,506000.0,519900.0,315.83169458889813,314.00429338103754,109.0,74.0,72.0,138.0,1.3,19.0,0.9903833953303948,0.3761467889908257,0.2898550724637681,0.4189189189189189,1.32,-0.0045661768760622
2019-12-31,520000.0,510000.0,323.4750462107209,367.8618857901727,86.0,63.0,49.0,108.0,1.3,28.0,0.9952259247128435,0.3837209302325581,0.2129629629629629,0.4285714285714285,2.29,0.0242007111786919
2020-01-31,507500.0,536950.0,323.8286430702918,333.28947368421046,62.0,78.0,102.0,112.0,1.8,22.0,0.9896933133813692,0.4193548387096774,0.1517857142857142,0.5384615384615384,2.69,0.0010931194344447
2020-02-29,535000.0,529000.0,319.39605110336817,323.88815956679287,73.0,79.0,115.0,131.0,1.8,22.0,0.9990205309839288,0.2876712328767123,0.1374045801526717,0.6455696202531644,2.38,-0.0136880787471337
2020-03-31,532500.0,545000.0,338.44732029247336,337.995337995338,108.0,95.0,107.0,131.0,1.2,15.0,1.004723585709544,0.4722222222222222,0.1908396946564885,0.5368421052631579,1.4,0.0596477918975257
2020-04-30,534250.0,542900.0,319.9838187702265,343.3660864961862,79.0,79.0,77.0,120.0,1.5,15.0,0.9984758099810028,0.5443037974683544,0.3583333333333333,0.4556962025316455,3.09,-0.0545535461952879
2020-05-31,552000.0,549000.0,338.9944022391044,320.8305425318152,75.0,86.0,103.0,120.0,1.6,21.0,0.9930374507386492,0.3066666666666666,0.3083333333333333,0.4767441860465116,4.04,0.0594110775411709
2020-06-30,525000.0,557500.0,346.22582657517154,333.83944068032974,83.0,115.0,112.0,103.0,1.2,25.0,0.9984101434674764,0.3975903614457831,0.2718446601941747,0.5739130434782608,4.64,0.0213319874555526
2020-07-31,555000.0,554500.0,327.1356783919598,327.61240049332883,128.0,111.0,130.0,107.0,0.8,14.0,1.001398210212309,0.4921875,0.2336448598130841,0.6486486486486486,2.99,-0.0551378514192584
2020-08-31,555000.0,569500.0,342.10526315789474,355.91206179441474,91.0,126.0,137.0,111.0,1.2,14.0,1.0040201819918482,0.5384615384615384,0.2612612612612612,0.6746031746031746,3.06,0.0457595601907996
2020-09-30,570000.0,549000.0,347.38295773221853,350.5109287049511,127.0,117.0,115.0,103.0,0.8,10.0,1.0065916217569504,0.4881889763779527,0.145631067961165,0.641025641025641,3.03,0.015427107217254
2020-10-31,576000.0,579000.0,344.5966375005726,340.9446640316205,112.0,114.0,136.0,119.0,1.1,11.0,1.0074800478525514,0.4375,0.26890756302521,0.6578947368421053,3.34,-0.0080208892509739
2020-11-30,557750.0,602950.0,354.58182367149755,350.27472527472526,92.0,88.0,80.0,102.0,1.1,10.0,1.0103118528626818,0.5543478260869565,0.196078431372549,0.5795454545454545,3.08,0.0289764469071707
2020-12-31,561500.0,549450.0,339.85581874356336,379.7462025316456,120.0,89.0,74.0,71.0,0.5999999999999999,13.0,1.0061158344911625,0.4833333333333333,0.1830985915492957,0.5393258426966292,3.07,-0.0415306254997918
