period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,420000.0,539000.0,282.4129091153369,372.5626740947075,2.0,3.0,4.0,12.0,6.0,74.0,1.0011363636363635,0.5,0.25,0.0,0.0,0.0
2019-02-28,458000.0,532250.0,317.82670454545456,348.31673364785365,4.0,2.0,3.0,11.0,2.8,49.0,0.9914432310143416,0.25,0.1818181818181818,0.0,0.0,0.1253972261432805
2019-03-31,460166.0,549500.0,328.68311316961297,386.25358815151696,8.0,2.0,1.0,6.0,0.8,103.0,0.966308385559418,0.125,,0.0,0.0,0.0341582644532179
2019-04-30,435000.0,,284.8722986247544,,3.0,4.0,,2.0,0.6999999999999998,142.0,0.9822061475393902,0.3333333333333333,,0.0,0.32,-0.1332919544371313
2019-05-31,428000.0,499900.0,303.40855690362264,344.56355283307806,4.0,,4.0,5.0,1.3,75.0,0.9797454537827158,0.0,0.4,,0.32,0.065068658372027
2019-06-30,,,,,,,,,,,,,,,1.26,0.0
2019-07-31,450000.0,538000.0,297.81601588352083,352.31116121758737,3.0,4.0,3.0,3.0,1.0,45.0,1.002284844957041,0.6666666666666666,,0.0,0.93,-0.0184323773764834
2019-08-31,585000.0,515000.0,311.8336886993603,419.91341991342,1.0,3.0,7.0,7.0,7.0,49.0,0.9609067017082786,0.0,0.2857142857142857,0.6666666666666666,0.93,0.0470682302771854
2019-09-30,412500.0,542000.0,328.14979026754474,403.4705407586764,4.0,2.0,4.0,9.0,2.3,34.0,0.9948526205454056,0.5,,0.0,0.09,0.0523230881058358
2019-10-31,429000.0,528500.0,305.87833219412164,353.57448703783706,4.0,5.0,7.0,11.0,2.8,28.0,1.0198835860054996,1.0,0.1818181818181818,0.2,0.69,-0.0678697921923549
2019-11-30,453500.0,529495.0,365.4358893962692,368.2200099951809,4.0,5.0,4.0,8.0,2.0,84.0,0.9812264587203348,0.0,,0.0,1.11,0.1947099579591997
2019-12-31,526717.0,527500.0,338.28816216202847,383.74770216406085,2.0,2.0,1.0,7.0,3.5,22.0,1.0129367872459083,0.5,0.1428571428571428,0.0,1.65,-0.0742886181187377
2020-01-31,458000.0,544950.0,329.93197278911566,366.6201564280137,5.0,4.0,7.0,7.0,1.4,20.0,0.9959387417696532,0.2,,0.25,1.13,-0.0247013945729217
2020-02-29,458000.0,549450.0,343.0232558139535,379.4472504482965,5.0,3.0,1.0,4.0,0.8,38.0,1.0007036769238673,0.4,0.25,0.3333333333333333,1.44,0.0396787341165187
2020-03-31,416500.0,550000.0,315.51270815074497,389.51762523191087,3.0,2.0,1.0,2.0,0.6999999999999998,19.0,0.9700010532141092,0.3333333333333333,0.5,0.5,1.3,-0.0802002406452858
2020-04-30,460000.0,559990.0,337.7529658060014,463.4678298800436,3.0,1.0,1.0,2.0,0.6999999999999998,41.0,1.0238691125384456,0.6666666666666666,,0.0,2.99,0.0704892610684655
2020-05-31,,,,,,,,,,,,,,,4.07,0.0
