period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,557000.0,825000.0,486.30914093767865,523.6634531113059,4.0,4.0,8.0,10.0,2.5,114.0,0.9874101947592197,0.0,0.1,0.0,0.0,0.0
2019-02-28,502000.0,802990.0,514.5833333333334,509.5143736159,5.0,2.0,7.0,14.0,2.8,99.0,0.9712982715798892,0.0,0.1428571428571428,0.0,0.0,0.0581403679584096
2019-03-31,565000.0,839990.0,507.2533849129594,516.0419455600179,5.0,5.0,5.0,14.0,2.8,30.0,0.9944877852250668,0.0,0.2142857142857142,0.0,0.0,-0.0142444341772449
2019-04-30,560863.5,797000.0,485.2350379214538,525.1009809578765,8.0,10.0,9.0,11.0,1.4,62.0,0.9741836129670048,0.0,0.5454545454545454,0.2999999999999999,0.0,-0.0434069986448366
2019-05-31,534000.0,856000.0,475.1173962933656,554.3468767535364,5.0,3.0,8.0,16.0,3.2,26.0,0.9971410742733507,0.2,0.25,0.6666666666666666,0.0,-0.0208510120609344
2019-06-30,515000.0,825000.0,449.7816593886464,547.2632452927329,3.0,5.0,6.0,17.0,5.7,32.0,0.9974309569685292,0.0,0.1764705882352941,0.4,0.21,-0.0533252141520732
2019-07-31,570000.0,879000.0,500.6858710562415,478.08666630419776,10.0,4.0,5.0,16.0,1.6,85.0,1.004560199290197,0.4,0.1875,0.5,0.21,0.1131753832221289
2019-08-31,720000.0,787500.0,464.2097802976612,511.9047619047619,3.0,7.0,6.0,14.0,4.7,73.0,0.9840462044845326,0.0,0.2857142857142857,0.5714285714285714,0.21,-0.0728522470219316
2019-09-30,564000.0,739990.0,512.6637153962248,508.7895797351756,7.0,2.0,8.0,17.0,2.4,46.0,0.9956509967020918,0.1428571428571428,0.3529411764705882,0.0,0.0,0.1043793930138523
2019-10-31,660000.0,999500.0,519.8618307426598,510.9126984126984,7.0,5.0,5.0,16.0,2.3,31.0,0.9984425319735866,0.4285714285714285,0.125,0.4,0.0,0.0140406179143608
